Wavelength (nm),Intensity
475,8.718
475.5,9.091827
476,9.479075
476.5,9.966459
477,10.539963
477.5,11.173989
478,11.894802
478.5,12.690351
479,13.511808
479.5,14.357693
480,15.251136
480.5,16.120576
481,17.034943
481.5,18.004913
482,19.012627
482.5,20.088663
483,21.216701
483.5,22.415858
484,23.674809
484.5,25.055155
485,26.477121
485.5,27.943795
486,29.459097
486.5,31.000952
487,32.547711
487.5,34.091587
488,35.653749
488.5,37.207505
489,38.830024
489.5,40.474203
490,42.13544
490.5,43.819878
491,45.541243
491.5,47.26115
492,48.997239
492.5,50.773802
493,52.57154
493.5,54.430323
494,56.335612
494.5,58.298477
495,60.300026
495.5,62.345432
496,64.348504
496.5,66.361488
497,68.36784
497.5,70.403848
498,72.478171
498.5,74.570265
499,76.7218
499.5,78.882203
500,81.010257
500.5,83.060875
501,85.081579
501.5,86.997419
502,88.88114
502.5,90.705614
503,92.441943
503.5,94.19465
504,95.971414
504.5,97.697704
505,99.37298
505.5,101.123264
506,102.881244
506.5,104.743197
507,106.609204
507.5,108.434684
508,110.259819
508.5,112.084217
509,113.74377
509.5,115.253934
510,116.663533
510.5,117.905119
511,119.121166
511.5,120.285908
512,121.396292
512.5,122.50716
513,123.656536
513.5,124.769081
514,125.871291
514.5,126.968832
515,127.958657
515.5,128.892009
516,129.756284
516.5,130.572094
517,131.330651
517.5,132.013956
518,132.580667
518.5,133.120005
519,133.635176
519.5,134.126913
520,134.559323
520.5,134.955129
521,135.346944
521.5,135.681386
522,135.978053
522.5,136.124004
523,136.143586
523.5,136.037713
524,135.850935
524.5,135.594457
525,135.230805
525.5,134.912339
526,134.570739
526.5,134.333516
527,134.077516
527.5,133.741796
528,133.356088
528.5,132.890257
529,132.352525
529.5,131.644696
530,130.936777
530.5,130.080478
531,129.194913
531.5,128.314372
532,127.367216
532.5,126.450225
533,125.492112
533.5,124.498337
534,123.394151
534.5,122.319388
535,121.208518
535.5,120.04401
536,118.933459
536.5,117.823892
537,116.781477
537.5,115.775751
538,114.733223
538.5,113.656366
539,112.542794
539.5,111.396563
540,110.152748
540.5,108.875045
541,107.531903
541.5,106.16653
542,104.85224
542.5,103.558487
543,102.301636
543.5,101.03918
544,99.785715
544.5,98.500086
545,97.203709
545.5,95.847575
546,94.450115
546.5,93.104213
547,91.802122
547.5,90.47679
548,89.218781
548.5,88.034798
549,86.851937
549.5,85.678683
550,84.459841
550.5,83.205493
551,81.982152
551.5,80.807232
552,79.567861
552.5,78.352552
553,77.161822
553.5,75.972304
554,74.793127
554.5,73.618374
555,72.451574
555.5,71.304396
556,70.252571
556.5,69.198785
557,68.1947
557.5,67.191165
558,66.162337
558.5,65.121542
559,64.118778
559.5,63.156629
560,62.158234
560.5,61.178566
561,60.225476
561.5,59.33782
562,58.458228
562.5,57.572789
563,56.710481
563.5,55.877943
564,55.123042
564.5,54.331965
565,53.519379
565.5,52.716718
566,51.926624
566.5,51.139885
567,50.304546
567.5,49.509508
568,48.703502
568.5,47.955604
569,47.221365
569.5,46.452963
570,45.754845
570.5,45.080432
571,44.421608
571.5,43.742034
572,43.115876
572.5,42.493473
573,41.900101
573.5,41.298486
574,40.646811
574.5,40.010476
575,39.361967
575.5,38.697861
576,38.046515
576.5,37.394564
577,36.772157
577.5,36.166612
578,35.575617
578.5,34.996613
579,34.426852
579.5,33.859658
580,33.282
580.5,32.735496
581,32.167957
581.5,31.646425
582,31.129592
582.5,30.602176
583,30.117484
583.5,29.616694
584,29.097378
584.5,28.562957
585,28.036964
585.5,27.497228
586,27.011233
586.5,26.53115
587,26.040014
587.5,25.583773
588,25.108357
588.5,24.632517
589,24.145331
589.5,23.654717
590,23.163582
590.5,22.722071
591,22.310615
591.5,21.915138
592,21.567905
592.5,21.219342
593,20.881294
593.5,20.525988
594,20.158197
594.5,19.787947
595,19.401438
595.5,19.005346
596,18.613169
596.5,18.259783
597,17.919676
597.5,17.586724
598,17.220771
598.5,16.789581
599,16.301959
599.5,15.723905
600,15.068914
600.5,14.349
