Wavenumber (cm-1),% Transmittance
3859.70096,0.80711
3859.2188,0.80707
3858.73664,0.80424
3858.25447,0.79599
3857.77231,0.78626
3857.29015,0.7846
3856.80799,0.79054
3856.32583,0.79332
3855.84367,0.78148
3855.36151,0.74238
3854.87935,0.67517
3854.39718,0.63651
3853.91502,0.67112
3853.43286,0.71094
3852.9507,0.71645
3852.46854,0.71153
3851.98638,0.73222
3851.50422,0.76506
3851.02206,0.78593
3850.53989,0.79351
3850.05773,0.79552
3849.57557,0.79828
3849.09341,0.80247
3848.61125,0.80589
3848.12909,0.80779
3847.64693,0.80862
3847.16477,0.80882
3846.6826,0.80875
3846.20044,0.80831
3845.71828,0.80682
3845.23612,0.80155
3844.75396,0.78835
3844.2718,0.77334
3843.78964,0.77254
3843.30748,0.78522
3842.82531,0.79576
3842.34315,0.79438
3841.86099,0.78123
3841.37883,0.76787
3840.89667,0.76435
3840.41451,0.76848
3839.93235,0.77613
3839.45019,0.77739
3838.96802,0.75797
3838.48586,0.72429
3838.0037,0.71696
3837.52154,0.74614
3837.03938,0.77581
3836.55722,0.78835
3836.07506,0.78076
3835.59289,0.76285
3835.11073,0.75948
3834.62857,0.77567
3834.14641,0.7926
3833.66425,0.80099
3833.18209,0.79913
3832.69993,0.78373
3832.21777,0.76474
3831.7356,0.76435
3831.25344,0.78117
3830.77128,0.79645
3830.28912,0.80439
3829.80696,0.80766
3829.3248,0.80799
3828.84264,0.80638
3828.36048,0.80293
3827.87831,0.79487
3827.39615,0.784
3826.91399,0.78133
3826.43183,0.78919
3825.94967,0.7979
3825.46751,0.80261
3824.98535,0.80414
3824.50319,0.80404
3824.02102,0.80316
3823.53886,0.80007
3823.0567,0.78773
3822.57454,0.76073
3822.09238,0.73064
3821.61022,0.71435
3821.12806,0.71737
3820.6459,0.73895
3820.16373,0.76629
3819.68157,0.78566
3819.19941,0.79556
3818.71725,0.80034
3818.23509,0.80196
3817.75293,0.79604
3817.27077,0.77325
3816.78861,0.73534
3816.30644,0.71776
3815.82428,0.74193
3815.34212,0.77415
3814.85996,0.79402
3814.3778,0.80381
3813.89564,0.8084
3813.41348,0.81045
3812.93132,0.81135
3812.44915,0.81176
3811.96699,0.81197
3811.48483,0.81206
3811.00267,0.81204
3810.52051,0.81194
3810.03835,0.81166
3809.55619,0.81096
3809.07403,0.80879
3808.59186,0.80006
3808.1097,0.7756
3807.62754,0.74157
3807.14538,0.73269
3806.66322,0.75711
3806.18106,0.78359
3805.6989,0.79866
3805.21674,0.80559
3804.73457,0.80755
3804.25241,0.80401
3803.77025,0.79481
3803.28809,0.78435
3802.80593,0.76976
3802.32377,0.74018
3801.84161,0.71121
3801.35944,0.7202
3800.87728,0.75349
3800.39512,0.78055
3799.91296,0.7961
3799.4308,0.80354
3798.94864,0.80532
3798.46648,0.80342
3797.98432,0.79865
3797.50215,0.78708
3797.01999,0.77249
3796.53783,0.77175
3796.05567,0.78622
3795.57351,0.80038
3795.09135,0.80807
3794.60919,0.81163
3794.12703,0.81313
3793.64486,0.81367
3793.1627,0.8139
3792.68054,0.81411
3792.19838,0.81437
3791.71622,0.81469
3791.23406,0.81504
3790.7519,0.81508
3790.26974,0.81471
3789.78757,0.81435
3789.30541,0.81436
3788.82325,0.81453
3788.34109,0.81452
3787.85893,0.81416
3787.37677,0.8135
3786.89461,0.81255
3786.41245,0.81079
3785.93028,0.80698
3785.44812,0.80154
3784.96596,0.79908
3784.4838,0.80261
3784.00164,0.80834
3783.51948,0.81207
3783.03732,0.81344
3782.55516,0.81363
3782.07299,0.81359
3781.59083,0.81321
3781.10867,0.80932
3780.62651,0.79648
3780.14435,0.77929
3779.66219,0.77538
3779.18003,0.78747
3778.69787,0.80022
3778.2157,0.80737
3777.73354,0.81144
3777.25138,0.81389
3776.76922,0.81511
3776.28706,0.81568
3775.8049,0.81598
3775.32274,0.81601
3774.84058,0.81591
3774.35841,0.81583
3773.87625,0.81584
3773.39409,0.81571
3772.91193,0.81498
3772.42977,0.81351
3771.94761,0.81147
3771.46545,0.8055
3770.98328,0.78808
3770.50112,0.76498
3770.01896,0.76037
3769.5368,0.77778
3769.05464,0.79616
3768.57248,0.8065
3768.09032,0.81131
3767.60816,0.81212
3767.12599,0.80613
3766.64383,0.79116
3766.16167,0.77874
3765.67951,0.78297
3765.19735,0.79645
3764.71519,0.80633
3764.23303,0.81111
3763.75087,0.81323
3763.2687,0.81371
3762.78654,0.81359
3762.30438,0.81375
3761.82222,0.81347
3761.34006,0.80829
3760.8579,0.79248
3760.37574,0.77264
3759.89358,0.76712
3759.41141,0.77872
3758.92925,0.79362
3758.44709,0.80315
3757.96493,0.80345
3757.48277,0.79386
3757.00061,0.78507
3756.51845,0.78862
3756.03629,0.79884
3755.55412,0.80571
3755.07196,0.80729
3754.5898,0.80452
3754.10764,0.79767
3753.62548,0.77987
3753.14332,0.74256
3752.66116,0.70586
3752.179,0.71117
3751.69683,0.74234
3751.21467,0.76194
3750.73251,0.75444
3750.25035,0.71737
3749.76819,0.68454
3749.28603,0.70303
3748.80387,0.74253
3748.32171,0.76551
3747.83954,0.77371
3747.35738,0.77715
3746.87522,0.77659
3746.39306,0.7645
3745.9109,0.73042
3745.42874,0.67145
3744.94658,0.61881
3744.46442,0.62668
3743.98225,0.67628
3743.50009,0.71963
3743.01793,0.74129
3742.53577,0.74516
3742.05361,0.73785
3741.57145,0.72821
3741.08929,0.72391
3740.60712,0.72381
3740.12496,0.72173
3739.6428,0.71388
3739.16064,0.70048
3738.67848,0.68921
3738.19632,0.68235
3737.71416,0.66464
3737.232,0.63844
3736.74983,0.62354
3736.26767,0.61633
3735.78551,0.60636
3735.30335,0.60007
3734.82119,0.61045
3734.33903,0.62614
