Wavenumber (cm-1),% Transmittance
3999.45147,0.85636
3998.96932,0.85647
3998.48717,0.85648
3998.00502,0.85643
3997.52287,0.85647
3997.04071,0.85655
3996.55856,0.85689
3996.07641,0.85824
3995.59426,0.86019
3995.11211,0.86071
3994.62995,0.85937
3994.1478,0.85795
3993.66565,0.85741
3993.1835,0.85739
3992.70135,0.85735
3992.21919,0.8574
3991.73704,0.85843
3991.25489,0.86033
3990.77274,0.86134
3990.29058,0.8607
3989.80843,0.8594
3989.32628,0.85816
3988.84413,0.85729
3988.36198,0.85687
3987.87982,0.85669
3987.39767,0.85665
3986.91552,0.85689
3986.43337,0.85734
3985.95122,0.85768
3985.46906,0.85775
3984.98691,0.85768
3984.50476,0.85765
3984.02261,0.85776
3983.54046,0.85821
3983.0583,0.85899
3982.57615,0.85941
3982.094,0.85906
3981.61185,0.85849
3981.1297,0.85822
3980.64754,0.85817
3980.16539,0.85814
3979.68324,0.85791
3979.20109,0.85754
3978.71894,0.8573
3978.23678,0.85728
3977.75463,0.85766
3977.27248,0.85894
3976.79033,0.86087
3976.30817,0.86213
3975.82602,0.8622
3975.34387,0.86177
3974.86172,0.86145
3974.37957,0.86128
3973.89741,0.86104
3973.41526,0.8613
3972.93311,0.86229
3972.45096,0.8625
3971.96881,0.86108
3971.48665,0.85931
3971.0045,0.85834
3970.52235,0.85865
3970.0402,0.86061
3969.55805,0.86257
3969.07589,0.86218
3968.59374,0.86022
3968.11159,0.85872
3967.62944,0.85793
3967.14729,0.85749
3966.66513,0.85732
3966.18298,0.85744
3965.70083,0.85786
3965.21868,0.85836
3964.73652,0.85862
3964.25437,0.85855
3963.77222,0.85847
3963.29007,0.85986
3962.80792,0.86426
3962.32576,0.86884
3961.84361,0.86853
3961.36146,0.86437
3960.87931,0.86113
3960.39716,0.86013
3959.915,0.85988
3959.43285,0.85972
3958.9507,0.86003
3958.46855,0.86052
3957.9864,0.86125
3957.50424,0.86247
3957.02209,0.86271
3956.53994,0.86135
3956.05779,0.86011
3955.57564,0.85957
3955.09348,0.85903
3954.61133,0.85892
3954.12918,0.86042
3953.64703,0.86295
3953.16488,0.86388
3952.68272,0.86244
3952.20057,0.86062
3951.71842,0.86063
3951.23627,0.86525
3950.75411,0.8748
3950.27196,0.88118
3949.78981,0.87772
3949.30766,0.87211
3948.82551,0.87276
3948.34335,0.87793
3947.8612,0.88062
3947.37905,0.87629
3946.8969,0.86832
3946.41475,0.86237
3945.93259,0.8599
3945.45044,0.86055
3944.96829,0.86313
3944.48614,0.86567
3944.00399,0.87175
3943.52183,0.88646
3943.03968,0.8988
3942.55753,0.8929
3942.07538,0.8776
3941.59323,0.86697
3941.11107,0.86208
3940.62892,0.85997
3940.14677,0.85933
3939.66462,0.85994
3939.18246,0.86141
3938.70031,0.86246
3938.21816,0.86194
3937.73601,0.86036
3937.25386,0.85902
3936.7717,0.85841
3936.28955,0.85857
3935.8074,0.85948
3935.32525,0.86166
3934.8431,0.86523
3934.36094,0.86778
3933.87879,0.87047
3933.39664,0.88135
3932.91449,0.89866
3932.43234,0.90337
3931.95018,0.89148
3931.46803,0.88059
3930.98588,0.87688
3930.50373,0.87644
3930.02158,0.87733
3929.53942,0.87626
3929.05727,0.87128
3928.57512,0.86605
3928.09297,0.86273
3927.61081,0.86072
3927.12866,0.86001
3926.64651,0.86276
3926.16436,0.87349
3925.68221,0.88967
3925.20005,0.89789
3924.7179,0.89413
3924.23575,0.88714
3923.7536,0.87971
3923.27145,0.87147
3922.78929,0.86504
3922.30714,0.86178
3921.82499,0.86175
3921.34284,0.86872
3920.86069,0.88506
3920.37853,0.89754
3919.89638,0.89124
3919.41423,0.87682
3918.93208,0.86939
3918.44993,0.87544
3917.96777,0.89421
3917.48562,0.9101
3917.00347,0.90853
3916.52132,0.89519
3916.03917,0.87974
3915.55701,0.86828
3915.07486,0.86257
3914.59271,0.86046
3914.11056,0.85975
3913.6284,0.85944
3913.14625,0.85929
3912.6641,0.85907
3912.18195,0.85874
3911.6998,0.85855
3911.21764,0.85856
3910.73549,0.85858
3910.25334,0.85862
3909.77119,0.85878
3909.28904,0.85899
3908.80688,0.85915
3908.32473,0.85946
3907.84258,0.86081
3907.36043,0.86691
3906.87828,0.88122
3906.39612,0.89641
3905.91397,0.90245
3905.43182,0.91151
3904.94967,0.9384
3904.46752,0.95918
3903.98536,0.94004
3903.50321,0.91455
3903.02106,0.91796
3902.53891,0.94701
3902.05675,0.96072
3901.5746,0.93274
3901.09245,0.90256
3900.6103,0.90017
3900.12815,0.92793
3899.64599,0.95655
3899.16384,0.94524
3898.68169,0.91489
3898.19954,0.89211
3897.71739,0.87724
3897.23523,0.86829
3896.75308,0.86395
3896.27093,0.86209
3895.78878,0.86193
3895.30663,0.86467
3894.82447,0.87024
3894.34232,0.8743
3893.86017,0.87452
3893.37802,0.87551
3892.89587,0.88385
3892.41371,0.90699
3891.93156,0.94216
3891.44941,0.95374
3890.96726,0.92491
3890.48511,0.89318
3890.00295,0.87538
3889.5208,0.86725
3889.03865,0.86393
3888.5565,0.86307
3888.07434,0.86396
3887.59219,0.86959
3887.11004,0.88983
3886.62789,0.93369
3886.14574,0.97749
3885.66358,0.96452
3885.18143,0.92074
3884.69928,0.89374
3884.21713,0.88698
3883.73498,0.88842
3883.25282,0.88526
3882.77067,0.87806
3882.28852,0.87822
3881.80637,0.89426
3881.32422,0.92865
3880.84206,0.9681
3880.35991,0.97139
3879.87776,0.93251
3879.39561,0.89514
3878.91346,0.87523
3878.4313,0.86666
3877.94915,0.86345
3877.467,0.8627
3876.98485,0.86305
3876.50269,0.86399
3876.02054,0.86816
3875.53839,0.88454
3875.05624,0.9192
3874.57409,0.95187
3874.09193,0.94623
3873.60978,0.91443
3873.12763,0.88878
3872.64548,0.87923
3872.16333,0.88316
3871.68117,0.89633
3871.19902,0.92149
3870.71687,0.96376
3870.23472,1.00502
3869.75257,1.00571
3869.27041,0.96563
3868.78826,0.91912
3868.30611,0.88893
3867.82396,0.87491
3867.34181,0.87099
3866.85965,0.87541
3866.3775,0.8923
3865.89535,0.92702
3865.4132,0.96376
3864.93105,0.96363
3864.44889,0.93425
3863.96674,0.90754
3863.48459,0.89321
3863.00244,0.89527
3862.52028,0.91406
3862.03813,0.92749
3861.55598,0.91302
3861.07383,0.88916
3860.59168,0.87434
3860.10952,0.868
3859.62737,0.86601
3859.14522,0.86638
3858.66307,0.87164
3858.18092,0.8872
3857.69876,0.907
3857.21661,0.91122
3856.73446,0.89987
3856.25231,0.89439
3855.77016,0.90887
3855.288,0.95076
3854.80585,1.03408
3854.3237,1.11769
3853.84155,1.07886
3853.3594,1.02615
3852.87724,1.01945
3852.39509,1.02172
3851.91294,0.98097
3851.43079,0.92954
3850.94863,0.9006
3850.46648,0.89176
3849.98433,0.89057
3849.50218,0.88577
3849.02003,0.87717
3848.53787,0.87006
3848.05572,0.86621
3847.57357,0.86492
3847.09142,0.86519
3846.60927,0.86566
3846.12711,0.86647
3845.64496,0.86956
3845.16281,0.87917
3844.68066,0.90168
3844.19851,0.92913
3843.71635,0.9311
3843.2342,0.90742
3842.75205,0.8888
3842.2699,0.89036
3841.78775,0.91232
3841.30559,0.93896
3840.82344,0.95087
3840.34129,0.94664
3839.85914,0.93248
3839.37698,0.92648
3838.89483,0.94786
3838.41268,0.99233
3837.93053,1.00288
3837.44838,0.95812
3836.96622,0.91767
3836.48407,0.90254
3836.00192,0.91491
3835.51977,0.94319
3835.03762,0.94833
3834.55546,0.92015
3834.07331,0.89293
3833.59116,0.88001
3833.10901,0.88272
3832.62686,0.90577
3832.1447,0.93758
3831.66255,0.93945
3831.1804,0.91119
3830.69825,0.88663
3830.2161,0.87403
3829.73394,0.86901
3829.25179,0.86904
3828.76964,0.87257
3828.28749,0.87897
3827.80534,0.89261
3827.32318,0.91201
3826.84103,0.91752
3826.35888,0.90336
3825.87673,0.88776
3825.39457,0.87941
3824.91242,0.87705
3824.43027,0.87792
3823.94812,0.88026
3823.46597,0.88561
3822.98381,0.90261
3822.50166,0.94199
3822.01951,0.99762
3821.53736,1.03875
3821.05521,1.03822
3820.57305,0.99598
3820.0909,0.94579
3819.60875,0.91203
3819.1266,0.89488
3818.64445,0.88653
3818.16229,0.88383
3817.68014,0.89265
3817.19799,0.92204
3816.71584,0.97329
3816.23369,1.00272
3815.75153,0.96645
3815.26938,0.91987
3814.78723,0.89148
3814.30508,0.87716
3813.82292,0.87032
3813.34077,0.86708
3812.85862,0.86547
3812.37647,0.86453
3811.89432,0.86404
3811.41216,0.86402
3810.93001,0.86427
3810.44786,0.8646
3809.96571,0.86527
3809.48356,0.86688
3809.0014,0.87115
3808.51925,0.88425
3808.0371,0.91636
3807.55495,0.96512
3807.0728,0.98195
3806.59064,0.94554
3806.10849,0.90753
3805.62634,0.88608
3805.14419,0.87642
3804.66204,0.87429
3804.17988,0.88122
3803.69773,0.89896
3803.21558,0.92016
3802.73343,0.94238
3802.25128,0.9797
3801.76912,1.02236
3801.28697,1.01026
3800.80482,0.95954
3800.32267,0.91842
3799.84051,0.89415
3799.35836,0.88258
3798.87621,0.88028
3798.39406,0.88452
3797.91191,0.89295
3797.42975,0.91077
3796.9476,0.93481
3796.46545,0.93594
3795.9833,0.9101
3795.50115,0.88597
3795.01899,0.8729
3794.53684,0.86692
3794.05469,0.86445
3793.57254,0.8635
3793.09039,0.86315
3792.60823,0.8629
3792.12608,0.86263
3791.64393,0.86246
3791.16178,0.86254
3790.67963,0.86285
3790.19747,0.86342
3789.71532,0.86389
3789.23317,0.86375
3788.75102,0.86327
3788.26886,0.86322
3787.78671,0.86405
3787.30456,0.86555
3786.82241,0.86761
3786.34026,0.87112
3785.8581,0.87855
3785.37595,0.8894
3784.8938,0.89447
3784.41165,0.88735
3783.9295,0.87598
3783.44734,0.86871
3782.96519,0.86612
3782.48304,0.86599
3782.00089,0.86624
3781.51874,0.86691
3781.03658,0.87343
3780.55443,0.89524
3780.07228,0.92751
3779.59013,0.93686
3779.10798,0.91471
3778.62582,0.89178
3778.14367,0.87873
3777.66152,0.87107
3777.17937,0.86656
3776.69722,0.86438
3776.21506,0.86342
3775.73291,0.86297
3775.25076,0.86293
3774.76861,0.86316
3774.28645,0.86342
3773.8043,0.8635
3773.32215,0.86369
3772.84,0.86492
3772.35785,0.86781
3771.87569,0.87222
3771.39354,0.88242
3770.91139,0.90885
3770.42924,0.94682
3769.94709,0.95597
3769.46493,0.92653
3768.98278,0.89691
3768.50063,0.88023
3768.01848,0.87268
3767.53633,0.87207
3767.05417,0.88203
3766.57202,0.9067
3766.08987,0.92952
3765.60772,0.92263
3765.12557,0.89901
3764.64341,0.88221
3764.16126,0.87412
3763.67911,0.87068
3763.19696,0.86999
3762.7148,0.87021
3762.23265,0.86977
3761.7505,0.87031
3761.26835,0.87861
3760.7862,0.90371
3760.30404,0.94001
3759.82189,0.95505
3759.33974,0.93604
3758.85759,0.90874
3758.37544,0.89085
3757.89328,0.88922
3757.41113,0.90495
3756.92898,0.92108
3756.44683,0.91488
3755.96468,0.89663
3755.48252,0.88449
3755.00037,0.88199
3754.51822,0.88785
3754.03607,0.9005
3753.55392,0.92535
3753.07176,0.97402
3752.58961,1.03258
3752.10746,1.03043
3751.62531,0.98545
3751.14315,0.9575
3750.661,0.96237
3750.17885,1.00371
3749.6967,1.04791
3749.21455,1.01603
3748.73239,0.95928
3748.25024,0.92996
3747.76809,0.91875
3747.28594,0.91149
3746.80379,0.90925
