cm-1,A
3859.62737,0.09583
3859.14522,0.0958
3858.66307,0.09493
3858.18092,0.09236
3857.69876,0.0894
3857.21661,0.08897
3856.73446,0.0909
3856.25231,0.09177
3855.77016,0.08699
3855.288,0.07232
3854.80585,0.05313
3854.3237,0.0452
3853.84155,0.05403
3853.3594,0.06558
3852.87724,0.06704
3852.39509,0.06484
3851.91294,0.07045
3851.43079,0.08135
3850.94863,0.08923
3850.46648,0.0923
3849.98433,0.09304
3849.50218,0.09384
3849.02003,0.09514
3848.53787,0.09622
3848.05572,0.09683
3847.57357,0.09704
3847.09142,0.09705
3846.60927,0.09701
3846.12711,0.09691
3845.64496,0.09648
3845.16281,0.09479
3844.68066,0.09062
3844.19851,0.08611
3843.71635,0.08599
3843.2342,0.08999
3842.75205,0.09342
3842.2699,0.09295
3841.78775,0.08867
3841.30559,0.08458
3840.82344,0.08375
3840.34129,0.08527
3839.85914,0.08772
3839.37698,0.08752
3838.89483,0.07932
3838.41268,0.06745
3837.93053,0.06518
3837.44838,0.07479
3836.96622,0.0858
3836.48407,0.09086
3836.00192,0.08862
3835.51977,0.08298
3835.03762,0.08198
3834.55546,0.08712
3834.07331,0.09278
3833.59116,0.09565
3833.10901,0.09501
3832.62686,0.08988
3832.1447,0.08394
3831.66255,0.08386
3831.1804,0.08916
3830.69825,0.09424
3830.2161,0.0969
3829.73394,0.09794
3829.25179,0.09797
3828.76964,0.09744
3828.28749,0.09638
3827.80534,0.09387
3827.32318,0.0905
3826.84103,0.08968
3826.35888,0.09218
3825.87673,0.09507
3825.39457,0.09666
3824.91242,0.09715
3824.43027,0.09706
3823.94812,0.09673
3823.46597,0.09572
3822.98381,0.09142
3822.50166,0.0825
3822.01951,0.07373
3821.53736,0.06971
3821.05521,0.07095
3820.57305,0.07724
3820.0909,0.0856
3819.60875,0.09181
3819.1266,0.09497
3818.64445,0.0964
3818.16229,0.0968
3817.68014,0.09443
3817.19799,0.08535
3816.71584,0.07191
3816.23369,0.06657
3815.75153,0.07448
3815.26938,0.08624
3814.78723,0.09399
3814.30508,0.09767
3813.82292,0.09916
3813.34077,0.09969
3812.85862,0.09991
3812.37647,0.10006
3811.89432,0.10016
3811.41216,0.10022
3810.93001,0.10022
3810.44786,0.1002
3809.96571,0.10014
3809.48356,0.09995
3809.0014,0.09929
3808.51925,0.0962
3808.0371,0.08734
3807.55495,0.07618
3807.0728,0.0736
3806.59064,0.08147
3806.10849,0.09082
3805.62634,0.09637
3805.14419,0.09879
3804.66204,0.09935
3804.17988,0.09812
3803.69773,0.09517
3803.21558,0.09187
3802.73343,0.08639
3802.25128,0.07542
3801.76912,0.06618
3801.28697,0.06906
3800.80482,0.08029
3800.32267,0.09023
3799.84051,0.09592
3799.35836,0.09846
3798.87621,0.09893
3798.39406,0.09821
3797.91191,0.09663
3797.42975,0.09295
3796.9476,0.08844
3796.46545,0.08821
3795.9833,0.09279
3795.50115,0.09751
3795.01899,0.10011
3794.53684,0.10124
3794.05469,0.10166
3793.57254,0.1018
3793.09039,0.10187
3792.60823,0.10196
3792.12608,0.10206
3791.64393,0.10214
3791.16178,0.1022
3790.67963,0.10219
3790.19747,0.10212
3789.71532,0.10206
3789.23317,0.10212
3788.75102,0.10225
3788.26886,0.1023
3787.78671,0.10221
3787.30456,0.102
3786.82241,0.1017
3786.34026,0.10118
3785.8581,0.10002
3785.37595,0.09834
3784.8938,0.0976
3784.41165,0.09876
3783.9295,0.10064
3783.44734,0.10189
3782.96519,0.10234
3782.48304,0.10238
3782.00089,0.10236
3781.51874,0.10227
3781.03658,0.10104
3780.55443,0.09682
3780.07228,0.0913
3779.59013,0.09003
3779.10798,0.09389
3778.62582,0.0982
3778.14367,0.10068
3777.66152,0.10204
3777.17937,0.10279
3776.69722,0.10316
3776.21506,0.10333
3775.73291,0.10344
3775.25076,0.10347
3774.76861,0.10347
3774.28645,0.10347
3773.8043,0.1035
3773.32215,0.1035
3772.84,0.10334
3772.35785,0.10293
3771.87569,0.10228
3771.39354,0.10022
3770.91139,0.09423
3770.42924,0.08674
3769.94709,0.08536
3769.46493,0.09102
3768.98278,0.09736
3768.50063,0.10101
3768.01848,0.10261
3767.53633,0.10276
3767.05417,0.10062
3766.57202,0.09558
3766.08987,0.09156
3765.60772,0.09296
3765.12557,0.09754
3764.64341,0.10102
3764.16126,0.10267
3763.67911,0.10332
3763.19696,0.10343
3762.7148,0.10343
3762.23265,0.10355
3761.7505,0.10348
3761.26835,0.10171
3760.7862,0.09643
3760.30404,0.09013
3759.82189,0.08852
3759.33974,0.09225
3758.85759,0.0972
3758.37544,0.10048
3757.89328,0.10061
3757.41113,0.09741
3756.92898,0.09457
3756.44683,0.09578
3755.96468,0.09926
3755.48252,0.10172
3755.00037,0.10234
3754.51822,0.10144
3754.03607,0.0991
3753.55392,0.09206
3753.07176,0.07786
3752.58961,0.06609
3752.10746,0.06836
3751.62531,0.07986
3751.14315,0.08823
3750.661,0.08596
3750.17885,0.07332
3749.6967,0.06369
3749.21455,0.06915
3748.73239,0.08275
3748.25024,0.09234
3747.76809,0.09643
3747.28594,0.09837
3746.80379,0.09884
3746.32163,0.09506
3745.83948,0.08247
3745.35733,0.06305
3744.87518,0.05006
3744.39303,0.05408
3743.91087,0.07043
3743.42872,0.08701
3742.94657,0.09692
3742.46442,0.09995
3741.98227,0.0985
3741.50011,0.09675
3741.01796,0.09768
3740.53581,0.10024
3740.05366,0.10199
3739.57151,0.10129
3739.08935,0.09849
3738.6072,0.09649
3738.12505,0.09515
3737.6429,0.08958
3737.16074,0.08205
3736.67859,0.08023
3736.19644,0.08144
3735.71429,0.07972
3735.23214,0.07839
3734.74998,0.08242
3734.26783,0.08998
3733.78568,0.09525
3733.30353,0.09273
3732.82138,0.08351
3732.33922,0.0785
3731.85707,0.0841
3731.37492,0.09343
3730.89277,0.09956
3730.41062,0.10242
3729.92846,0.10383
3729.44631,0.1046
3728.96416,0.10458
3728.48201,0.10383
3727.99986,0.10189
3727.5177,0.09764
3727.03555,0.0934
3726.5534,0.09339
3726.07125,0.09611
3725.58909,0.0976
3725.10694,0.09856
3724.62479,0.10066
3724.14264,0.10251
3723.66049,0.10176
3723.17833,0.09785
3722.69618,0.09383
3722.21403,0.09413
3721.73188,0.09851
3721.24973,0.10284
3720.76757,0.1049
3720.28542,0.1047
3719.80327,0.10258
3719.32112,0.10056
3718.83897,0.10127
3718.35681,0.1039
3717.87466,0.10594
3717.39251,0.10681
3716.91036,0.10713
3716.42821,0.10718
3715.94605,0.10646
3715.4639,0.10485
3714.98175,0.10393
3714.4996,0.10447
3714.01745,0.10428
3713.53529,0.09928
3713.05314,0.08787
3712.57099,0.07781
3712.08884,0.07881
3711.60668,0.08778
3711.12453,0.09556
3710.64238,0.09743
3710.16023,0.09318
3709.67808,0.08935
3709.19592,0.09219
3708.71377,0.09876
3708.23162,0.10376
3707.74947,0.10612
3707.26732,0.10678
3706.78516,0.10688
3706.30301,0.10694
3705.82086,0.10682
3705.33871,0.10692
3704.85656,0.10744
3704.3744,0.10778
3703.89225,0.10749
3703.4101,0.1063
3702.92795,0.10251
3702.4458,0.09605
3701.96364,0.09278
3701.48149,0.09641
3700.99934,0.10232
3700.51719,0.10583
3700.03503,0.1072
3699.55288,0.10794
3699.07073,0.10835
3698.58858,0.10831
3698.10643,0.10826
3697.62427,0.10821
3697.14212,0.1077
3696.65997,0.10723
3696.17782,0.1076
3695.69567,0.10827
3695.21351,0.10839
3694.73136,0.10808
3694.24921,0.10789
3693.76706,0.10787
3693.28491,0.10762
3692.80275,0.10592
3692.3206,0.10041
3691.83845,0.09254
3691.3563,0.08921
3690.87415,0.09283
3690.39199,0.0982
3689.90984,0.09849
3689.42769,0.08892
3688.94554,0.07579
3688.46339,0.07397
3687.98123,0.08501
3687.49908,0.09713
3687.01693,0.10419
3686.53478,0.1076
3686.05262,0.10903
3685.57047,0.10915
3685.08832,0.10874
3684.60617,0.10875
3684.12402,0.10936
3683.64186,0.1099
3683.15971,0.11014
3682.67756,0.11031
3682.19541,0.11041
3681.71326,0.11022
3681.2311,0.10951
3680.74895,0.10767
3680.2668,0.10411
3679.78465,0.1012
3679.3025,0.10204
3678.82034,0.10497
3678.33819,0.1062
3677.85604,0.105
3677.37389,0.10013
3676.89174,0.08877
3676.40958,0.07581
3675.92743,0.06964
3675.44528,0.0706
3674.96313,0.07728
3674.48097,0.0886
3673.99882,0.09931
3673.51667,0.10575
3673.03452,0.1084
3672.55237,0.10815
3672.07021,0.10266
3671.58806,0.08981
3671.10591,0.07832
3670.62376,0.07964
3670.14161,0.08857
3669.65945,0.09224
3669.1773,0.09121
3668.69515,0.09407
3668.213,0.10113
3667.73085,0.10697
3667.24869,0.10992
3666.76654,0.11112
3666.28439,0.11153
3665.80224,0.11172
3665.32009,0.11188
3664.83793,0.11202
3664.35578,0.11212
3663.87363,0.11219
3663.39148,0.11224
3662.90932,0.11227
3662.42717,0.11226
3661.94502,0.11224
3661.46287,0.11219
3660.98072,0.11194
3660.49856,0.11157
3660.01641,0.11148
3659.53426,0.11177
3659.05211,0.11206
3658.56996,0.11204
3658.0878,0.11116
3657.60565,0.10678
3657.1235,0.09703
3656.64135,0.08888
3656.1592,0.09105
3655.67704,0.09986
3655.19489,0.10694
3654.71274,0.11038
3654.23059,0.11165
3653.74844,0.11177
3653.26628,0.1113
3652.78413,0.10943
3652.30198,0.10377
3651.81983,0.09486
3651.33768,0.08814
3650.85552,0.08695
3650.37337,0.08585
3649.89122,0.08049
3649.40907,0.07898
3648.92691,0.08592
3648.44476,0.09121
3647.96261,0.08939
3647.48046,0.08795
3646.99831,0.09222
3646.51615,0.09938
3646.034,0.10544
3645.55185,0.10921
3645.0697,0.11127
3644.58755,0.1123
3644.10539,0.1125
3643.62324,0.11198
3643.14109,0.11109
3642.65894,0.11052
3642.17679,0.11072
3641.69463,0.11152
3641.21248,0.11235
3640.73033,0.11276
3640.24818,0.11285
3639.76603,0.11287
3639.28387,0.11247
3638.80172,0.11145
3638.31957,0.11073
3637.83742,0.11118
3637.35526,0.11216
3636.87311,0.11282
3636.39096,0.11307
3635.90881,0.113
3635.42666,0.11236
3634.9445,0.10987
3634.46235,0.10584
3633.9802,0.10409
3633.49805,0.10633
3633.0159,0.10953
3632.53374,0.11127
3632.05159,0.11157
3631.56944,0.11053
3631.08729,0.10694
3630.60514,0.09763
3630.12298,0.08486
3629.64083,0.07733
3629.15868,0.07597
3628.67653,0.07809
3628.19438,0.08647
3627.71222,0.09802
3627.23007,0.10515
3626.74792,0.10745
3626.26577,0.10861
3625.78362,0.11019
3625.30146,0.11166
3624.81931,0.1125
3624.33716,0.11267
3623.85501,0.11254
3623.37285,0.11245
3622.8907,0.11241
3622.40855,0.11189
3621.9264,0.11021
3621.44425,0.10836
3620.96209,0.10576
3620.47994,0.09927
3619.99779,0.09264
3619.51564,0.09371
3619.03349,0.09923
3618.55133,0.10073
3618.06918,0.09972
3617.58703,0.10206
3617.10488,0.10702
3616.62273,0.11048
3616.14057,0.11099
3615.65842,0.10899
3615.17627,0.10626
3614.69412,0.10566
3614.21197,0.10702
3613.72981,0.10575
3613.24766,0.10043
3612.76551,0.09754
3612.28336,0.10133
3611.8012,0.10748
3611.31905,0.11135
3610.8369,0.11172
3610.35475,0.1066
3609.8726,0.09747
3609.39044,0.09351
3608.90829,0.09861
3608.42614,0.1048
3607.94399,0.10561
3607.46184,0.10382
3606.97968,0.1048
3606.49753,0.10865
3606.01538,0.11196
3605.53323,0.11349
3605.05108,0.11408
3604.56892,0.11439
3604.08677,0.11417
3603.60462,0.11343
3603.12247,0.11299
3602.64032,0.11304
3602.15816,0.11237
3601.67601,0.11046
3601.19386,0.10922
3600.71171,0.10969
3600.22956,0.11077
3599.7474,0.11161
3599.26525,0.11177
3598.7831,0.11115
3598.30095,0.11105
3597.81879,0.11216
3597.33664,0.11295
3596.85449,0.11206
3596.37234,0.10951
3595.89019,0.10679
3595.40803,0.10653
3594.92588,0.10891
3594.44373,0.11074
3593.96158,0.11006
3593.47943,0.10898
3592.99727,0.11001
3592.51512,0.11242
3592.03297,0.11418
3591.55082,0.11477
3591.06867,0.1147
3590.58651,0.11443
3590.10436,0.11267
3589.62221,0.10675
3589.14006,0.0995
3588.65791,0.09812
3588.17575,0.10174
3587.6936,0.1026
3587.21145,0.09952
3586.7293,0.09905
3586.24714,0.10381
3585.76499,0.10942
3585.28284,0.11281
3584.80069,0.11426
3584.31854,0.11436
3583.83638,0.11408
3583.35423,0.11429
3582.87208,0.11491
3582.38993,0.11548
3581.90778,0.11575
3581.42562,0.11565
3580.94347,0.11501
3580.46132,0.11419
3579.97917,0.11397
3579.49702,0.11456
3579.01486,0.11537
3578.53271,0.11575
3578.05056,0.11541
3577.56841,0.11476
3577.08626,0.1147
3576.6041,0.11528
3576.12195,0.11572
3575.6398,0.11557
3575.15765,0.11513
3574.6755,0.115
3574.19334,0.1153
3573.71119,0.11572
3573.22904,0.11608
3572.74689,0.11639
3572.26473,0.11654
3571.78258,0.1163
3571.30043,0.11561
3570.81828,0.11507
3570.33613,0.11518
3569.85397,0.1149
3569.37182,0.11185
3568.88967,0.10549
3568.40752,0.10059
3567.92537,0.10081
3567.44321,0.1022
3566.96106,0.10163
3566.47891,0.10175
3565.99676,0.10449
3565.51461,0.10871
3565.03245,0.11216
3564.5503,0.11343
3564.06815,0.11339
3563.586,0.11364
3563.10385,0.11436
3562.62169,0.115
3562.13954,0.11556
3561.65739,0.11587
3561.17524,0.11538
3560.69308,0.11434
3560.21093,0.1141
3559.72878,0.11511
3559.24663,0.11627
3558.76448,0.11689
3558.28232,0.11699
3557.80017,0.11676
3557.31802,0.11663
3556.83587,0.11685
3556.35372,0.11718
3555.87156,0.11737
3555.38941,0.11734
3554.90726,0.11693
3554.42511,0.11614
3553.94296,0.1156
3553.4608,0.11515
3552.97865,0.1138
3552.4965,0.11246
3552.01435,0.11306
3551.5322,0.11492
3551.05004,0.11628
3550.56789,0.11691
3550.08574,0.11726
3549.60359,0.11726
3549.12143,0.11682
3548.63928,0.11619
3548.15713,0.11493
3547.67498,0.11263
3547.19283,0.1113
3546.71067,0.11228
3546.22852,0.11307
3545.74637,0.11232
3545.26422,0.11218
3544.78207,0.11344
3544.29991,0.11472
3543.81776,0.11545
3543.33561,0.11605
3542.85346,0.11674
3542.37131,0.11742
3541.88915,0.11787
3541.407,0.11804
3540.92485,0.11807
3540.4427,0.11806
3539.96055,0.11807
3539.47839,0.1181
3538.99624,0.11813
3538.51409,0.11817
3538.03194,0.11807
3537.54979,0.11747
3537.06763,0.1163
3536.58548,0.11557
3536.10333,0.11611
3535.62118,0.1172
3535.13902,0.11793
3534.65687,0.11826
3534.17472,0.11839
3533.69257,0.11843
3533.21042,0.11844
3532.72826,0.11839
