Created as New Dataset,Sample 104 By Administrator Date Monday, November 04 2019
cm-1,A
3368.00,0.2395
3366.00,0.2446
3364.00,0.2512
3362.00,0.2586
3360.00,0.2655
3358.00,0.2705
3356.00,0.2722
3354.00,0.2705
3352.00,0.2664
3350.00,0.2614
3348.00,0.2572
3346.00,0.2550
3344.00,0.2559
3342.00,0.2600
3340.00,0.2665
3338.00,0.2731
3336.00,0.2769
3334.00,0.2768
3332.00,0.2739
3330.00,0.2708
3328.00,0.2698
3326.00,0.2720
3324.00,0.2772
3322.00,0.2838
3320.00,0.2892
3318.00,0.2914
3316.00,0.2902
3314.00,0.2869
3312.00,0.2828
3310.00,0.2789
3308.00,0.2752
3306.00,0.2720
3304.00,0.2696
3302.00,0.2685
3300.00,0.2687
3298.00,0.2690
3296.00,0.2681
3294.00,0.2657
3292.00,0.2621
3290.00,0.2580
3288.00,0.2544
3286.00,0.2520
3284.00,0.2510
3282.00,0.2512
3280.00,0.2513
3278.00,0.2502
3276.00,0.2470
3274.00,0.2419
3272.00,0.2355
3270.00,0.2286
3268.00,0.2218
3266.00,0.2159
3264.00,0.2110
3262.00,0.2069
3260.00,0.2034
3258.00,0.2003
3256.00,0.1973
3254.00,0.1947
3252.00,0.1922
3250.00,0.1899
3248.00,0.1877
3246.00,0.1859
3244.00,0.1847
3242.00,0.1843
3240.00,0.1845
3238.00,0.1848
3236.00,0.1849
3234.00,0.1845
3232.00,0.1836
3230.00,0.1821
3228.00,0.1800
3226.00,0.1773
3224.00,0.1744
3222.00,0.1716
3220.00,0.1690
3218.00,0.1669
3216.00,0.1654
3214.00,0.1645
3212.00,0.1641
3210.00,0.1641
3208.00,0.1643
3206.00,0.1645
3204.00,0.1651
3202.00,0.1659
3200.00,0.1667
3198.00,0.1675
3196.00,0.1687
3194.00,0.1701
3192.00,0.1716
3190.00,0.1734
3188.00,0.1760
3186.00,0.1794
3184.00,0.1839
3182.00,0.1896
3180.00,0.1968
3178.00,0.2059
3176.00,0.2170
3174.00,0.2303
3172.00,0.2456
3170.00,0.2625
3168.00,0.2795
3166.00,0.2952
3164.00,0.3080
3162.00,0.3180
3160.00,0.3262
3158.00,0.3334
3156.00,0.3387
3154.00,0.3396
3152.00,0.3336
3150.00,0.3204
3148.00,0.3026
3146.00,0.2835
