Wavelength (nm),Intensity
475,21.671
475.5,19.577001
476,21.18
476.5,21.688
477,22.774
477.5,23.52
478,23.001
478.5,24.267
479,26.039
479.5,26.831
480,28.582
480.5,29.289
481,29.275
481.5,31.169
482,32.715001
482.5,32.807001
483,35.599
483.5,37.647
484,38.662
484.5,38.812
485,40.473
485.5,42.411
486,43.169
486.5,48.071
487,47.606
487.5,50.389
488,51.506
488.5,54.492999
489,56.043
489.5,59.126
490,59.657
490.5,61.409
491,63.3
491.5,65.444
492,68.817
492.5,67.663
493,73.26
493.5,74.696
494,79.375
494.5,78.441
495,82.179999
495.5,81.191999
496,86.587
496.5,89.502
497,90.52
497.5,94.182
498,95.221
498.5,99.063999
499,99.288999
499.5,101.209
500,104.615
500.5,106.623
501,110.563
501.5,113.333
502,114.87
502.5,116.325
503,118.772
503.5,122.241
504,125.216
504.5,129.046
505,130.533
505.5,130.493001
506,135.009001
506.5,136.756
507,136.274
507.5,139.119
508,140.659
508.5,141.877
509,146.646
509.5,147.747
510,148.13
510.5,150.676
511,153.877
511.5,153.723
512,156.009
512.5,155.68
513,157.125
513.5,160.598
514,160.596
514.5,160.886
515,163.896
515.5,164.178
516,164.031
516.5,166.065
517,168.779
517.5,167.096
518,171.628
518.5,170.718
519,167.302
519.5,166.478
520,172.679
520.5,168.449
521,173.892
521.5,173.181
522,171.751
522.5,169.946
523,172.386
523.5,173.674
524,173.186
524.5,177.262
525,169.863
525.5,170.231
526,170.878
526.5,171.536
527,169.624
527.5,168.309
528,167.973
528.5,167.789
529,171.918
529.5,162.494
530,166.352
530.5,164.508
531,163.749
531.5,162.372
532,163.884
532.5,160.963
533,158.418
533.5,159.673
534,156.689
534.5,157.537
535,153.968
535.5,153.26
536,150.852
536.5,151.673
537,147.215
537.5,145.603
538,145.603
538.5,143.14
539,141.239
539.5,139.708
540,140.034
540.5,138.226
541,135.107
541.5,131.811
542,130.079
542.5,130.996
543,128.376
543.5,129.546
544,123.866
544.5,124.791
545,124.081
545.5,122.215
546,116.949
546.5,118.641
547,115.898
547.5,113.298
548,111.41
548.5,112.209
549,107.412
549.5,109.535
550,106.79
550.5,104.408
551,102.97
551.5,100.225
552,100.214
552.5,97.468
553,96.343
553.5,94.807
554,93.861999
554.5,92.074
555,92.679999
555.5,91.25
556,87.663
556.5,86.62
557,87.752
557.5,85.921
558,83.96
558.5,80.796
559,83.657
559.5,79.96
560,79.170999
560.5,78.276
561,75.390999
561.5,76.652
562,75.468
562.5,72.569
563,72.636
563.5,70.717999
564,70.845999
564.5,69.098999
565,67.578999
565.5,68.279999
566,66.998
566.5,63.717
567,62.69
567.5,64.906
568,62.602
568.5,59.787
569,59.66
569.5,60.3
570,56.48
570.5,58.538
571,58.429
571.5,56.517999
572,55.589
572.5,53.627
573,52.664
573.5,50.978
574,50.231
574.5,49.38
575,51.081
575.5,47.518
576,50.355
576.5,47.659
577,48.684
577.5,47.464
578,45.569
578.5,43.042
579,43.692
579.5,44.117
580,40.594
580.5,41.496
581,39.697
581.5,39.793
582,39.938
582.5,38.554
583,39.478
583.5,38.179
584,38.62
584.5,35.61
585,37.200999
585.5,37.09
586,34.928
586.5,34.727
587,33.664
587.5,32.447
588,32.26
588.5,33.018
589,30.812
589.5,30.729
590,30.754
590.5,29.272
591,26.206
591.5,26.874
592,28.607
592.5,27.329
593,26.302
593.5,25.315
594,25.589
594.5,26.601
595,25.19
595.5,25.033
596,23.673
596.5,23.45
597,23.52
597.5,21.831
598,21.084
598.5,22.303
599,20.588
599.5,20.095
600,20.274
600.5,20.994
