Wavelength (nm),Intensity,,350.929481
475,20.236333,,
475.5,21.018952,,
476,21.938822,,
476.5,23.052785,,
477,24.413425,,
477.5,26.021805,,
478,27.828752,,
478.5,29.780469,,
479,31.898926,,
479.5,34.064442,,
480,36.315091,,
480.5,38.635979,,
481,41.078415,,
481.5,43.59416,,
482,46.226235,,
482.5,49.002773,,
483,51.905214,,
483.5,54.972545,,
484,58.236076,,
484.5,61.595795,,
485,65.063229,,
485.5,68.714509,,
486,72.462903,,
486.5,76.298569,,
487,80.205446,,
487.5,84.178295,,
488,88.256004,,
488.5,92.447741,,
489,96.759639,,
489.5,101.074425,,
490,105.581428,,
490.5,110.079339,,
491,114.57555,,
491.5,118.969711,,
492,123.457707,,
492.5,128.067076,,
493,132.81113,,
493.5,137.774317,,
494,142.902428,,
494.5,148.212704,,
495,153.538195,,
495.5,158.941648,,
496,164.09737,,
496.5,169.078518,,
497,173.931946,,
497.5,178.662671,,
498,183.468903,,
498.5,188.423983,,
499,193.638702,,
499.5,199.073718,,
500,204.764241,,
500.5,210.424055,,
501,215.874781,,
501.5,221.164156,,
502,226.262666,,
502.5,231.122045,,
503,235.804923,,
503.5,240.455722,,
504,245.107858,,
504.5,249.86191,,
505,254.602554,,
505.5,259.160415,,
506,263.646261,,
506.5,268.153422,,
507,272.580473,,
507.5,276.804487,,
508,281.057522,,
508.5,285.309595,,
509,289.772277,,
509.5,294.227313,,
510,298.413874,,
510.5,302.397935,,
511,306.242411,,
511.5,309.847646,,
512,313.179352,,
512.5,316.399928,,
513,319.429652,,
513.5,322.395503,,
514,325.339182,,
514.5,328.025446,,
515,330.457228,,
515.5,332.802834,,
516,335.001211,,
516.5,337.059695,,
517,339.096369,,
517.5,341.051304,,
518,342.862022,,
518.5,344.683756,,
519,346.284748,,
519.5,347.594941,,
520,348.622351,,
520.5,349.39139,,
521,349.916769,,
521.5,350.415172,,
522,350.71541,,
522.5,350.83989,,
523,350.91578,,
523.5,350.929481,,
524,350.717847,,
524.5,350.387271,,
525,349.842324,,
525.5,349.155123,,
526,348.572818,,
526.5,347.756588,,
527,346.730906,,
527.5,345.578437,,
528,344.288942,,
528.5,342.831419,,
529,341.257596,,
529.5,339.570738,,
530,337.765832,,
530.5,336.050989,,
531,334.318078,,
531.5,332.338199,,
532,330.328048,,
532.5,328.14674,,
533,325.748462,,
533.5,323.206045,,
534,320.504903,,
534.5,317.732409,,
535,315.015331,,
535.5,312.241592,,
536,309.336215,,
536.5,306.449784,,
537,303.418601,,
537.5,300.360418,,
538,297.325692,,
538.5,294.215698,,
539,291.082753,,
539.5,288.070271,,
540,285.074847,,
540.5,282.021239,,
541,279.05315,,
541.5,275.827499,,
542,272.660094,,
542.5,269.566428,,
543,266.448774,,
543.5,263.343313,,
544,260.317728,,
544.5,257.248001,,
545,253.98868,,
545.5,250.661584,,
546,246.930383,,
546.5,243.119869,,
547,239.201222,,
547.5,235.333567,,
548,231.581272,,
548.5,227.979542,,
549,224.723152,,
549.5,221.62765,,
550,218.629612,,
550.5,215.537975,,
551,212.478047,,
551.5,209.29203,,
552,206.147182,,
552.5,202.993159,,
553,199.877842,,
553.5,196.916322,,
554,194.081672,,
554.5,191.322404,,
555,188.587116,,
555.5,185.829976,,
556,182.994048,,
556.5,180.21208,,
557,177.412314,,
557.5,174.624565,,
558,171.879021,,
558.5,169.209791,,
559,166.66683,,
559.5,164.177992,,
560,161.720812,,
560.5,159.377797,,
561,157.049161,,
561.5,154.724998,,
562,152.468526,,
562.5,150.279682,,
563,148.073655,,
563.5,145.932821,,
564,143.745827,,
564.5,141.524466,,
565,139.448018,,
565.5,137.374125,,
566,135.223472,,
566.5,133.137076,,
567,131.107384,,
567.5,129.151682,,
568,127.231187,,
568.5,125.267657,,
569,123.306558,,
569.5,121.424366,,
570,119.587926,,
570.5,117.696418,,
571,115.838635,,
571.5,114.012437,,
572,112.275834,,
572.5,110.564001,,
573,108.833896,,
573.5,107.178164,,
574,105.539218,,
574.5,103.917329,,
575,102.244792,,
575.5,100.553696,,
576,98.822642,,
576.5,97.151595,,
577,95.51195,,
577.5,93.916053,,
578,92.40047,,
578.5,90.903908,,
579,89.423418,,
579.5,87.934829,,
580,86.462314,,
580.5,84.93528,,
581,83.434198,,
581.5,81.964227,,
582,80.552266,,
582.5,79.209794,,
583,77.926442,,
583.5,76.732182,,
584,75.580537,,
584.5,74.465224,,
585,73.311168,,
585.5,72.088388,,
586,70.851068,,
586.5,69.597647,,
587,68.291193,,
587.5,66.927173,,
588,65.560315,,
588.5,64.210012,,
589,62.896526,,
589.5,61.640668,,
590,60.40363,,
590.5,59.241539,,
591,58.140384,,
591.5,57.040778,,
592,55.942679,,
592.5,54.811945,,
593,53.713895,,
593.5,52.640642,,
594,51.612823,,
594.5,50.597294,,
595,49.635167,,
595.5,48.686787,,
596,47.741088,,
596.5,46.867947,,
597,45.996819,,
597.5,45.161951,,
598,44.333485,,
598.5,43.538754,,
599,42.815505,,
599.5,42.144805,,
600,41.510734,,
600.5,40.887999,,
