Wavelength (nm),Intensity (a.u.),
485,-1.246212,
485.5,1.754701,
486,4.769453,
486.5,7.870547,
487,10.932079,
487.5,14.004751,
488,17.119115,
488.5,20.158679,
489,23.111161,
489.5,26.038225,
490,29.047647,
490.5,32.047446,
491,35.314172,
491.5,38.605,
492,41.981636,
492.5,45.555888,
493,49.026915,
493.5,52.441034,
494,55.859304,
494.5,59.310032,
495,62.713531,
495.5,66.369148,
496,70.044926,
496.5,73.728657,
497,77.545118,
497.5,81.220827,
498,84.767772,
498.5,88.274573,90.85610061
499,91.773839,
499.5,95.280712,
500,98.997969,
500.5,102.785736,
501,106.59142,
501.5,110.426465,
502,114.127989,
502.5,117.537263,
503,120.746547,
503.5,123.846117,
504,126.947589,
504.5,130.073219,
505,133.134562,
505.5,136.216477,
506,139.275669,
506.5,142.345503,
507,145.389017,
507.5,148.380199,
508,151.256108,
508.5,154.084501,
509,156.875185,
509.5,159.522437,
510,162.088136,
510.5,164.409527,
511,166.532628,
511.5,168.597963,
512,170.720359,
512.5,172.775003,
513,174.740729,
513.5,176.843302,
514,178.94942,
514.5,181.123197,
515,183.195043,
515.5,185.024975,
516,186.752849,
516.5,188.357011,
517,189.8553,
517.5,190.998529,
518,192.057377,
518.5,192.870407,
519,193.549322,
519.5,194.164946,
520,194.621095,
520.5,195.149765,
521,195.629427,
521.5,196.153998,
522,196.558829,
522.5,197.021797,
523,197.307866,
523.5,197.484635,
524,197.540604,
524.5,197.245881,
525,196.863728,
525.5,196.335206,
526,195.736447,
526.5,195.114892,
527,194.51944,
527.5,193.786478,
528,192.98377,
528.5,192.209524,
529,191.267249,
529.5,190.280699,
530,189.258461,
530.5,188.202965,
531,187.206585,
531.5,186.16902,
532,184.979392,
532.5,183.652902,
533,182.265743,
533.5,180.828936,
534,179.354355,
534.5,177.886137,
535,176.419345,
535.5,175.082734,
536,173.733072,
536.5,172.391445,
537,170.936487,
537.5,169.28374,
538,167.587937,
538.5,165.757165,
539,163.861909,
539.5,161.941949,
540,160.037969,
540.5,158.012235,
541,155.985197,
541.5,154.06469,
542,152.057845,
542.5,150.201125,
543,148.366502,
543.5,146.474788,
544,144.532645,
544.5,142.506167,
545,140.419858,
545.5,138.317776,
546,136.31373,
546.5,134.346135,
547,132.531983,
547.5,130.956051,
548,129.40404,
548.5,127.840238,
549,126.135024,
549.5,124.359565,
550,122.428679,
550.5,120.373723,
551,118.254091,
551.5,116.107854,
552,114.23826,
552.5,112.493012,
553,110.852666,
553.5,109.170414,
554,107.607046,
554.5,106.11606,
555,104.532216,
555.5,102.925089,
556,101.19708,
556.5,99.582922,
557,98.001547,
557.5,96.528105,
558,95.099397,
558.5,93.703526,
559,92.426711,
559.5,91.081164,
560,89.68932,
560.5,88.153203,
561,86.68575,
561.5,85.241861,
562,83.890181,
562.5,82.663338,
563,81.414804,
563.5,80.356022,
564,79.300739,
564.5,78.217549,
565,77.009132,
565.5,75.747633,
566,74.441582,
566.5,73.063296,
567,71.765381,
567.5,70.418608,
568,69.273201,
568.5,68.223494,
569,67.15768,
569.5,66.062831,
570,64.928261,
570.5,63.807358,
571,62.590048,
571.5,61.3599,
572,60.049208,
572.5,58.860497,
573,57.800056,
573.5,56.826598,
574,55.9387,
574.5,55.052169,
575,54.210143,
575.5,53.381602,
576,52.495956,
576.5,51.576723,
577,50.676782,
577.5,49.75346,
578,48.86655,
578.5,48.006933,
579,47.074511,
579.5,46.087607,
580,45.125606,
580.5,44.173665,
581,43.206764,
581.5,42.283696,
582,41.33731,
582.5,40.514216,
583,39.825653,
583.5,39.179705,
584,38.552446,
584.5,37.994754,
585,37.452887,
585.5,36.868773,
586,36.283891,
586.5,35.578051,
587,34.798123,
587.5,33.934184,
588,33.0107,
588.5,32.056777,
589,31.133214,
589.5,30.255612,
590,29.414297,
590.5,28.650064,
591,27.952411,
591.5,27.307384,
592,26.646121,
592.5,26.00441,
593,25.399414,
593.5,24.903952,
594,24.424903,
594.5,23.962736,
595,23.4768,
595.5,23.032235,
596,22.606845,
596.5,22.116633,
597,21.561134,
597.5,21.006276,
598,20.5673,
598.5,20.195422,
599,19.908523,
599.5,19.616145,
600,19.421739,
600.5,19.342,
