Time (s),Heat Flow (mJ/s)
106.99998,16.550666
107.20002,16.534493
107.4,16.518358
107.59998,16.502338
107.80002,16.486776
108,16.471237
108.19998,16.455675
108.40002,16.440022
108.6,16.424391
108.79998,16.408831
109.00002,16.393216
109.2,16.377604
109.39998,16.361952
109.60002,16.346211
109.8,16.330542
109.99998,16.314947
110.20002,16.299555
110.4,16.284129
110.59998,16.26872
110.80002,16.253477
111,16.238181
111.19998,16.222994
111.40002,16.208565
111.6,16.19436
111.79998,16.180116
112.00002,16.165761
112.2,16.152184
112.39998,16.138661
112.60002,16.12488
112.8,16.111267
112.99998,16.09769
113.20002,16.084076
113.4,16.070445
113.59998,16.056702
113.80002,16.043035
114,16.029329
114.19998,16.015957
114.40002,16.002604
114.6,15.98914
114.79998,15.975639
115.00002,15.963081
115.2,15.950448
115.39998,15.937668
115.60002,15.924981
115.8,15.912275
115.99998,15.899422
116.20002,15.886496
116.4,15.873902
116.59998,15.861437
116.80002,15.849121
117,15.836934
117.19998,15.82471
117.40002,15.812376
117.6,15.800116
117.79998,15.7878
118.00002,15.77543
118.2,15.763078
118.39998,15.751078
118.60002,15.739132
118.8,15.727261
118.99998,15.715391
119.20002,15.703501
119.4,15.691631
119.59998,15.679816
119.80002,15.668223
120,15.656796
120.19998,15.645758
120.40002,15.634774
120.6,15.623866
120.79998,15.612994
121.00002,15.602066
121.2,15.591306
121.39998,15.580675
121.60002,15.569895
121.8,15.559283
121.99998,15.548579
122.20002,15.538003
122.4,15.527576
122.59998,15.517131
122.80002,15.506629
123,15.49624
123.19998,15.485814
123.40002,15.475294
123.6,15.464979
123.79998,15.454776
124.00002,15.444552
124.2,15.434367
124.39998,15.424127
124.60002,15.413811
124.8,15.403663
124.99998,15.39359
125.20002,15.383385
125.4,15.373312
125.59998,15.363221
125.80002,15.353239
126,15.343369
126.19998,15.333279
126.40002,15.322983
126.6,15.313243
126.79998,15.303873
127.00002,15.294777
127.2,15.285924
127.39998,15.276961
127.60002,15.267736
127.8,15.258551
127.99998,15.249662
128.20002,15.240862
128.4,15.232158
128.59998,15.22338
128.80002,15.214544
129,15.20584
129.19998,15.197081
129.40002,15.188374
129.6,15.179726
129.79998,15.171171
130.00002,15.162538
130.2,15.153872
130.39998,15.145203
130.60002,15.136704
130.8,15.128149
130.99998,15.119554
131.20002,15.111148
131.4,15.102833
131.59998,15.094497
131.80002,15.086275
132,15.078013
132.19998,15.069958
132.40002,15.06205
132.6,15.054213
132.79998,15.046712
133.00002,15.039118
133.2,15.031779
133.39998,15.024518
133.60002,15.017147
133.8,15.009568
133.99998,15.002086
134.20002,14.994637
134.4,14.987137
134.59998,14.979693
134.80002,14.972262
135,14.964965
135.19998,14.957577
135.40002,14.950239
135.6,14.943035
135.79998,14.935868
136.00002,14.928826
136.2,14.921862
136.39998,14.914917
136.60002,14.908114
136.8,14.901372
136.99998,14.894649
137.20002,14.888087
137.4,14.881604
137.59998,14.875042
137.80002,14.868485
138,14.861947
138.19998,14.85544
138.40002,14.849142
138.6,14.842899
138.79998,14.836467
139.00002,14.829948
139.2,14.823373
139.39998,14.816683
139.60002,14.810183
139.8,14.80412
139.99998,14.79845
140.20002,14.792872
140.4,14.787147
140.59998,14.781342
140.80002,14.775525
141,14.769666
141.19998,14.76383
141.40002,14.758087
141.6,14.752209
141.79998,14.746356
142.00002,14.740576
142.2,14.734791
142.39998,14.729067
142.60002,14.72338
142.8,14.717724
142.99998,14.712092
143.20002,14.706461
143.4,14.700848
143.59998,14.695174
143.80002,14.689414
144,14.683611
144.19998,14.677888
144.40002,14.672312
144.6,14.666903
144.79998,14.661524
145.00002,14.656263
145.2,14.650872
145.39998,14.645457
145.60002,14.640269
145.8,14.6351
145.99998,14.62998
146.20002,14.624959
146.4,14.619919
146.59998,14.614898
146.80002,14.609926
147,14.605108
147.19998,14.600302
147.40002,14.595539
147.6,14.59074
147.79998,14.586051
148.00002,14.581412
148.2,14.576778
148.39998,14.572164
148.60002,14.567635
148.8,14.563112
148.99998,14.558645
149.20002,14.554117
149.4,14.549576
149.59998,14.545017
149.80002,14.540459
150,14.53593
150.19998,14.531445
150.40002,14.526979
150.6,14.522506
150.79998,14.518095
151.00002,14.513703
151.2,14.509285
151.39998,14.504893
151.60002,14.500464
151.8,14.496065
151.99998,14.491692
152.20002,14.487318
152.4,14.482901
152.59998,14.478546
152.80002,14.474228
153,14.469941
153.19998,14.465697
153.40002,14.461397
153.6,14.457054
153.79998,14.4527
154.00002,14.448364
154.2,14.444003
154.39998,14.439723
154.60002,14.435682
154.8,14.431616
154.99998,14.427409
155.20002,14.423203
155.4,14.419026
155.59998,14.415152
155.80002,14.411886
156,14.408336
156.19998,14.404812
156.40002,14.401343
156.6,14.397764
156.79998,14.393975
157.00002,14.38999
157.2,14.386036
157.39998,14.382254
157.60002,14.378472
157.8,14.374728
157.99998,14.371013
158.20002,14.367213
158.4,14.363487
158.59998,14.359809
158.80002,14.356285
159,14.352781
159.19998,14.34925
159.40002,14.345727
159.6,14.342131
159.79998,14.338571
160.00002,14.335022
160.2,14.331481
160.39998,14.327995
160.60002,14.324594
160.8,14.3212
160.99998,14.317862
161.20002,14.314516
161.4,14.311141
161.59998,14.30784
161.80002,14.30466
162,14.30158
162.19998,14.298482
162.40002,14.295321
162.6,14.292241
162.79998,14.289143
163.00002,14.286008
163.2,14.282865
163.39998,14.279767
163.60002,14.276706
163.8,14.273619
163.99998,14.270558
164.20002,14.267552
164.4,14.264502
164.59998,14.26146
164.80002,14.258436
165,14.255367
165.19998,14.252306
165.40002,14.249338
165.6,14.246417
165.79998,14.243559
166.00002,14.240609
166.2,14.237577
166.39998,14.234572
166.60002,14.231641
166.8,14.228646
166.99998,14.225752
167.20002,14.223024
167.4,14.220305
167.59998,14.217687
167.80002,14.215143
168,14.212738
168.19998,14.210305
168.40002,14.207834
168.6,14.205227
168.79998,14.202664
169.00002,14.200102
169.2,14.197613
169.39998,14.195117
169.60002,14.19261
169.8,14.190084
169.99998,14.187551
170.20002,14.185044
170.4,14.182555
170.59998,14.180133
170.80002,14.177755
171,14.175414
171.19998,14.173009
171.40002,14.170632
171.6,14.168199
171.79998,14.165721
172.00002,14.163306
172.2,14.160947
172.39998,14.158496
172.60002,14.156055
172.8,14.153751
172.99998,14.151595
173.20002,14.149449
173.4,14.147256
173.59998,14.145044
173.80002,14.142806
174,14.140613
174.19998,14.138457
174.40002,14.136292
174.6,14.134191
174.79998,14.132045
175.00002,14.129944
175.2,14.127844
175.39998,14.125761
175.60002,14.123671
175.8,14.121588
175.99998,14.119516
176.20002,14.117508
176.4,14.115573
176.59998,14.113629
176.80002,14.11175
177,14.109889
177.19998,14.107946
177.40002,14.105993
177.6,14.104068
177.79998,14.10228
178.00002,14.100475
178.2,14.098624
178.39998,14.096836
178.60002,14.095012
178.8,14.093235
178.99998,14.091503
179.20002,14.089734
179.4,14.088049
179.59998,14.086483
179.80002,14.084898
180,14.083287
180.19998,14.081666
180.40002,14.080063
180.6,14.078451
180.79998,14.076885
181.00002,14.075274
181.2,14.073689
181.39998,14.072179
181.60002,14.070696
181.8,14.069333
181.99998,14.067877
182.20002,14.066432
182.4,14.065013
182.59998,14.063705
182.80002,14.062425
183,14.061098
183.19998,14.05969
183.40002,14.058419
183.6,14.057129
183.79998,14.055886
184.00002,14.054725
184.2,14.053564
184.39998,14.052395
184.60002,14.051253
184.8,14.050083
184.99998,14.048959
185.20002,14.047854
185.4,14.046758
185.59998,14.045634
185.80002,14.044584
186,14.04347
186.19998,14.042383
186.40002,14.041306
186.6,14.040329
186.79998,14.039279
187.00002,14.038276
187.2,14.037299
187.39998,14.036323
187.60002,14.035338
187.8,14.034398
187.99998,14.033495
188.20002,14.032602
188.4,14.031699
188.59998,14.030778
188.80002,14.029866
189,14.029
189.19998,14.028116
189.40002,14.027223
189.6,14.026339
189.79998,14.02551
190.00002,14.02469
190.2,14.023898
190.39998,14.023087
190.60002,14.022268
190.8,14.021457
190.99998,14.020665
191.20002,14.019845
191.4,14.019053
191.59998,14.018279
191.80002,14.017524
192,14.016759
192.19998,14.016022
192.40002,14.015285
192.6,14.014521
192.79998,14.013802
193.00002,14.013102
193.2,14.012357
193.39998,14.011638
193.60002,14.010882
193.8,14.010118
193.99998,14.009381
194.20002,14.008663
194.4,14.00788
194.59998,14.007143
194.80002,14.006406
195,14.005624
195.19998,14.004887
195.40002,14.004131
195.6,14.003394
195.79998,14.002649
196.00002,14.00193
196.2,14.001212
196.39998,14.000493
196.60002,13.999729
196.8,13.998974
196.99998,13.998237
197.20002,13.997473
197.4,13.996699
197.59998,13.995944
197.80002,13.995162
198,13.994406
198.19998,13.993633
198.40002,13.99285
198.6,13.992058
198.79998,13.991284
199.00002,13.990502
199.2,13.98971
199.39998,13.988973
199.60002,13.988236
199.8,13.987454
199.99998,13.986699
200.20002,13.985907
200.4,13.985106
200.59998,13.984277
200.80002,13.983449
201,13.982638
201.19998,13.981764
201.40002,13.980972
201.6,13.980143
201.79998,13.979324
202.00002,13.978495
202.2,13.977667
202.39998,13.976811
202.60002,13.976019
202.8,13.975209
202.99998,13.974427
203.20002,13.973653
203.4,13.972898
203.59998,13.972152
203.80002,13.971416
204,13.970661
204.19998,13.969878
204.40002,13.969105
204.6,13.968313
204.79998,13.967513
205.00002,13.966739
205.2,13.966002
205.39998,13.965239
205.60002,13.96452
205.8,13.963839
205.99998,13.963112
206.20002,13.96243
206.4,13.961767
206.59998,13.96104
206.80002,13.960377
207,13.959714
207.19998,13.959024
207.40002,13.958398
207.6,13.957716
207.79998,13.957045
208.00002,13.9564
208.2,13.955755
208.39998,13.955084
208.60002,13.954476
208.8,13.953831
208.99998,13.953233
209.20002,13.952643
209.4,13.952072
209.59998,13.951474
209.80002,13.950885
210,13.950332
210.19998,13.949771
210.40002,13.949236
210.6,13.948702
210.79998,13.948104
211.00002,13.947533
211.2,13.94698
211.39998,13.9464
211.60002,13.945884
211.8,13.945423
211.99998,13.944991
212.20002,13.944604
212.4,13.944235
212.59998,13.943894
212.80002,13.943488
213,13.943119
213.19998,13.942705
213.40002,13.942336
213.6,13.941912
213.79998,13.941608
214.00002,13.941442
214.2,13.986699
214.39998,13.985907
214.60002,13.985106
214.8,13.984277
214.99998,13.983449
215.20002,13.982638
215.4,13.981764
215.59998,13.980972
215.80002,13.980143
216,13.979324
216.19998,13.978495
216.40002,13.977667
216.6,13.976811
216.79998,13.976019
217.00002,13.975209
217.2,13.974427
217.39998,13.973653
217.60002,13.972898
217.8,13.972152
217.99998,13.971416
218.20002,13.970661
218.4,13.969878
218.59998,13.969105
218.80002,13.968313
219,13.967513
219.19998,13.966739
219.40002,13.966002
219.6,13.965239
219.79998,13.96452
220.00002,13.963839
220.2,13.963112
220.39998,13.96243
220.60002,13.961767
220.8,13.96104
220.99998,13.960377
221.20002,13.959714
221.4,13.959024
221.59998,13.958398
221.80002,13.957716
222,13.957045
