Time (s),Heat Flow (J/s)
0,19.99444
1.00002,19.988937
1.99998,19.983434
3,19.978484
4.00002,19.973438
4.99998,19.968544
6,19.96386
7.00002,19.95929
7.99998,19.954739
9,19.950112
10.00002,19.945238
10.99998,19.940287
12,19.935241
13.00002,19.93031
13.99998,19.925321
15,19.920466
16.00002,19.915724
16.99998,19.911116
18,19.906566
19.00002,19.902224
19.99998,19.897902
21,19.893713
22.00002,19.889619
22.99998,19.885449
24,19.88126
25.00002,19.877014
25.99998,19.872882
27,19.868674
28.00002,19.864352
28.99998,19.860201
30,19.856031
31.00002,19.851829
31.99998,19.847793
33,19.843832
34.00002,19.839719
34.99998,19.835492
36,19.83117
37.00002,19.826752
37.99998,19.82243
39,19.818291
40.00002,19.814102
40.99998,19.809989
42,19.805915
43.00002,19.801935
43.99998,19.79807
45,19.794509
46.00002,19.791036
46.99998,19.787609
48,19.783934
49.00002,19.78024
49.99998,19.77647
51,19.773023
52.00002,19.768892
52.99998,19.766359
54,19.763293
55.00002,19.760228
55.99998,19.757353
57,19.75463
58.00002,19.751305
58.99998,19.747973
60,19.742634
61.00002,19.738254
61.99998,19.733627
63,19.728684
64.00002,19.723448
64.99998,19.718257
66,19.712526
67.00002,19.70464
67.99998,19.69169
69,19.675409
70.00002,19.654619
70.99998,19.627784
72,19.597907
73.00002,19.566777
73.99998,19.529948
75,19.490858
76.00002,19.45065
76.99998,19.408905
78,19.363606
79.00002,19.316085
79.99998,19.267591
81,19.218978
82.00002,19.168516
82.99998,19.1163
84,19.064366
85.00002,19.012485
85.99998,18.960849
87,18.909467
88.00002,18.858591
88.99998,18.807569
90,18.757745
91.00002,18.708636
91.99998,18.660849
93,18.613879
94.00002,18.568093
94.99998,18.522811
96,18.479928
97.00002,18.438756
97.99998,18.401679
99,18.365594
100.00002,18.329931
100.99998,18.294974
102,18.261142
103.00002,18.232403
103.99998,18.203043
105,18.175073
106.00002,18.147656
106.99998,18.12199
108,18.096688
109.00002,18.072241
109.99998,18.050477
111,18.029817
112.00002,18.009804
112.99998,17.989812
114,17.970753
115.00002,17.951962
115.99998,17.935299
117,17.918619
118.00002,17.902568
118.99998,17.886157
120,17.871704
121.00002,17.85841
121.99998,17.844661
123,17.831199
124.00002,17.818346
124.99998,17.807013
126,17.795377
127.00002,17.784065
127.99998,17.772943
129,17.762108
130.00002,17.751292
130.99998,17.740611
132,17.732606
133.00002,17.723426
133.99998,17.713961
135,17.704992
136.00002,17.69532
136.99998,17.686579
138,17.681103
139.00002,17.67337
139.99998,17.666111
141,17.659176
142.00002,17.652449
142.99998,17.645591
144,17.639074
145.00002,17.632919
145.99998,17.626897
147,17.621236
148.00002,17.616638
148.99998,17.611129
150,17.605736
151.00002,17.600436
151.99998,17.595479
153,17.590656
154.00002,17.586742
154.99998,17.583113
156,17.579296
157.00002,17.575231
157.99998,17.571319
159,17.56756
160.00002,17.563686
160.99998,17.559965
162,17.556471
163.00002,17.552901
163.99998,17.549673
165,17.546939
166.00002,17.544394
166.99998,17.541223
168,17.53828
169.00002,17.535452
169.99998,17.532756
171,17.530269
172.00002,17.527764
172.99998,17.525409
174,17.523434
175.00002,17.521517
175.99998,17.51956
177,17.517831
178.00002,17.515991
178.99998,17.514394
180,17.512761
181.00002,17.511053
181.99998,17.509438
183,17.508165
184.00002,17.506817
184.99998,17.505525
186,17.504327
187.00002,17.503301
187.99998,17.502237
189,17.501096
190.00002,17.50009
190.99998,17.499214
192,17.498433
193.00002,17.49773
193.99998,17.497177
195,17.496663
196.00002,17.496298
196.99998,17.495934
198,17.495835
199.00002,17.495794
199.99998,17.495808
201,17.495918
202.00002,17.496046
202.99998,17.496287
204,17.496757
205.00002,17.497206
205.99998,17.497619
207,17.498067
208.00002,17.498554
208.99998,17.499175
210,17.532756
211.00002,17.530269
211.99998,17.527764
213,17.525409
214.00002,17.523434
214.99998,17.521517
216,17.51956
217.00002,17.517831
217.99998,17.515991
219,17.514394
220.00002,17.512761
220.99998,17.511053
222,17.509438
223.00002,17.508165
223.99998,17.506817
225,17.505525
226.00002,17.504327
226.99998,17.503301
228,17.502237
229.00002,17.501096
229.99998,17.50009
231,17.499214
232.00002,17.498433
232.99998,17.49773
234,17.497177
235.00002,17.496663
235.99998,17.496298
237,17.495934
238.00002,17.495835
238.99998,17.495794
240,17.495808
241.00002,17.495918
241.99998,17.496046
243,17.496287
244.00002,17.496757
244.99998,17.497206
246,17.497619
247.00002,17.498067
247.99998,17.498554
249,17.499175
250.00002,17.499945
250.99998,17.500961
252,17.502149
253.00002,17.503354
253.99998,17.504823
255,17.506407
256.00002,17.50816
256.99998,17.510139
258,17.512423
259.00002,17.514818
