Time (s),Heat Flow (mJ/s)
0,14.711936
1.00002,14.705809
1.99998,14.69944
3,14.692979
4.00002,14.686477
4.99998,14.679905
6,14.673351
7.00002,14.666815
7.99998,14.660336
9,14.653854
10.00002,14.647412
10.99998,14.640989
12,14.634677
13.00002,14.628329
13.99998,14.621999
15,14.615613
16.00002,14.60921
16.99998,14.60284
18,14.596399
19.00002,14.589977
19.99998,14.583555
21,14.577115
22.00002,14.570656
22.99998,14.564216
24,14.557721
25.00002,14.551207
25.99998,14.544764
27,14.538288
28.00002,14.531867
28.99998,14.525391
30,14.518933
31.00002,14.512532
31.99998,14.506186
33,14.499841
34.00002,14.493458
34.99998,14.487039
36,14.480601
37.00002,14.474085
37.99998,14.467592
39,14.461006
40.00002,14.454568
40.99998,14.448298
42,14.442066
43.00002,14.435889
43.99998,14.429805
45,14.42387
46.00002,14.417991
46.99998,14.412256
48,14.406526
49.00002,14.400722
49.99998,14.394806
51,14.388612
52.00002,14.382381
52.99998,14.37628
54,14.370346
55.00002,14.36445
55.99998,14.358493
57,14.352411
58.00002,14.34618
58.99998,14.339802
60,14.333349
60.19998,14.326971
60.40002,14.320945
60.6,14.31562
60.79998,14.310598
61.00002,14.305854
61.2,14.300684
61.39998,14.295643
61.60002,14.290621
61.8,14.285557
61.99998,14.280369
62.20002,14.27518
62.4,14.270047
62.59998,14.265119
62.80002,14.260246
63,14.255331
63.19998,14.250329
63.40002,14.245159
63.6,14.239916
63.79998,14.23471
64.00002,14.229665
64.2,14.224608
64.39998,14.219903
64.60002,14.215923
64.8,14.212462
64.99998,14.208662
65.20002,14.204348
65.4,14.199551
65.59998,14.194903
65.80002,14.190657
66,14.18651
66.19998,14.182271
66.40002,14.178124
66.6,14.174028
66.79998,14.170104
67.00002,14.166366
67.2,14.162536
67.39998,14.158532
67.60002,14.154609
67.8,14.150537
67.99998,14.146478
68.20002,14.142536
68.4,14.138613
68.59998,14.134833
68.80002,14.131133
69,14.127433
69.19998,14.123783
69.40002,14.12012
69.6,14.116513
69.79998,14.113141
70.00002,14.109924
70.2,14.106652
70.39998,14.102965
70.60002,14.099618
70.8,14.096643
70.99998,14.093773
71.20002,14.091224
71.4,14.088769
71.59998,14.086307
71.80002,14.083759
72,14.081248
72.19998,14.078731
72.40002,14.076257
72.6,14.073795
72.79998,14.071359
73.00002,14.068941
73.2,14.066573
73.39998,14.064099
73.60002,14.061626
73.8,14.059239
73.99998,14.056858
74.20002,14.054552
74.4,14.052258
74.59998,14.049859
74.80002,14.047509
75,14.045148
75.19998,14.042897
75.40002,14.040733
75.6,14.038687
75.79998,14.036957
76.00002,14.035294
76.2,14.033693
76.39998,14.032074
76.60002,14.030541
76.8,14.029052
76.99998,14.027452
77.20002,14.025882
77.4,14.024356
77.59998,14.02286
