Time (s),Heat Flow (J/s)
0,20.103786
0.19998,20.104064
0.40002,20.104322
0.6,20.104561
0.79998,20.10474
1.00002,20.104879
1.2,20.104998
1.39998,20.105097
1.60002,20.105177
1.8,20.105236
1.99998,20.105316
2.20002,20.105395
2.4,20.105495
2.59998,20.105594
2.80002,20.105713
3,20.105793
3.19998,20.105912
3.40002,20.106031
3.6,20.10615
3.79998,20.106249
4.00002,20.106369
4.2,20.106468
4.39998,20.106547
4.60002,20.106587
4.8,20.106647
4.99998,20.106726
5.20002,20.106806
5.4,20.106845
5.59998,20.106885
5.80002,20.106885
6,20.106879
6.19998,20.106854
6.40002,20.106888
6.6,20.106882
6.79998,20.106817
7.00002,20.106785
7.2,20.1067
7.39998,20.106655
7.60002,20.106564
7.8,20.106479
7.99998,20.106453
8.20002,20.106362
8.4,20.106277
8.59998,20.106212
8.80002,20.106087
9,20.105916
9.19998,20.105752
9.40002,20.105547
9.6,20.105357
9.79998,20.105113
10.00002,20.104824
10.2,20.10446
10.39998,20.103932
10.60002,20.10339
10.8,20.102565
10.99998,20.101149
11.20002,20.099965
11.4,20.098847
11.59998,20.097724
11.80002,20.096665
12,20.095403
12.19998,20.094146
12.40002,20.092943
12.6,20.091859
12.79998,20.090682
13.00002,20.08934
13.2,20.087918
13.39998,20.086205
13.60002,20.084466
13.8,20.082766
13.99998,20.081073
14.20002,20.079294
14.4,20.077794
14.59998,20.07606
14.80002,20.074321
15,20.072404
15.19998,20.070367
15.40002,20.068257
15.6,20.06624
15.79998,20.064283
16.00002,20.062326
16.2,20.060091
16.39998,20.057643
16.60002,20.055071
16.8,20.052717
16.99998,20.049867
17.20002,20.04656
17.4,20.042941
17.59998,20.039356
17.80002,20.03595
18,20.032465
18.19998,20.0289
18.40002,20.025316
18.6,20.021672
18.79998,20.018008
19.00002,20.014325
19.2,20.010666
19.39998,20.006983
19.60002,20.003161
19.8,19.999319
19.99998,19.995537
20.20002,19.991774
20.4,19.987893
20.59998,19.983793
20.80002,19.979714
21,19.975515
21.19998,19.971316
21.40002,19.967182
21.6,19.963024
21.79998,19.958805
22.00002,19.954587
22.2,19.950369
22.39998,19.946152
22.60002,19.941914
22.8,19.937657
22.99998,19.93336
23.20002,19.929043
23.4,19.924687
23.59998,19.92039
23.80002,19.916054
24,19.911777
24.19998,19.907441
24.40002,19.90313
24.6,19.898834
24.79998,19.894557
25.00002,19.890222
25.2,19.885787
25.39998,19.881313
25.60002,19.87662
25.8,19.871848
25.99998,19.866997
26.20002,19.861987
26.4,19.856779
26.59998,19.851575
26.80002,19.846487
27,19.841398
27.19998,19.836349
27.40002,19.831519
27.6,19.826748
27.79998,19.821957
28.00002,19.817207
28.2,19.8125
28.39998,19.807749
28.60002,19.802979
28.8,19.798169
28.99998,19.793359
29.20002,19.788669
29.4,19.783919
29.59998,19.779189
29.80002,19.774482
30,19.769892
30.19998,19.765281
30.40002,19.760651
30.6,19.75606
30.79998,19.75143
31.00002,19.746764
31.2,19.742153
31.39998,19.737583
31.60002,19.733013
31.8,19.728463
31.99998,19.723975
32.20002,19.719525
32.4,19.715054
32.59998,19.710564
32.80002,19.706057
33,19.701487
33.19998,19.696878
33.40002,19.692213
33.6,19.687564
33.79998,19.683154
34.00002,19.678846
34.2,19.674555
34.39998,19.670284
34.60002,19.666055
34.8,19.661923
34.99998,19.657811
35.20002,19.653679
35.4,19.649609
35.59998,19.645557
35.80002,19.641425
36,19.637356
36.19998,19.633264
36.40002,19.629232
36.6,19.625262
36.79998,19.621329
37.00002,19.617475
37.2,19.613625
37.39998,19.609771
37.60002,19.605938
37.8,19.602087
37.99998,19.598294
38.20002,19.594562
38.4,19.590769
38.59998,19.586916
38.80002,19.583165
39,19.579471
39.19998,19.575757
39.40002,19.571967
39.6,19.568273
39.79998,19.56454
40.00002,19.560687
40.2,19.557016
40.39998,19.553303
40.60002,19.549572
40.8,19.546018
40.99998,19.542761
41.20002,19.539903
41.4,19.537241
41.59998,19.534698
41.80002,19.531821
42,19.528881
42.19998,19.525922
42.40002,19.523045
42.6,19.520383
42.79998,19.517781
43.00002,19.515221
43.2,19.512837
43.39998,19.510493
43.60002,19.508231
43.8,19.505966
43.99998,19.503724
44.20002,19.501499
44.4,19.499175
44.59998,19.496893
44.80002,19.494628
45,19.492384
45.19998,19.490201
45.40002,19.487976
45.6,19.485752
45.79998,19.483549
46.00002,19.481484
46.2,19.479438
46.39998,19.477392
46.60002,19.475328
46.8,19.473282
46.99998,19.471238
47.20002,19.469212
47.4,19.467207
47.59998,19.465202
47.80002,19.463157
48,19.461151
48.19998,19.459187
48.40002,19.457439
48.6,19.45577
48.79998,19.454182
49.00002,19.452553
49.2,19.450886
49.39998,19.449257
49.60002,19.447728
49.8,19.446277
49.99998,19.444888
50.20002,19.443556
50.4,19.442167
50.59998,19.440737
50.80002,19.439346
51,19.437996
51.19998,19.436625
51.40002,19.435354
51.6,19.434083
51.79998,19.432851
52.00002,19.431599
52.2,19.430389
52.39998,19.429137
52.60002,19.427867
52.8,19.426615
52.99998,19.425383
53.20002,19.424173
53.4,19.423079
53.59998,19.422125
53.80002,19.421251
54,19.420337
54.19998,19.419402
54.40002,19.418509
54.6,19.417634
54.79998,19.416858
55.00002,19.416083
55.2,19.415327
55.39998,19.414571
55.60002,19.413856
55.8,19.41316
55.99998,19.412384
56.20002,19.411649
56.4,19.410973
56.59998,19.410355
56.80002,19.409759
57,19.409142
57.19998,19.408507
57.40002,19.40787
57.6,19.407272
57.79998,19.406716
58.00002,19.406099
58.2,19.405502
58.39998,19.404965
58.60002,19.404467
58.8,19.404008
58.99998,19.403531
59.20002,19.403053
59.4,19.402614
59.59998,19.402177
59.80002,19.401718
60,19.401339
60.19998,19.400922
60.40002,19.400443
60.6,19.400025
60.79998,19.399785
61.00002,19.399664
61.2,19.399601
61.39998,19.39958
61.60002,19.399538
61.8,19.399456
61.99998,19.399276
62.20002,19.399135
62.4,19.399092
62.59998,19.399051
62.80002,19.399108
63,19.399125
63.19998,19.399104
63.40002,19.399121
63.6,19.399118
63.79998,19.399196
64.00002,19.399312
64.2,19.399449
64.39998,19.399565
64.60002,19.399701
64.8,19.399798
64.99998,19.399915
65.20002,19.400031
65.4,19.400187
65.59998,19.400364
65.80002,19.400519
66,19.400675
66.19998,19.400872
66.40002,19.401047
66.6,19.401223
66.79998,19.401419
67.00002,19.401615
67.2,19.40183
67.39998,19.402086
67.60002,19.40234
67.8,19.402635
67.99998,19.402911
68.20002,19.403205
68.4,19.403499
68.59998,19.403775
68.80002,19.404049
69,19.404304
69.19998,19.4046
69.40002,19.404815
69.6,19.405069
69.79998,19.405246
70.00002,19.405521
70.2,19.406092
70.39998,19.406823
70.60002,19.407494
70.8,19.408065
70.99998,19.408599
71.20002,19.40919
71.4,19.409722
71.59998,19.410215
71.80002,19.410688
72,19.41114
72.19998,19.411574
72.40002,19.412047
72.6,19.412539
72.79998,19.413032
73.00002,19.413524
73.2,19.414017
73.39998,19.414471
73.60002,19.414963
73.8,19.415435
73.99998,19.415968
74.20002,19.41646
74.4,19.416972
74.59998,19.417465
74.80002,19.417938
75,19.41841
75.19998,19.418963
75.40002,19.419475
75.6,19.419986
75.79998,19.420519
76.00002,19.421051
76.2,19.421583
76.39998,19.422116
76.60002,19.422667
76.8,19.423218
76.99998,19.423791
77.20002,19.424401
77.4,19.425012
77.59998,19.425644
77.80002,19.426255
78,19.426885
78.19998,19.427478
78.40002,19.428029
78.6,19.42862
78.79998,19.429271
79.00002,19.429941
79.2,19.430631
79.39998,19.431382
79.60002,19.432131
79.8,19.43282
79.99998,19.433531
80.20002,19.434182
80.4,19.434871
80.59998,19.435562
80.80002,19.436232
81,19.436922
81.19998,19.437593
81.40002,19.438263
81.6,19.438972
81.79998,19.439664
82.00002,19.440373
82.2,19.441082
82.39998,19.441754
82.60002,19.442403
82.8,19.443034
82.99998,19.443646
83.20002,19.444216
83.4,19.444827
83.59998,19.445419
83.80002,19.446029
84,19.446659
84.19998,19.44733
84.40002,19.44798
84.6,19.44859
84.79998,19.449181
85.00002,19.449792
85.2,19.450403
85.39998,19.450993
85.60002,19.451526
85.8,19.452076
85.99998,19.452668
86.20002,19.453199
86.4,19.45375
86.59998,19.454283
86.80002,19.454833
87,19.455404
87.19998,19.455956
87.40002,19.456507
87.6,19.457077
87.79998,19.457628
88.00002,19.4582
88.2,19.458731
88.39998,19.459282
88.60002,19.459814
88.8,19.460345
88.99998,19.460856
89.20002,19.461369
89.4,19.46188
89.59998,19.462371
89.80002,19.462884
90,19.463355
90.19998,19.463866
90.40002,19.464339
90.6,19.464811
90.79998,19.465242
91.00002,19.465656
91.2,19.466068
91.39998,19.46652
91.60002,19.466914
91.8,19.467306
91.99998,19.467718
92.20002,19.468132
92.4,19.468484
92.59998,19.468817
92.80002,19.469132
93,19.469504
93.19998,19.469857
93.40002,19.470211
93.6,19.470564
93.79998,19.470916
94.00002,19.47129
94.2,19.471623
94.39998,19.471995
94.60002,19.472369
94.8,19.472722
94.99998,19.473094
95.20002,19.473468
95.4,19.473841
95.59998,19.474213
95.80002,19.474607
96,19.474979
96.19998,19.475371
96.40002,19.475765
96.6,19.476137
96.79998,19.476509
97.00002,19.476923
97.2,19.477295
97.39998,19.477648
97.60002,19.47798
97.8,19.478315
97.99998,19.478687
98.20002,19.479021
98.4,19.479354
98.59998,19.479647
98.80002,19.479962
99,19.480255
99.19998,19.480607
99.40002,19.480941
99.6,19.481274
99.79998,19.481607
100.00002,19.481941
100.2,19.482254
100.39998,19.482507
100.60002,19.482802
100.8,19.483055
100.99998,19.483329
101.20002,19.483584
101.4,19.483818
101.59998,19.484031
101.80002,19.484267
102,19.484461
102.19998,19.484695
102.40002,19.48493
102.6,19.485184
102.79998,19.485397
103.00002,19.485613
103.2,19.485807
103.39998,19.486021
103.60002,19.486276
103.8,19.48649
103.99998,19.486724
104.20002,19.486939
104.4,19.487153
104.59998,19.487387
104.80002,19.487543
105,19.487717
105.19998,19.487931
105.40002,19.488167
105.6,19.4884
105.79998,19.488693
106.00002,19.488948
106.2,19.489221
106.39998,19.489475
106.60002,19.48973
106.8,19.489963
106.99998,19.490197
107.20002,19.49047
107.4,19.490705
107.59998,19.490959
107.80002,19.491214
108,19.491447
108.19998,19.491661
108.40002,19.491837
108.6,19.492031
