Time (s),Heat Flow (J/s)
0,19.887774
1.00002,19.775248
1.99998,19.665244
3,19.563494
4.00002,19.470673
4.99998,19.380315
6,19.293036
7.00002,19.206242
7.99998,19.119534
9,19.033068
10.00002,18.945496
10.99998,18.852829
12,18.756419
13.00002,18.65781
13.99998,18.555675
15,18.451184
16.00002,18.344323
16.99998,18.233429
18,18.120847
19.00002,18.005484
19.99998,17.887326
21,17.768355
22.00002,17.648576
22.99998,17.528428
24,17.40811
25.00002,17.287541
25.99998,17.16684
27,17.047236
28.00002,16.929646
28.99998,16.812343
30,16.694583
31.00002,16.579491
31.99998,16.467228
33,16.357763
34.00002,16.249715
34.99998,16.146054
36,16.044293
37.00002,15.946547
37.99998,15.852204
39,15.758809
40.00002,15.666867
40.99998,15.583812
42,15.502951
43.00002,15.423425
43.99998,15.344686
45,15.268766
46.00002,15.19771
46.99998,15.128475
48,15.064922
49.00002,15.002355
49.99998,14.941701
51,14.882302
52.00002,14.824975
52.99998,14.77175
54,14.721357
55.00002,14.671534
55.99998,14.62256
57,14.575242
58.00002,14.530425
58.99998,14.487548
60,14.446268
61.00002,14.407604
61.99998,14.369965
63,14.333062
64.00002,14.297118
64.99998,14.262776
66,14.230238
67.00002,14.198436
67.99998,14.167346
69,14.137304
70.00002,14.108247
70.99998,14.079613
72,14.052043
73.00002,14.025538
73.99998,14.000145
75,13.975369
76.00002,13.951033
76.99998,13.927148
78,13.903674
79.00002,13.880913
79.99998,13.859002
81,13.840394
82.00002,13.821407
82.99998,13.802831
84,13.784774
85.00002,13.766591
85.99998,13.749383
87,13.732888
88.00002,13.716579
88.99998,13.701381
90,13.686799
91.00002,13.673122
91.99998,13.660127
93,13.646581
94.00002,13.633063
94.99998,13.620559
96,13.608386
97.00002,13.596382
97.99998,13.584678
99,13.573132
100.00002,13.564505
100.99998,13.556365
102,13.548899
103.00002,13.541364
103.99998,13.53318
105,13.524965
106.00002,13.516615
106.99998,13.508432
108,13.500881
109.00002,13.493952
109.99998,13.487406
111,13.48086
112.00002,13.474244
112.99998,13.467349
114,13.460288
115.00002,13.453083
115.99998,13.446119
117,13.438916
118.00002,13.431992
118.99998,13.426041
120,13.420025
121.00002,13.413862
121.99998,13.407757
123,13.401924
124.00002,13.396228
124.99998,13.390856
126,13.385744
127.00002,13.381099
127.99998,13.376564
129,13.372444
130.00002,13.368888
130.99998,13.365216
132,13.361789
133.00002,13.358623
133.99998,13.355534
135,13.352613
136.00002,13.350341
136.99998,13.34768
138,13.344915
139.00002,13.342157
139.99998,13.339633
141,13.337264
142.00002,13.334966
142.99998,13.33285
144,13.330889
145.00002,13.328824
145.99998,13.326922
147,13.324884
148.00002,13.322936
148.99998,13.320995
150,13.318996
151.00002,13.317184
151.99998,13.31571
153,13.314119
154.00002,13.312928
154.99998,13.311493
156,13.310076
157.00002,13.308498
157.99998,13.306694
159,13.3052
160.00002,13.303815
160.99998,13.302438
162,13.301294
163.00002,13.300201
163.99998,13.299153
165,13.298196
166.00002,13.29711
166.99998,13.296199
168,13.295307
169.00002,13.294427
169.99998,13.293612
171,13.292701
172.00002,13.291879
172.99998,13.291123
174,13.290495
175.00002,13.289583
175.99998,13.289661
177,13.291135
178.00002,13.291767
178.99998,13.291747
180,13.292483
181.00002,13.292495
181.99998,13.295112
183,13.295394
184.00002,13.295936
184.99998,13.296567
186,13.296644
187.00002,13.296538
187.99998,13.296653
189,13.297349
190.00002,13.297503
190.99998,13.298656
192,13.301213
193.00002,13.30342
193.99998,13.305542
195,13.307535
196.00002,13.309684
196.99998,13.312045
198,13.314514
199.00002,13.317301
199.99998,13.319971
201,13.322982
202.00002,13.326194
202.99998,13.32898
204,13.332946
205.00002,13.338299
205.99998,13.343427
207,13.348129
208.00002,13.352531
208.99998,13.356747
210,13.361118
211.00002,13.365519
211.99998,13.370005
213,13.374297
214.00002,13.378376
214.99998,13.382349
216,13.386039
217.00002,13.389652
217.99998,13.393063
219,13.396133
220.00002,13.398962
220.99998,13.401586
222,13.403513
223.00002,13.404948
223.99998,13.406313
225,13.407457
226.00002,13.408454
226.99998,13.409103
228,13.409558
229.00002,13.409831
229.99998,13.409976
231,13.410102
232.00002,13.410259
232.99998,13.410655
234,13.41082
235.00002,13.411091
235.99998,13.41143
237,13.411845
238.00002,13.412252
238.99998,13.4129
240,13.41434
241.00002,13.415443
241.99998,13.416747
243,13.418361
244.00002,13.420449
244.99998,13.423667
246,13.428084
247.00002,13.433168
247.99998,13.439924
249,13.44749
250.00002,13.458469
250.99998,13.471718
252,13.490127
253.00002,13.510265
253.99998,13.532613
255,13.556787
256.00002,13.5841
256.99998,13.609496
258,13.635529
259.00002,13.660525
259.99998,13.688949
261,13.727072
262.00002,13.78178
262.99998,13.830562
264,13.848492
265.00002,13.860055
265.99998,13.87042
267,13.881874
268.00002,13.892758
268.99998,13.905071
270,13.918705
271.00002,13.934435
271.99998,13.951322
273,13.971171
274.00002,13.993
274.99998,14.024677
276,14.06026
277.00002,14.097281
277.99998,14.146002
279,14.201638
280.00002,14.263153
280.99998,14.331498
282,14.412586
283.00002,14.494647
283.99998,14.584888
285,14.683833
286.00002,14.784483
286.99998,14.889605
288,14.996668
289.00002,15.104614
289.99998,15.213803
291,15.326151
292.00002,15.439723
292.99998,15.553326
294,15.666341
295.00002,15.783496
295.99998,15.904174
297,16.025885
298.00002,16.146234
298.99998,16.266074
300,16.384284
301.00002,16.499337
301.99998,16.603002
303,16.69616
304.00002,16.759375
304.99998,16.786031
306,16.778213
307.00002,16.737041
307.99998,16.658052
309,16.559142
310.00002,16.440532
310.99998,16.318228
312,16.196936
313.00002,16.074821
313.99998,15.957925
315,15.842347
316.00002,15.731793
316.99998,15.625952
318,15.521737
319.00002,15.424627
319.99998,15.332266
321,15.240723
322.00002,15.152405
322.99998,15.068392
324,14.990074
325.00002,14.913302
325.99998,14.843224
327,14.778667
328.00002,14.714824
328.99998,14.651429
330,14.590703
331.00002,14.529533
331.99998,14.468599
333,14.411067
334.00002,14.358081
334.99998,14.30531
336,14.25571
337.00002,14.207532
337.99998,14.159224
339,14.111407
340.00002,14.070657
340.99998,14.030218
342,13.991619
343.00002,13.952939
343.99998,13.917074
345,13.881719
346.00002,13.850386
346.99998,13.818476
348,13.786916
349.00002,13.75421
349.99998,13.728392
351,13.702346
352.00002,13.676868
352.99998,13.651961
354,13.626968
355.00002,13.604144
355.99998,13.583074
357,13.563496
358.00002,13.544181
358.99998,13.525483
360,13.507026
361.00002,13.488792
361.99998,13.471022
363,13.453185
364.00002,13.436514
364.99998,13.421711
366,13.407111
367.00002,13.393214
367.99998,13.379588
369,13.366454
370.00002,13.353426
370.99998,13.341438
372,13.329961
373.00002,13.31911
373.99998,13.308952
375,13.298825
376.00002,13.288937
376.99998,13.27934
378,13.27031
379.00002,13.260944
379.99998,13.252637
381,13.245177
382.00002,13.237746
382.99998,13.230594
384,13.22352
385.00002,13.216725
385.99998,13.210152
387,13.203762
388.00002,13.197804
388.99998,13.192232
390,13.18717
