Time (s),Heat Flow (J/s)
0,4.881487
1.00002,4.766691
1.99998,4.655617
3,4.551105
4.00002,4.451124
4.99998,4.353681
6,4.261879
7.00002,4.172463
7.99998,4.087128
9,4.005252
10.00002,3.924955
10.99998,3.851313
12,3.778631
13.00002,3.707452
13.99998,3.641406
15,3.577766
16.00002,3.515043
16.99998,3.455732
18,3.401582
19.00002,3.347323
19.99998,3.293046
21,3.24407
22.00002,3.197821
22.99998,3.152116
24,3.107183
25.00002,3.064863
25.99998,3.025964
27,2.986671
28.00002,2.948731
28.99998,2.911995
30,2.87806
31.00002,2.845648
31.99998,2.814269
33,2.783305
34.00002,2.753431
34.99998,2.726565
36,2.700357
37.00002,2.674656
37.99998,2.649275
39,2.624026
40.00002,2.599943
40.99998,2.579356
42,2.559202
43.00002,2.539555
43.99998,2.520303
45,2.501691
46.00002,2.483924
46.99998,2.467116
48,2.45091
49.00002,2.434854
49.99998,2.419551
51,2.40483
52.00002,2.390522
52.99998,2.376948
54,2.364089
55.00002,2.351361
55.99998,2.340005
57,2.328631
58.00002,2.317764
58.99998,2.306277
60,2.297967
60.19998,2.296106
60.40002,2.294865
60.6,2.293981
60.79998,2.292477
61.00002,2.29086
61.2,2.289206
61.39998,2.287495
61.60002,2.285841
61.8,2.283791
61.99998,2.280934
62.20002,2.277606
62.4,2.274617
62.59998,2.27253
62.80002,2.27112
63,2.269409
63.19998,2.26736
63.40002,2.265179
63.6,2.263355
63.79998,2.261626
64.00002,2.260103
64.2,2.258335
64.39998,2.256549
64.60002,2.254801
64.8,2.252958
64.99998,2.251154
65.20002,2.249424
65.4,2.247751
65.59998,2.246059
65.80002,2.244397
66,2.242762
66.19998,2.241194
66.40002,2.239627
66.6,2.238078
66.79998,2.236523
67.00002,2.234955
67.2,2.233351
67.39998,2.231776
67.60002,2.230247
67.8,2.228698
67.99998,2.227225
68.20002,2.22567
68.4,2.224347
68.59998,2.222968
68.80002,2.221645
69,2.220447
69.19998,2.219388
69.40002,2.218284
69.6,2.217149
69.79998,2.215939
70.00002,2.215136
70.2,2.214547
70.39998,2.214082
70.60002,2.213605
70.8,2.213103
70.99998,2.212909
71.20002,2.212914
71.4,2.213151
71.59998,2.213608
71.80002,2.214334
72,2.214847
72.19998,2.215197
72.40002,2.215578
72.6,2.216035
72.79998,2.216423
73.00002,2.216823
73.2,2.217335
73.39998,2.217798
73.60002,2.218292
73.8,2.218824
73.99998,2.219381
74.20002,2.219969
74.4,2.220669
74.59998,2.221313
74.80002,2.221814
75,2.222439
75.19998,2.223441
75.40002,2.224543
75.6,2.22545
75.79998,2.226244
76.00002,2.227114
76.2,2.228096
76.39998,2.229097
76.60002,2.230124
76.8,2.231181
76.99998,2.232182
77.20002,2.233108
77.4,2.234053
77.59998,2.234979
77.80002,2.235911
78,2.236875
78.19998,2.237857
78.40002,2.23882
78.6,2.239765
78.79998,2.240709
79.00002,2.241672
79.2,2.242654
79.39998,2.243625
79.60002,2.244569
79.8,2.245532
79.99998,2.246495
80.20002,2.247421
80.4,2.248365
80.59998,2.249328
80.80002,2.250273
81,2.251198
81.19998,2.252161
81.40002,2.253105
81.6,2.254031
81.79998,2.254944
82.00002,2.255813
82.2,2.256682
82.39998,2.257514
82.60002,2.258383
82.8,2.259365
82.99998,2.260384
83.20002,2.261365
83.4,2.262347
83.59998,2.263291
83.80002,2.264179
84,2.265104
84.19998,2.265935
84.40002,2.26683
84.6,2.267792
84.79998,2.268511
85.00002,2.268985
85.2,2.269347
85.39998,2.269596
85.60002,2.269882
85.8,2.270281
85.99998,2.270587
86.20002,2.270873
86.4,2.271197
86.59998,2.271578
86.80002,2.271909
87,2.272233
87.19998,2.272481
87.40002,2.272712
87.6,2.272998
87.79998,2.273266
88.00002,2.273421
88.2,2.273501
88.39998,2.273637
88.60002,2.273874
88.8,2.274179
88.99998,2.274484
89.20002,2.274696
89.4,2.274682
89.59998,2.274536
89.80002,2.274304
90,2.274177
90.19998,2.273994
90.40002,2.273755
90.6,2.273478
90.79998,2.27322
91.00002,2.273006
91.2,2.272748
91.39998,2.272471
91.60002,2.272194
91.8,2.271899
91.99998,2.27161
92.20002,2.271277
92.4,2.270981
92.59998,2.270686
92.80002,2.270372
93,2.270008
93.19998,2.269637
93.40002,2.26921
93.6,2.268802
93.79998,2.268345
94.00002,2.267843
94.2,2.267341
94.39998,2.266839
94.60002,2.266344
94.8,2.265804
94.99998,2.265265
95.20002,2.264713
95.4,2.264136
95.59998,2.263559
95.80002,2.263027
96,2.262525
96.19998,2.262023
96.40002,2.261446
96.6,2.26082
96.79998,2.260187
97.00002,2.259535
97.2,2.258927
97.39998,2.25835
97.60002,2.257717
97.8,2.256884
97.99998,2.255989
98.20002,2.254924
98.4,2.253735
98.59998,2.252482
98.80002,2.25123
99,2.24989
99.19998,2.248544
99.40002,2.247292
99.6,2.246028
99.79998,2.244719
100.00002,2.243429
100.2,2.242221
100.39998,2.241026
100.60002,2.239867
100.8,2.238791
100.99998,2.237614
101.20002,2.236387
101.4,2.235116
101.59998,2.233921
101.80002,2.232807
102,2.231743
102.19998,2.230585
102.40002,2.229452
102.6,2.228331
102.79998,2.227192
103.00002,2.226041
103.2,2.224827
103.39998,2.2236
103.60002,2.222405
103.8,2.221191
103.99998,2.219964
104.20002,2.218713
104.4,2.217442
104.59998,2.21616
104.80002,2.214908
105,2.213607
105.19998,2.212356
105.40002,2.211104
105.6,2.209803
105.79998,2.208477
106.00002,2.20715
106.2,2.205849
106.39998,2.204542
106.60002,2.203234
106.8,2.201952
106.99998,2.200644
107.20002,2.199324
107.4,2.198017
107.59998,2.19671
107.80002,2.195409
108,2.194083
108.19998,2.192738
108.40002,2.191418
108.6,2.190073
108.79998,2.188729
109.00002,2.187371
109.2,2.186046
109.39998,2.18472
109.60002,2.183438
109.8,2.182187
109.99998,2.180961
110.20002,2.17971
110.4,2.178441
110.59998,2.177178
110.80002,2.175927
111,2.174676
111.19998,2.173451
111.40002,2.172219
111.6,2.171006
111.79998,2.169781
112.00002,2.168549
112.2,2.167298
112.39998,2.16611
112.60002,2.164935
112.8,2.163785
112.99998,2.162591
113.20002,2.161453
113.4,2.160321
113.59998,2.159184
113.80002,2.158083
114,2.156989
114.19998,2.155889
114.40002,2.154789
114.6,2.153695
114.79998,2.152558
115.00002,2.151439
115.2,2.150326
115.39998,2.149245
115.60002,2.148132
115.8,2.147051
115.99998,2.145951
116.20002,2.144857
116.4,2.143776
116.59998,2.142695
116.80002,2.141639
117,2.140577
117.19998,2.139533
117.40002,2.138496
117.6,2.137433
117.79998,2.13639
118.00002,2.135347
118.2,2.134309
118.39998,2.13321
118.60002,2.132135
118.8,2.131054
118.99998,2.129954
119.20002,2.128842
119.4,2.127743
119.59998,2.126662
119.80002,2.125606
120,2.124525
120.19998,2.123482
120.40002,2.122464
120.6,2.121439
120.79998,2.120434
121.00002,2.119453
121.2,2.118466
121.39998,2.117442
121.60002,2.116442
121.8,2.115437
121.99998,2.114437
122.20002,2.113375
122.4,2.11237
122.59998,2.111352
122.80002,2.110309
123,2.109247
123.19998,2.108248
123.40002,2.107299
123.6,2.106425
123.79998,2.105613
124.00002,2.104833
124.2,2.103996
124.39998,2.103109
124.60002,2.102273
124.8,2.10138
124.99998,2.100437
125.20002,2.099432
125.4,2.098352
