Time (s),Heat Flow (mJ/s)
0,22.27827716
1.00002,22.27739209
1.99998,22.27650702
3,22.27562195
4.00002,22.27473687
4.99998,22.2738518
6,22.27296673
7.00002,22.27208165
7.99998,22.27119658
9,22.27031151
10.00002,22.26942644
10.99998,22.26854136
12,22.26765629
13.00002,22.26677122
13.99998,22.26588615
15,22.26500107
16.00002,22.264116
16.99998,22.26323093
18,22.26234585
19.00002,22.26146078
19.99998,22.26057571
21,22.25969064
22.00002,22.25880556
22.99998,22.25792049
24,22.25703542
25.00002,22.25615035
25.99998,22.25526527
27,22.2543802
28.00002,22.25349513
28.99998,22.25261005
30,22.25172498
31.00002,22.25083991
31.99998,22.24995484
33,22.24906976
34.00002,22.24818469
34.99998,22.24729962
36,22.24641455
37.00002,22.24552947
37.99998,22.2446444
39,22.24375933
40.00002,22.24287425
40.99998,22.24198918
42,22.24110411
43.00002,22.24021904
43.99998,22.23933396
45,22.23844889
46.00002,22.23756382
46.99998,22.23667875
48,22.23579367
49.00002,22.2349086
49.99998,22.23402353
51,22.23313845
52.00002,22.23225338
52.99998,22.23136831
54,22.23048324
55.00002,22.22959816
55.99998,22.22871309
57,22.22782802
58.00002,22.22694295
58.99998,22.22605787
60,22.2251728
60.19998,22.22428773
60.40002,22.22340265
60.6,22.22251758
60.79998,22.22163251
61.00002,22.22074744
61.2,22.21986236
61.39998,22.21897729
61.60002,22.21809222
61.8,22.21720715
61.99998,22.21632207
62.20002,22.215437
62.4,22.21455193
62.59998,22.21366685
62.80002,22.21278178
63,22.21189671
63.19998,22.21101164
63.40002,22.21012656
63.6,22.20924149
63.79998,22.20835642
64.00002,22.20747135
64.2,22.20658627
64.39998,22.2057012
64.60002,22.20481613
64.8,22.20393105
64.99998,22.20304598
65.20002,22.20216091
65.4,22.20127584
65.59998,22.20039076
65.80002,22.19950569
66,22.19862062
66.19998,22.19773555
66.40002,22.19685047
66.6,22.1959654
66.79998,22.19508033
67.00002,22.19419525
67.2,22.19331018
67.39998,22.19242511
67.60002,22.19154004
67.8,22.19065496
67.99998,22.18976989
68.20002,22.18888482
68.4,22.18799975
68.59998,22.18711467
68.80002,22.1862296
69,22.18534453
69.19998,22.18445945
69.40002,22.18357438
69.6,22.18268931
69.79998,22.18180424
70.00002,22.18091916
70.2,22.18003409
70.39998,22.17914902
70.60002,22.17826395
70.8,22.17737887
70.99998,22.1764938
71.20002,22.17560873
71.4,22.17472365
71.59998,22.17383858
71.80002,22.17295351
72,22.17206844
72.19998,22.17118336
72.40002,22.17029829
72.6,22.16941322
72.79998,22.16852815
73.00002,22.16764307
73.2,22.166758
73.39998,22.16587293
73.60002,22.16498785
73.8,22.16410278
73.99998,22.16321771
74.20002,22.16233264
74.4,22.16144756
74.59998,22.16056249
74.80002,22.15967742
75,22.15879235
75.19998,22.15790727
75.40002,22.1570222
75.6,22.15613713
75.79998,22.15525205
76.00002,22.15436698
76.2,22.15348191
76.39998,22.15259684
76.60002,22.15171176
76.8,22.15082669
76.99998,22.14994162
77.20002,22.14905655
77.4,22.14817147
77.59998,22.1472864
77.80002,22.14640133
78,22.14551625
78.19998,22.14463118
78.40002,22.14374611
78.6,22.14286104
78.79998,22.14197596
79.00002,22.14109089
79.2,22.14020582
79.39998,22.13932075
79.60002,22.13843567
79.8,22.1375506
79.99998,22.13666553
80.20002,22.13578045
80.4,22.13489538
80.59998,22.13401031
80.80002,22.13312524
81,22.13224016
81.19998,22.13135509
81.40002,22.13047002
81.6,22.12958495
81.79998,22.12869987
82.00002,22.1278148
82.2,22.12692973
82.39998,22.12604465
82.60002,22.12515958
82.8,22.12427451
82.99998,22.12338944
83.20002,22.12250436
83.4,22.12161929
83.59998,22.12073422
83.80002,22.11984915
84,22.11896407
84.19998,22.118079
84.40002,22.11719393
84.6,22.11630885
84.79998,22.11542378
85.00002,22.11453871
85.2,22.11365364
85.39998,22.11276856
85.60002,22.11188349
85.8,22.11099842
85.99998,22.11011335
86.20002,22.10922827
86.4,22.1083432
86.59998,22.10745813
86.80002,22.10657305
87,22.10568798
87.19998,22.10480291
87.40002,22.10391784
87.6,22.10303276
87.79998,22.10214769
88.00002,22.10126262
88.2,22.10037755
88.39998,22.09949247
88.60002,22.0986074
88.8,22.09772233
