Time (sec),Heat Flow (mJ/s)
101.4,8.33491419
101.59998,8.33306356
101.80002,8.331212929
102,8.329362298
102.19998,8.327511667
102.40002,8.325661036
102.6,8.323810405
102.79998,8.321959774
103.00002,8.320109143
103.2,8.318258512
103.39998,8.316407881
103.60002,8.31455725
103.8,8.312706619
103.99998,8.310855988
104.20002,8.309005357
104.4,8.307154726
104.59998,8.305304095
104.80002,8.303453464
105,8.301602833
105.19998,8.299752202
105.40002,8.297901571
105.6,8.29605094
105.79998,8.29420031
106.00002,8.292349679
106.2,8.290499048
106.39998,8.288648417
106.60002,8.286797786
106.8,8.284947155
106.99998,8.283096524
107.20002,8.281245893
107.4,8.279395262
107.59998,8.277544631
107.80002,8.275694
108,8.273843369
108.19998,8.271992738
108.40002,8.270142107
108.6,8.268291476
108.79998,8.266440845
109.00002,8.264590214
109.2,8.262739583
109.39998,8.260888952
109.60002,8.259038321
109.8,8.25718769
109.99998,8.25533706
110.20002,8.253486429
110.4,8.251635798
110.59998,8.249785167
110.80002,8.247934536
111,8.246083905
111.19998,8.244233274
111.40002,8.242382643
111.6,8.240532012
111.79998,8.238681381
112.00002,8.23683075
112.2,8.234980119
112.39998,8.233129488
112.60002,8.231278857
112.8,8.229428226
112.99998,8.227577595
113.20002,8.225726964
113.4,8.223876333
113.59998,8.222025702
113.80002,8.220175071
114,8.21832444
114.19998,8.21647381
114.40002,8.214623179
114.6,8.212772548
114.79998,8.210921917
115.00002,8.209071286
115.2,8.207220655
115.39998,8.205370024
115.60002,8.203519393
115.8,8.201668762
115.99998,8.199818131
116.20002,8.1979675
116.4,8.196116869
116.59998,8.194266238
116.80002,8.192415607
117,8.190564976
117.19998,8.188714345
117.40002,8.186863714
117.6,8.185013083
117.79998,8.183162452
118.00002,8.181311821
118.2,8.17946119
118.39998,8.17761056
118.60002,8.175759929
118.8,8.173909298
118.99998,8.172058667
119.20002,8.170208036
119.4,8.168357405
119.59998,8.166506774
119.80002,8.164656143
120,8.162805512
120.19998,8.160954881
120.40002,8.15910425
120.6,8.157253619
120.79998,8.155402988
121.00002,8.153552357
121.2,8.151701726
121.39998,8.149851095
121.60002,8.148000464
121.8,8.146149833
121.99998,8.144299202
122.20002,8.142448571
122.4,8.14059794
122.59998,8.13874731
122.80002,8.136896679
123,8.135046048
123.19998,8.133195417
123.40002,8.131344786
123.6,8.129494155
123.79998,8.127643524
124.00002,8.125792893
124.2,8.123942262
124.39998,8.122091631
124.60002,8.120241
124.8,8.118390369
124.99998,8.116539738
125.20002,8.114689107
125.4,8.112838476
125.59998,8.110987845
125.80002,8.109137214
126,8.107286583
126.19998,8.105435952
126.40002,8.103585321
126.6,8.10173469
126.79998,8.09988406
127.00002,8.098033429
127.2,8.096182798
127.39998,8.094332167
127.60002,8.092481536
127.8,8.090630905
127.99998,8.088780274
128.20002,8.086929643
128.4,8.085079012
128.59998,8.083228381
128.80002,8.08137775
129,8.079527119
129.19998,8.077676488
129.40002,8.075825857
129.6,8.073975226
129.79998,8.072124595
130.00002,8.070273964
130.2,8.068423333
130.39998,8.066572702
130.60002,8.064722071
130.8,8.06287144
130.99998,8.06102081
131.20002,8.059170179
131.4,8.057319548
131.59998,8.055468917
