Time (s),Heat Flow (mJ/s)
106.99998,6.045585
107.20002,6.050286
107.4,6.054106
107.59998,6.057806
107.80002,6.061606
108,6.065595
108.19998,6.070569
108.40002,6.075569
108.6,6.080419
108.79998,6.085281
109.00002,6.090075
109.2,6.094756
109.39998,6.099317
109.60002,6.103717
109.8,6.108173
109.99998,6.112641
110.20002,6.117172
110.4,6.121777
110.59998,6.126432
110.80002,6.130963
111,6.135455
111.19998,6.139979
111.40002,6.144528
111.6,6.149114
111.79998,6.153713
112.00002,6.158261
112.2,6.162735
112.39998,6.167183
112.60002,6.171581
112.8,6.175961
112.99998,6.180297
113.20002,6.18462
113.4,6.18883
113.59998,6.193091
113.80002,6.19732
114,6.201587
114.19998,6.205866
114.40002,6.210132
114.6,6.214342
114.79998,6.218565
115.00002,6.222775
115.2,6.227022
115.39998,6.231282
115.60002,6.235548
115.8,6.239814
115.99998,6.244111
116.20002,6.248358
116.4,6.252567
116.59998,6.256696
116.80002,6.26083
117,6.264945
117.19998,6.269092
117.40002,6.273208
117.6,6.27736
117.79998,6.281563
118.00002,6.285753
118.2,6.289924
118.39998,6.29409
118.60002,6.298279
118.8,6.302563
118.99998,6.306859
119.20002,6.31088
119.4,6.31462
119.59998,6.318316
119.80002,6.322093
120,6.325851
120.19998,6.32966
120.40002,6.333643
120.6,6.337626
120.79998,6.341584
121.00002,6.345548
121.2,6.349363
121.39998,6.353208
121.60002,6.357022
121.8,6.360817
121.99998,6.364663
122.20002,6.368458
122.4,6.372272
122.59998,6.376005
122.80002,6.379762
123,6.383519
123.19998,6.387308
123.40002,6.391047
123.6,6.394766
123.79998,6.398499
124.00002,6.402274
124.2,6.40605
124.39998,6.409844
124.60002,6.413651
124.8,6.417445
124.99998,6.421202
125.20002,6.424953
125.4,6.428653
125.59998,6.432353
125.80002,6.436048
126,6.439785
126.19998,6.443485
126.40002,6.447198
126.6,6.450917
126.79998,6.454598
127.00002,6.458311
127.2,6.46201
127.39998,6.465723
127.60002,6.469441
127.8,6.473159
127.99998,6.47684
128.20002,6.480515
128.4,6.484008
128.59998,6.487407
128.80002,6.490764
129,6.49407
129.19998,6.497469
129.40002,6.500826
129.6,6.504094
129.79998,6.507362
130.00002,6.510699
