Time (s),Heat Flow (J/s)
58.39998,15.539071
58.60002,15.535058
58.8,15.530946
58.99998,15.526813
59.20002,15.522761
59.4,15.518827
59.59998,15.514853
59.80002,15.511019
60,15.507224
60.19998,15.501681
60.40002,15.498125
60.6,15.494629
60.79998,15.491112
61.00002,15.487576
61.2,15.48396
61.39998,15.480324
61.60002,15.476649
61.8,15.472954
61.99998,15.469278
62.20002,15.465643
62.4,15.462027
62.59998,15.458411
62.80002,15.454795
63,15.451199
63.19998,15.447603
63.40002,15.443987
63.6,15.440411
63.79998,15.436835
64.00002,15.433239
64.2,15.429604
64.39998,15.425948
64.60002,15.422292
64.8,15.418617
64.99998,15.414942
65.20002,15.411246
65.4,15.407571
65.59998,15.403955
65.80002,15.400319
66,15.396715
66.19998,15.393158
66.40002,15.389573
66.6,15.386088
66.79998,15.382563
67.00002,15.378989
67.2,15.375365
67.39998,15.371561
67.60002,15.36765
67.8,15.36343
67.99998,15.358892
68.20002,15.354314
68.4,15.350006
68.59998,15.345409
68.80002,15.340048
69,15.334576
69.19998,15.329105
69.40002,15.323526
69.6,15.318293
69.79998,15.312564
70.00002,15.305218
70.2,15.298058
70.39998,15.291328
70.60002,15.284586
70.8,15.278054
70.99998,15.27167
71.20002,15.265079
71.4,15.258389
71.59998,15.251092
71.80002,15.243469
72,15.235516
72.19998,15.226542
72.40002,15.218073
72.6,15.209835
72.79998,15.200425
73.00002,15.190837
73.2,15.18078
73.39998,15.170854
73.60002,15.160889
73.8,15.151468
73.99998,15.141741
74.20002,15.132214
74.4,15.122793
74.59998,15.113425
74.80002,15.103799
75,15.094054
75.19998,15.084137
75.40002,15.074372
75.6,15.064429
75.79998,15.054586
76.00002,15.044902
76.2,15.035284
76.39998,15.025421
76.60002,15.0153
76.8,15.00512
76.99998,14.995
77.20002,14.984688
77.4,14.974052
77.59998,14.963377
77.80002,14.952741
78,14.942067
78.19998,14.931134
78.40002,14.920142
78.6,14.909071
78.79998,14.898079
79.00002,14.887113
79.2,14.876122
