Time     ,Unsubtracted Heat Flow
297.19998,19.693934
297.40002,19.693791
297.6,19.693597
297.79998,19.693405
298.00002,19.693229
298.2,19.693052
298.39998,19.692893
298.60002,19.692733
298.8,19.692574
298.99998,19.69243
299.20002,19.692271
299.4,19.692111
299.59998,19.691951
299.80002,19.691775
300.000008,19.691615
300.2000103,19.691472
300.4000126,19.691313
300.6000149,19.691187
300.8000171,19.691043
301.0000194,19.690884
301.2000217,19.690757
301.400024,19.690614
301.6000263,19.690438
301.8000286,19.690295
302.0000309,19.690168
302.2000331,19.690042
302.4000354,19.689932
302.6000377,19.689822
302.80004,19.689696
303.0000423,19.689603
303.2000446,19.689476
303.4000469,19.689366
303.6000491,19.689257
303.8000514,19.68913
304.0000537,19.689003
