Wavelength (nm),Absorbance (AU)
300,0.101
301,0.1
302,0.1
303,0.1
304,0.1
305,0.102
306,0.104
307,0.106
308,0.109
309,0.112
310,0.116
311,0.119
312,0.122
313,0.125
314,0.129
315,0.133
316,0.137
317,0.141
318,0.145
319,0.149
320,0.153
321,0.156
322,0.158
323,0.162
324,0.164
325,0.165
326,0.167
327,0.166
328,0.165
329,0.161
330,0.157
331,0.153
332,0.147
333,0.141
334,0.135
335,0.129
336,0.123
337,0.117
338,0.112
339,0.106
340,0.101
341,0.097
342,0.093
343,0.089
344,0.085
345,0.082
346,0.079
347,0.076
348,0.073
349,0.071
350,0.069
351,0.067
352,0.065
353,0.063
354,0.062
355,0.061
356,0.06
357,0.059
358,0.059
359,0.058
360,0.057
361,0.057
362,0.057
363,0.056
364,0.056
365,0.055
366,0.054
367,0.052
368,0.052
369,0.05
370,0.049
371,0.048
372,0.046
373,0.045
374,0.044
375,0.043
376,0.042
377,0.041
378,0.04
379,0.039
380,0.038
381,0.038
382,0.037
383,0.036
384,0.036
385,0.035
386,0.034
387,0.034
388,0.033
389,0.032
390,0.031
391,0.031
392,0.03
393,0.03
394,0.03
395,0.029
396,0.029
397,0.029
398,0.029
399,0.03
400,0.03
401,0.03
402,0.031
403,0.031
404,0.031
405,0.032
406,0.032
407,0.033
408,0.033
409,0.034
410,0.035
411,0.035
412,0.036
413,0.037
414,0.037
415,0.038
416,0.039
417,0.04
418,0.04
419,0.041
420,0.041
421,0.042
422,0.042
423,0.042
424,0.043
425,0.043
426,0.043
427,0.043
428,0.043
429,0.043
430,0.043
431,0.043
432,0.043
433,0.042
434,0.042
435,0.042
436,0.042
437,0.042
438,0.042
439,0.042
440,0.042
441,0.043
442,0.043
443,0.043
444,0.044
445,0.045
446,0.045
447,0.046
448,0.047
449,0.047
450,0.048
451,0.049
452,0.049
453,0.05
454,0.051
455,0.052
456,0.053
457,0.053
458,0.054
459,0.055
460,0.056
461,0.056
462,0.057
463,0.058
464,0.059
465,0.06
466,0.06
467,0.061
468,0.062
469,0.063
470,0.064
471,0.065
472,0.067
473,0.067
474,0.069
475,0.07
476,0.072
477,0.073
478,0.074
479,0.076
480,0.077
481,0.078
482,0.08
483,0.082
484,0.083
485,0.085
486,0.087
487,0.088
488,0.09
489,0.092
490,0.093
491,0.095
492,0.096
493,0.098
494,0.1
495,0.101
496,0.103
497,0.104
498,0.106
499,0.107
500,0.109
501,0.111
502,0.112
503,0.114
504,0.115
505,0.117
506,0.118
507,0.12
508,0.121
509,0.123
510,0.124
511,0.125
512,0.127
513,0.128
514,0.13
515,0.131
516,0.133
517,0.134
518,0.135
519,0.137
520,0.138
521,0.14
522,0.141
523,0.143
524,0.144
525,0.146
526,0.147
527,0.149
528,0.15
529,0.152
530,0.153
531,0.155
532,0.157
533,0.158
534,0.16
535,0.162
536,0.164
537,0.166
538,0.168
539,0.17
540,0.172
541,0.175
542,0.177
543,0.18
544,0.183
545,0.186
546,0.189
547,0.192
548,0.196
549,0.2
550,0.204
551,0.208
552,0.213
553,0.218
554,0.223
555,0.228
556,0.234
557,0.24
558,0.246
559,0.253
560,0.26
561,0.267
562,0.274
563,0.281
564,0.289
565,0.297
566,0.305
567,0.313
568,0.321
569,0.33
570,0.338
571,0.347
572,0.356
573,0.365
574,0.374
575,0.382
576,0.392
577,0.401
578,0.411
579,0.42
580,0.43
581,0.44
582,0.45
583,0.46
584,0.47
585,0.48
586,0.491
587,0.501
588,0.512
589,0.522
590,0.532
591,0.542
592,0.553
593,0.564
594,0.574
595,0.585
596,0.597
597,0.607
598,0.619
599,0.631
600,0.643
601,0.655
602,0.668
603,0.681
604,0.695
605,0.709
606,0.724
607,0.739
608,0.755
609,0.771
610,0.787
611,0.803
612,0.82
613,0.835
614,0.852
615,0.867
616,0.882
617,0.896
618,0.91
619,0.923
620,0.936
621,0.946
622,0.957
623,0.966
624,0.975
625,0.982
626,0.989
627,0.994
628,0.997
629,0.999
630,1
631,1
632,0.999
633,0.995
634,0.991
635,0.985
636,0.977
637,0.968
638,0.957
639,0.944
640,0.929
641,0.914
642,0.896
643,0.877
644,0.855
645,0.832
646,0.808
647,0.781
648,0.753
649,0.725
650,0.694
651,0.663
652,0.632
653,0.599
654,0.565
655,0.532
656,0.499
657,0.465
658,0.432
659,0.4
660,0.368
661,0.338
662,0.309
663,0.281
664,0.255
665,0.231
666,0.207
667,0.186
668,0.166
669,0.148
670,0.132
671,0.118
672,0.104
673,0.092
674,0.082
675,0.073
676,0.065
677,0.058
678,0.051
679,0.046
680,0.041
681,0.036
682,0.032
683,0.029
684,0.026
685,0.023
686,0.021
687,0.018
688,0.016
689,0.015
690,0.013
691,0.012
692,0.011
693,0.01
694,0.009
695,0.008
696,0.007
697,0.006
698,0.006
699,0.005
700,0.005
701,0.004
702,0.004
703,0.003
704,0.003
705,0.003
706,0.003
707,0.003
708,0.002
709,0.002
710,0.002
711,0.002
712,0.002
713,0.002
714,0.002
715,0.002
716,0.001
717,0.002
718,0.002
719,0.001
720,0.001
721,0.001
722,0.001
723,0.001
724,0.001
725,0.001
726,0.001
727,0.001
728,0.001
729,0.001
730,0.001
731,0.001
732,0.001
733,0.001
734,0.001
735,0.001
736,0.001
737,0.001
738,0.001
739,0.001
740,0.001
741,0.001
742,0.001
743,0.001
744,0.001
745,0.001
746,0.001
747,0.001
748,0.001
749,0.001
750,0.001
