Wavelength (nm),10.0 ppm,5.00 ppm,1.00 ppm,unknown
475,0.070,0.035,0.007,0.048
476,0.072,0.036,0.007,0.049
477,0.073,0.036,0.007,0.050
478,0.074,0.037,0.007,0.051
479,0.076,0.038,0.008,0.052
480,0.077,0.039,0.008,0.053
481,0.078,0.039,0.008,0.053
482,0.080,0.040,0.008,0.055
483,0.082,0.041,0.008,0.056
484,0.083,0.042,0.008,0.057
485,0.085,0.042,0.008,0.058
486,0.087,0.043,0.009,0.059
487,0.088,0.044,0.009,0.060
488,0.090,0.045,0.009,0.061
489,0.092,0.046,0.009,0.062
490,0.093,0.047,0.009,0.063
491,0.095,0.047,0.009,0.064
492,0.096,0.048,0.010,0.066
493,0.098,0.049,0.010,0.067
494,0.100,0.050,0.010,0.068
495,0.101,0.051,0.010,0.069
496,0.103,0.051,0.010,0.070
497,0.104,0.052,0.010,0.071
498,0.106,0.053,0.011,0.072
499,0.107,0.054,0.011,0.073
500,0.109,0.055,0.011,0.074
501,0.111,0.055,0.011,0.075
502,0.112,0.056,0.011,0.076
503,0.114,0.057,0.011,0.077
504,0.115,0.058,0.012,0.079
505,0.117,0.058,0.012,0.079
506,0.118,0.059,0.012,0.081
507,0.120,0.060,0.012,0.081
508,0.121,0.061,0.012,0.083
509,0.123,0.061,0.012,0.083
510,0.124,0.062,0.012,0.084
511,0.125,0.063,0.013,0.085
512,0.127,0.063,0.013,0.086
513,0.128,0.064,0.013,0.087
514,0.130,0.065,0.013,0.088
515,0.131,0.066,0.013,0.089
516,0.133,0.066,0.013,0.090
517,0.134,0.067,0.013,0.091
518,0.135,0.068,0.014,0.092
519,0.137,0.068,0.014,0.093
520,0.138,0.069,0.014,0.094
521,0.140,0.070,0.014,0.095
522,0.141,0.071,0.014,0.096
523,0.143,0.071,0.014,0.097
524,0.144,0.072,0.014,0.098
525,0.146,0.073,0.015,0.099
526,0.147,0.074,0.015,0.100
527,0.149,0.074,0.015,0.101
528,0.150,0.075,0.015,0.103
529,0.152,0.076,0.015,0.103
530,0.153,0.077,0.015,0.105
531,0.155,0.078,0.016,0.106
532,0.157,0.078,0.016,0.107
533,0.158,0.079,0.016,0.108
534,0.160,0.080,0.016,0.109
535,0.162,0.081,0.016,0.110
536,0.164,0.082,0.016,0.112
537,0.166,0.083,0.017,0.113
538,0.168,0.084,0.017,0.114
539,0.170,0.085,0.017,0.116
540,0.172,0.086,0.017,0.117
541,0.175,0.087,0.017,0.119
542,0.177,0.089,0.018,0.121
543,0.180,0.090,0.018,0.122
544,0.183,0.091,0.018,0.124
545,0.186,0.093,0.019,0.126
546,0.189,0.094,0.019,0.129
547,0.192,0.096,0.019,0.131
548,0.196,0.098,0.020,0.134
549,0.200,0.100,0.020,0.136
550,0.204,0.102,0.020,0.139
551,0.208,0.104,0.021,0.142
552,0.213,0.106,0.021,0.145
553,0.218,0.109,0.022,0.148
554,0.223,0.111,0.022,0.152
555,0.228,0.114,0.023,0.156
556,0.234,0.117,0.023,0.159
557,0.240,0.120,0.024,0.164
558,0.246,0.123,0.025,0.168
559,0.253,0.127,0.025,0.172
560,0.260,0.130,0.026,0.177
561,0.267,0.133,0.027,0.182
562,0.274,0.137,0.027,0.187
563,0.281,0.141,0.028,0.192
564,0.289,0.144,0.029,0.197
565,0.297,0.148,0.030,0.202
566,0.305,0.153,0.031,0.208
567,0.313,0.157,0.031,0.213
568,0.321,0.161,0.032,0.219
569,0.330,0.165,0.033,0.225
570,0.338,0.169,0.034,0.231
571,0.347,0.174,0.035,0.236
572,0.356,0.178,0.036,0.242
573,0.365,0.182,0.036,0.248
574,0.374,0.187,0.037,0.255
575,0.382,0.191,0.038,0.261
576,0.392,0.196,0.039,0.267
577,0.401,0.201,0.040,0.273
578,0.411,0.205,0.041,0.280
579,0.420,0.210,0.042,0.286
580,0.430,0.215,0.043,0.293
581,0.440,0.220,0.044,0.300
582,0.450,0.225,0.045,0.306
583,0.460,0.230,0.046,0.314
584,0.470,0.235,0.047,0.321
585,0.480,0.240,0.048,0.327
586,0.491,0.245,0.049,0.334
587,0.501,0.251,0.050,0.341
588,0.512,0.256,0.051,0.349
589,0.522,0.261,0.052,0.355
590,0.532,0.266,0.053,0.363
