Wavelength (nm),Absorbance (AU)
300,0.05
301,0.05
302,0.05
303,0.05
304,0.05
305,0.051
306,0.052
307,0.053
308,0.055
309,0.056
310,0.058
311,0.059
312,0.061
313,0.063
314,0.065
315,0.066
316,0.068
317,0.071
318,0.073
319,0.074
320,0.077
321,0.078
322,0.079
323,0.081
324,0.082
325,0.083
326,0.083
327,0.083
328,0.082
329,0.081
330,0.079
331,0.076
332,0.074
333,0.071
334,0.068
335,0.065
336,0.062
337,0.059
338,0.056
339,0.053
340,0.051
341,0.049
342,0.046
343,0.044
344,0.043
345,0.041
346,0.04
347,0.038
348,0.037
349,0.035
350,0.034
351,0.033
352,0.032
353,0.032
354,0.031
355,0.03
356,0.03
357,0.03
358,0.029
359,0.029
360,0.029
361,0.028
362,0.028
363,0.028
364,0.028
365,0.027
366,0.027
367,0.026
368,0.026
369,0.025
370,0.024
371,0.024
372,0.023
373,0.022
374,0.022
375,0.021
376,0.021
377,0.02
378,0.02
379,0.02
380,0.019
381,0.019
382,0.019
383,0.018
384,0.018
385,0.018
386,0.017
387,0.017
388,0.016
389,0.016
390,0.016
391,0.015
392,0.015
393,0.015
394,0.015
395,0.015
396,0.015
397,0.015
398,0.015
399,0.015
400,0.015
401,0.015
402,0.015
403,0.016
404,0.016
405,0.016
406,0.016
407,0.016
408,0.017
409,0.017
410,0.017
411,0.018
412,0.018
413,0.018
414,0.019
415,0.019
416,0.019
417,0.02
418,0.02
419,0.02
420,0.021
421,0.021
422,0.021
423,0.021
424,0.021
425,0.021
426,0.022
427,0.022
428,0.022
429,0.022
430,0.022
431,0.021
432,0.021
433,0.021
434,0.021
435,0.021
436,0.021
437,0.021
438,0.021
439,0.021
440,0.021
441,0.021
442,0.022
443,0.022
444,0.022
445,0.022
446,0.023
447,0.023
448,0.023
449,0.024
450,0.024
451,0.024
452,0.025
453,0.025
454,0.025
455,0.026
456,0.026
457,0.027
458,0.027
459,0.027
460,0.028
461,0.028
462,0.029
463,0.029
464,0.029
465,0.03
466,0.03
467,0.031
468,0.031
469,0.032
470,0.032
471,0.033
472,0.033
473,0.034
474,0.035
475,0.035
476,0.036
477,0.036
478,0.037
479,0.038
480,0.039
481,0.039
482,0.04
483,0.041
484,0.042
485,0.042
486,0.043
487,0.044
488,0.045
489,0.046
490,0.047
491,0.047
492,0.048
493,0.049
494,0.05
495,0.051
496,0.051
497,0.052
498,0.053
499,0.054
500,0.055
501,0.055
502,0.056
503,0.057
504,0.058
505,0.058
506,0.059
507,0.06
508,0.061
509,0.061
510,0.062
511,0.063
512,0.063
513,0.064
514,0.065
515,0.066
516,0.066
517,0.067
518,0.068
519,0.068
520,0.069
521,0.07
522,0.071
523,0.071
524,0.072
525,0.073
526,0.074
527,0.074
528,0.075
529,0.076
530,0.077
531,0.078
532,0.078
533,0.079
534,0.08
535,0.081
536,0.082
537,0.083
538,0.084
539,0.085
540,0.086
541,0.087
542,0.089
543,0.09
544,0.091
545,0.093
546,0.094
547,0.096
548,0.098
549,0.1
550,0.102
551,0.104
552,0.106
553,0.109
554,0.111
555,0.114
556,0.117
557,0.12
558,0.123
559,0.127
560,0.13
561,0.133
562,0.137
563,0.141
564,0.144
565,0.148
566,0.153
567,0.157
568,0.161
569,0.165
570,0.169
571,0.174
572,0.178
573,0.182
574,0.187
575,0.191
576,0.196
577,0.201
578,0.205
579,0.21
580,0.215
581,0.22
582,0.225
583,0.23
584,0.235
585,0.24
586,0.245
587,0.251
588,0.256
589,0.261
590,0.266
591,0.271
592,0.277
593,0.282
594,0.287
595,0.293
596,0.298
597,0.304
598,0.309
599,0.315
600,0.321
601,0.327
602,0.334
603,0.341
604,0.347
605,0.354
606,0.362
607,0.37
608,0.377
609,0.385
610,0.393
611,0.402
612,0.41
613,0.418
614,0.426
615,0.434
616,0.441
617,0.448
618,0.455
619,0.461
620,0.468
621,0.473
622,0.478
623,0.483
624,0.488
625,0.491
626,0.494
627,0.497
628,0.499
629,0.5
630,0.5
631,0.5
632,0.5
633,0.498
634,0.495
635,0.492
636,0.489
637,0.484
638,0.478
639,0.472
640,0.465
641,0.457
642,0.448
643,0.438
644,0.428
645,0.416
646,0.404
647,0.391
648,0.377
649,0.362
650,0.347
651,0.331
652,0.316
653,0.299
654,0.283
655,0.266
656,0.249
657,0.232
658,0.216
659,0.2
660,0.184
661,0.169
662,0.154
663,0.141
664,0.128
665,0.115
666,0.104
667,0.093
668,0.083
669,0.074
670,0.066
671,0.059
672,0.052
673,0.046
674,0.041
675,0.037
676,0.032
677,0.029
678,0.026
679,0.023
680,0.02
681,0.018
682,0.016
683,0.014
684,0.013
685,0.012
686,0.01
687,0.009
688,0.008
689,0.007
690,0.007
691,0.006
692,0.005
693,0.005
694,0.004
695,0.004
696,0.004
697,0.003
698,0.003
699,0.003
700,0.002
701,0.002
702,0.002
703,0.002
704,0.002
705,0.001
706,0.001
707,0.001
708,0.001
709,0.001
710,0.001
711,0.001
712,0.001
713,0.001
714,0.001
715,0.001
716,0.001
717,0.001
718,0.001
719,0.001
720,0.001
721,0.001
722,0.001
723,0.001
724,0.001
725,0.001
726,0.001
727,0.001
728,0.001
729,0.001
730,0.001
731,0.001
732,0.001
733,0.001
734,0.001
735,0.001
736,0.001
737,0.001
738,0.001
739,0.001
740,0.001
741,0.001
742,0.001
743,0.001
744,0.001
745,0.001
746,0.001
747,0.001
748,0.001
749,0.001
750,0
