Path,File,Date Acquired,Sample,Misc
C:\Users\vvannost\Documents\,Pain01.d,9/28/2020 13:52,Mixture, 
TIC: Pain01.d\data.ms,,,,
5.804,19834,,,
5.809,20302,,,
5.815,18662,,,
5.82,17756,,,
5.826,22157,,,
5.831,19755,,,
5.837,25249,,,
5.842,20136,,,
5.848,22816,,,
5.853,20259,,,
5.859,18783,,,
5.864,22904,,,
5.87,18172,,,
5.875,19078,,,
5.881,21913,,,
5.886,17245,,,
5.892,20738,,,
5.897,18988,,,
5.903,23348,,,
5.909,18502,,,
5.914,21475,,,
5.92,17111,,,
5.925,19523,,,
5.931,21483,,,
5.936,19504,,,
5.942,20617,,,
5.947,19097,,,
5.953,21207,,,
5.958,19239,,,
5.964,19859,,,
5.969,22765,,,
5.975,19626,,,
5.98,20487,,,
5.986,20669,,,
5.991,21364,,,
5.997,16332,,,
6.002,19050,,,
6.008,18586,,,
6.013,20440,,,
6.019,19945,,,
6.024,20010,,,
6.03,23466,,,
6.035,21094,,,
6.041,18219,,,
6.046,21168,,,
6.052,18337,,,
6.057,24231,,,
6.063,17396,,,
6.068,20522,,,
6.074,20639,,,
6.079,22423,,,
6.085,21954,,,
6.09,21382,,,
6.096,19571,,,
6.101,21058,,,
6.107,19653,,,
6.112,22671,,,
6.118,19735,,,
6.123,20831,,,
6.129,24558,,,
6.134,26894,,,
6.14,20459,,,
6.145,21140,,,
6.151,20619,,,
6.156,21544,,,
6.162,26148,,,
6.167,22067,,,
6.173,19214,,,
6.178,21640,,,
6.184,21293,,,
6.189,21047,,,
6.195,20210,,,
6.2,17663,,,
6.206,21471,,,
6.211,21378,,,
6.217,23578,,,
6.222,23820,,,
6.228,19284,,,
6.233,23609,,,
6.239,22916,,,
6.244,22252,,,
6.25,23861,,,
6.255,22035,,,
6.261,22318,,,
6.266,19190,,,
6.272,20845,,,
6.277,23121,,,
6.283,18266,,,
6.288,21965,,,
6.294,22676,,,
6.299,22784,,,
6.305,22427,,,
6.31,23964,,,
6.316,24455,,,
6.321,23259,,,
6.327,23998,,,
6.332,23854,,,
6.338,22179,,,
6.343,22353,,,
6.349,24014,,,
6.354,27390,,,
6.36,24092,,,
6.365,24809,,,
6.371,23399,,,
6.376,25813,,,
6.382,22589,,,
6.387,25921,,,
6.393,28453,,,
6.398,25282,,,
6.404,24058,,,
6.409,20386,,,
6.415,25965,,,
6.42,24129,,,
6.426,23865,,,
6.431,24398,,,
6.437,26932,,,
6.442,28747,,,
6.448,26355,,,
6.453,21678,,,
6.459,25152,,,
6.464,26207,,,
6.47,27953,,,
6.475,29238,,,
6.481,29914,,,
6.486,26984,,,
6.492,26190,,,
6.497,27500,,,
6.503,25427,,,
6.508,31523,,,
6.514,30825,,,
6.519,32278,,,
6.525,29627,,,
6.53,27036,,,
6.536,26272,,,
6.541,25383,,,
6.547,25889,,,
6.552,30051,,,
6.558,23855,,,
6.563,28438,,,
6.569,27492,,,
6.574,24990,,,
6.58,27618,,,
6.585,30328,,,
6.591,24924,,,
6.596,26997,,,
6.602,27272,,,
6.607,26696,,,
6.613,25227,,,
6.618,27951,,,
6.624,29008,,,
6.629,29006,,,
6.635,31108,,,
6.64,28951,,,
6.646,31103,,,
6.651,25528,,,
6.657,30424,,,
6.662,27749,,,
6.668,26907,,,
6.673,32014,,,
6.679,28302,,,
6.684,32576,,,
6.69,30145,,,
6.695,27105,,,
6.701,29637,,,
6.706,34171,,,
6.712,33547,,,
6.717,26779,,,
6.723,29063,,,
6.728,27345,,,
6.734,29603,,,
6.739,28514,,,
6.745,27555,,,
6.75,28227,,,
6.756,29459,,,
6.761,32665,,,
6.767,38335,,,
6.772,46247,,,
6.778,63690,,,
6.783,67914,,,
6.789,50725,,,
6.794,42453,,,
6.8,36364,,,
6.805,31458,,,
6.811,34423,,,
6.816,32211,,,
6.822,30629,,,
6.827,25966,,,
6.833,32273,,,
6.838,34961,,,
6.844,29580,,,
6.849,30198,,,
6.855,28174,,,
6.86,33960,,,
6.866,30902,,,
6.871,26136,,,
6.877,30319,,,
6.882,27544,,,
6.888,30253,,,
6.893,30362,,,
6.899,28939,,,
6.904,34408,,,
6.91,33437,,,
6.915,36151,,,
6.921,35523,,,
6.926,26033,,,
6.932,32274,,,
6.937,27488,,,
6.943,27249,,,
6.948,31021,,,
6.954,28240,,,
6.959,30793,,,
6.965,29527,,,
6.97,29600,,,
6.976,28572,,,
6.981,28690,,,
6.987,29948,,,
6.992,31962,,,
6.998,31837,,,
