Wavelength (nm),Intensity,,265.828265
475,13.582666,,
475.5,14.422038,,
476,15.319904,,
476.5,16.302389,,
477,17.378311,,
477.5,18.601177,,
478,20.000462,,
478.5,21.55585,,
479,23.256194,,
479.5,25.01833,,
480,26.842586,,
480.5,28.736824,,
481,30.693425,,
481.5,32.629662,,
482,34.657462,,
482.5,36.776646,,
483,39.033338,,
483.5,41.410113,,
484,43.905804,,
484.5,46.453443,,
485,49.046496,,
485.5,51.774137,,
486,54.489351,,
486.5,57.362439,,
487,60.317819,,
487.5,63.336312,,
488,66.450826,,
488.5,69.618607,,
489,72.903444,,
489.5,76.136017,,
490,79.450307,,
490.5,82.662626,,
491,85.980756,,
491.5,89.254304,,
492,92.64608,,
492.5,96.11473,,
493,99.665429,,
493.5,103.442527,,
494,107.300841,,
494.5,111.264228,,
495,115.164313,,
495.5,119.161544,,
496,123.031583,,
496.5,126.935728,,
497,130.756224,,
497.5,134.447015,,
498,138.2834,,
498.5,142.196184,,
499,146.316441,,
499.5,150.486964,,
500,154.745094,,
500.5,158.9264,,
501,163.092455,,
501.5,167.028976,,
502,170.672292,,
502.5,174.261831,,
503,177.692097,,
503.5,181.150916,,
504,184.622804,,
504.5,188.038104,,
505,191.531378,,
505.5,195.139433,,
506,198.63509,,
506.5,201.907938,,
507,205.268457,,
507.5,208.619593,,
508,211.978574,,
508.5,215.393728,,
509,218.78534,,
509.5,222.030477,,
510,225.322787,,
510.5,228.358504,,
511,231.050301,,
511.5,233.597969,,
512,236.124483,,
512.5,238.462868,,
513,240.807776,,
513.5,243.207726,,
514,245.5225,,
514.5,247.820484,,
515,249.892007,,
515.5,251.648759,,
516,253.230012,,
516.5,254.721715,,
517,255.98539,,
517.5,257.190074,,
518,258.472207,,
518.5,259.811389,,
519,261.159172,,
519.5,262.367495,,
520,263.335879,,
520.5,264.246156,,
521,264.987208,,
521.5,265.4858,,
522,265.752794,,
522.5,265.828265,,
523,265.76644,,
523.5,265.718605,,
524,265.633281,,
524.5,265.276544,,
525,264.849757,,
525.5,264.240394,,
526,263.58019,,
526.5,262.840224,,
527,262.072701,,
527.5,261.129741,,
528,260.137196,,
528.5,259.242915,,
529,258.153127,,
529.5,256.995339,,
530,255.697881,,
530.5,254.262129,,
531,252.716067,,
531.5,251.095336,,
532,249.421267,,
532.5,247.680149,,
533,245.916126,,
533.5,244.077419,,
534,242.219916,,
534.5,240.361999,,
535,238.407435,,
535.5,236.298143,,
536,233.993791,,
536.5,231.710559,,
537,229.42037,,
537.5,226.945617,,
538,224.442565,,
538.5,221.904868,,
539,219.439962,,
539.5,217.061688,,
540,214.777662,,
540.5,212.413196,,
541,210.078177,,
541.5,207.767659,,
542,205.400472,,
542.5,202.965371,,
543,200.491772,,
543.5,198.006146,,
544,195.546091,,
544.5,193.152989,,
545,190.780027,,
545.5,188.402858,,
546,185.887791,,
546.5,183.304698,,
547,180.634959,,
547.5,177.913574,,
548,175.178576,,
548.5,172.471513,,
549,169.861623,,
549.5,167.428351,,
550,165.1059,,
550.5,162.792342,,
551,160.539997,,
551.5,158.263918,,
552,156.051276,,
552.5,153.820459,,
553,151.569764,,
553.5,149.292338,,
554,146.950465,,
554.5,144.723335,,
555,142.53587,,
555.5,140.330921,,
556,138.050595,,
556.5,135.904506,,
557,133.788065,,
557.5,131.720607,,
558,129.762735,,
558.5,127.769305,,
559,125.977682,,
559.5,124.249789,,
560,122.586531,,
560.5,120.884822,,
561,119.262721,,
561.5,117.595749,,
562,115.925864,,
562.5,114.297576,,
563,112.551444,,
563.5,110.870355,,
564,109.222149,,
564.5,107.57287,,
565,105.916739,,
565.5,104.330145,,
566,102.646005,,
566.5,100.961799,,
567,99.300336,,
567.5,97.680236,,
568,96.093956,,
568.5,94.58536,,
569,93.139417,,
569.5,91.778582,,
570,90.526058,,
570.5,89.204645,,
571,87.853524,,
571.5,86.525793,,
572,85.208243,,
572.5,83.811345,,
573,82.353913,,
573.5,80.903437,,
574,79.50352,,
574.5,78.18145,,
575,76.893708,,
575.5,75.614353,,
576,74.368912,,
576.5,73.241345,,
577,72.190901,,
577.5,71.12235,,
578,70.050705,,
578.5,68.982859,,
579,67.877119,,
579.5,66.798468,,
580,65.675452,,
580.5,64.466635,,
581,63.263888,,
581.5,62.10978,,
582,60.980347,,
582.5,59.893901,,
583,58.871358,,
583.5,57.853661,,
584,56.923577,,
584.5,56.045042,,
585,55.146949,,
585.5,54.243243,,
586,53.298446,,
586.5,52.375264,,
587,51.421692,,
587.5,50.460219,,
588,49.479257,,
588.5,48.4861,,
589,47.54178,,
589.5,46.62408,,
590,45.740984,,
590.5,44.819855,,
591,43.939106,,
591.5,43.029053,,
592,42.128272,,
592.5,41.255664,,
593,40.394129,,
593.5,39.591294,,
594,38.84176,,
594.5,38.144137,,
595,37.447359,,
595.5,36.781893,,
596,36.087962,,
596.5,35.418497,,
597,34.762276,,
597.5,34.108979,,
598,33.466515,,
598.5,32.795824,,
599,32.100808,,
599.5,31.365981,,
600,30.601764,,
600.5,29.797,,
