Wavelength (nm),Intensity (a.u.)
475,21.392
475.5,21.707484
476,22.059619
476.5,22.448023
477,22.976764
477.5,23.562848
478,24.225317
478.5,24.856841
479,25.508436
479.5,26.173221
480,26.882663
480.5,27.64413
481,28.439217
481.5,29.305522
482,30.222226
482.5,31.208266
483,32.201029
483.5,33.227598
484,34.286737
484.5,35.46682
485,36.687434
485.5,37.996266
486,39.327252
486.5,40.727396
487,42.108356
487.5,43.490021
488,44.915837
488.5,46.276593
489,47.75569
489.5,49.184215
490,50.680669
490.5,52.097242
491,53.638342
491.5,55.116923
492,56.631594
492.5,58.261623
493,59.978312
493.5,61.870093
494,63.801137
494.5,65.7894
495,67.698358
495.5,69.67357
496,71.441233
496.5,73.094508
497,74.648945
497.5,76.181178
498,77.761441
498.5,79.35847
499,81.004491
499.5,82.808218
500,84.834229
500.5,86.921438
501,89.056981
501.5,91.116372
502,93.221405
502.5,95.334087
503,97.315362
503.5,99.03141
504,100.659904
504.5,102.226286
505,103.7667
505.5,105.235325
506,106.549935
506.5,107.884808
507,109.369847
507.5,110.93548
508,112.475828
508.5,114.07008
509,115.785045
509.5,117.534276
510,119.185899
510.5,120.584991
511,121.828404
511.5,122.927365
512,123.904515
512.5,124.80589
513,125.639901
513.5,126.649026
514,127.785491
514.5,128.942112
515,130.005975
515.5,131.11314
516,132.148532
516.5,132.968593
517,133.656763
517.5,134.173581
518,134.778232
518.5,135.5711
519,136.367727
519.5,137.035449
520,137.720637
520.5,138.42328
521,138.89326
521.5,139.15024
522,139.118972
522.5,138.885279
523,138.72256
523.5,138.599878
524,138.415896
524.5,138.282134
525,138.293362
525.5,138.285283
526,138.278616
526.5,138.185607
527,137.859303
527.5,137.376087
528,136.723148
528.5,135.920311
529,135.007907
529.5,134.091029
530,133.135664
530.5,132.286407
531,131.57013
531.5,130.81604
532,130.017207
532.5,129.099944
533,128.09303
533.5,127.083253
534,126.055817
534.5,124.867568
535,123.76837
535.5,122.72014
536,121.57633
536.5,120.311875
537,118.973799
537.5,117.553489
538,116.121506
538.5,114.745262
539,113.281952
539.5,111.95935
540,110.814247
540.5,109.6907
541,108.50351
541.5,107.231348
542,105.944
542.5,104.621037
543,103.32092
543.5,101.888864
544,100.353359
544.5,98.893332
545,97.487052
545.5,96.112413
546,94.701812
546.5,93.368594
547,92.028734
547.5,90.71082
548,89.426199
548.5,88.066677
549,86.746764
549.5,85.424029
550,84.242444
550.5,83.116976
551,82.068944
551.5,81.057842
552,80.007853
552.5,78.94622
553,77.827882
553.5,76.665404
554,75.389766
554.5,74.102796
555,72.894759
555.5,71.735352
556,70.647692
556.5,69.584996
557,68.543495
557.5,67.526503
558,66.503232
558.5,65.451511
559,64.380239
559.5,63.397126
560,62.466727
560.5,61.611155
561,60.834976
561.5,60.069313
562,59.399861
562.5,58.696351
563,57.981392
563.5,57.181839
564,56.384284
564.5,55.585195
565,54.788223
565.5,54.019594
566,53.166738
566.5,52.369724
567,51.526988
567.5,50.677777
568,49.788755
568.5,48.913955
569,48.043549
569.5,47.299851
570,46.628685
570.5,45.964683
571,45.370659
571.5,44.761237
572,44.136128
572.5,43.505783
573,42.849789
573.5,42.11345
574,41.406193
574.5,40.685248
575,39.976275
575.5,39.290909
576,38.615008
576.5,37.965962
577,37.370254
577.5,36.828441
578,36.302374
578.5,35.814944
579,35.336072
579.5,34.836991
580,34.325402
580.5,33.763101
581,33.19644
581.5,32.59541
582,32.004179
582.5,31.46172
583,30.938422
583.5,30.486074
584,30.03484
584.5,29.576465
585,29.109742
585.5,28.653513
586,28.168287
586.5,27.647091
587,27.144325
587.5,26.61908
588,26.171935
588.5,25.730585
589,25.30128
589.5,24.885778
590,24.501157
590.5,24.082863
591,23.618814
591.5,23.135542
592,22.634636
592.5,22.205747
593,21.802631
593.5,21.419524
594,21.049611
594.5,20.735025
595,20.41876
595.5,20.062618
596,19.68771
596.5,19.398264
597,19.227223
597.5,19.008677
598,18.606349
598.5,17.882786
599,16.854966
599.5,15.428861
600,13.6363
600.5,11.526
