Wavelength (nm),Intensity (a.u.)
475,32.253
475.5,32.897593
476,33.564964
476.5,34.269125
477,35.173167
477.5,36.220094
478,37.415629
478.5,38.64679
479,39.953209
479.5,41.393942
480,43.020984
480.5,44.676788
481,46.326988
481.5,48.155716
482,50.154473
482.5,52.309974
483,54.543328
483.5,56.904427
484,59.516158
484.5,62.409706
485,65.561945
485.5,68.764257
486,72.11192
486.5,75.663699
487,79.310352
487.5,82.967744
488,86.497864
488.5,90.002609
489,93.51136
489.5,97.102159
490,100.612775
490.5,104.22012
491,108.143105
491.5,112.276845
492,116.641396
492.5,121.198461
493,125.829851
493.5,130.521339
494,135.301568
494.5,139.936013
495,144.538149
495.5,149.390754
496,154.3118
496.5,159.262084
497,164.320614
497.5,169.26502
498,174.181936
498.5,178.900347
499,183.494032
499.5,188.003919
500,192.721134
500.5,197.498108
501,202.295261
501.5,207.317625
502,212.42038
502.5,217.551669
503,222.400959
503.5,227.163656
504,231.791553
504.5,236.326874
505,240.531849
505.5,244.587062
506,248.659615
506.5,252.735303
507,256.916983
507.5,261.012963
508,265.076859
508.5,269.160657
509,273.233645
509.5,276.918967
510,280.24383
510.5,283.353524
511,286.1476
511.5,288.810174
512,291.498715
512.5,294.104041
513,296.799935
513.5,299.766662
514,302.707793
514.5,305.558005
515,308.363805
515.5,310.892699
516,313.13064
516.5,315.128823
517,316.761836
517.5,317.97121
518,318.995148
518.5,319.896917
519,320.636747
519.5,321.360914
520,322.122481
520.5,322.833524
521,323.42658
521.5,323.914904
522,324.147547
522.5,324.253029
523,324.33968
523.5,324.353076
524,324.303316
524.5,324.286315
525,324.131362
525.5,323.747194
526,323.229845
526.5,322.33885
527,321.20307
527.5,319.960572
528,318.582195
528.5,317.17718
529,315.734622
529.5,314.177516
530,312.606641
530.5,310.936252
531,308.924
531.5,306.733379
532,304.444391
532.5,302.082668
533,299.780458
533.5,297.560777
534,295.32703
534.5,293.314405
535,291.356873
535.5,289.250304
536,287.089862
536.5,284.667471
537,281.990604
537.5,279.029997
538,275.949818
538.5,272.716891
539,269.605053
539.5,266.490714
540,263.476034
540.5,260.664552
541,257.887596
541.5,255.138615
542,252.180463
542.5,249.113699
543,245.988219
543.5,242.770044
544,239.214761
544.5,235.539745
545,231.999114
545.5,228.5898
546,225.365933
546.5,222.280275
547,219.314748
547.5,216.567966
548,213.922784
548.5,211.133028
549,208.214659
549.5,205.246118
550,202.203918
550.5,199.068273
551,195.981991
551.5,192.894396
552,189.959492
552.5,187.047466
553,184.128565
553.5,181.176654
554,178.432054
554.5,175.852497
555,173.279313
555.5,170.821325
556,168.495455
556.5,166.324636
557,164.081486
557.5,161.688174
558,159.088039
558.5,156.46341
559,153.964581
559.5,151.441739
560,149.082539
560.5,146.855498
561,144.874633
561.5,143.002675
562,141.143539
562.5,139.188221
563,137.10047
563.5,135.051415
564,132.871725
564.5,130.751951
565,128.646803
565.5,126.63988
566,124.748894
566.5,122.887252
567,121.104949
567.5,119.301503
568,117.522321
568.5,115.624765
569,113.799149
569.5,111.970325
570,110.168617
570.5,108.385697
571,106.573956
571.5,104.811984
572,103.166924
572.5,101.669376
573,100.172443
573.5,98.796675
574,97.46269
574.5,96.149632
575,94.799554
575.5,93.405105
576,91.838487
576.5,90.267375
577,88.719541
577.5,87.072961
578,85.430532
578.5,83.848585
579,82.394605
579.5,80.987815
580,79.748715
580.5,78.483949
581,77.294713
581.5,76.173524
582,74.994911
582.5,73.824399
583,72.664211
583.5,71.569373
584,70.467934
584.5,69.510651
585,68.560719
585.5,67.684182
586,66.755525
586.5,65.683103
587,64.493941
587.5,63.188543
588,61.823891
588.5,60.351537
589,58.920507
589.5,57.527847
590,56.290834
590.5,55.178312
591,54.109775
591.5,53.109237
592,52.126278
592.5,51.185016
593,50.235675
593.5,49.358756
594,48.467166
594.5,47.640546
595,46.868605
595.5,46.098991
596,45.368173
596.5,44.624971
597,43.850829
597.5,43.057769
598,42.231301
598.5,41.259973
599,40.171218
599.5,38.948691
600,37.602046
600.5,36.243
