Wavelength (nm),Intensity (a.u.)
475,6.755
475.5,6.911223
476,7.138711
476.5,7.449226
477,7.797913
477.5,8.200988
478,8.636973
478.5,9.152984
479,9.718218
479.5,10.275634
480,10.837901
480.5,11.42048
481,12.04355
481.5,12.700855
482,13.364298
482.5,14.001291
483,14.679933
483.5,15.428514
484,16.212587
484.5,17.035454
485,17.908041
485.5,18.824591
486,19.778147
486.5,20.757762
487,21.682591
487.5,22.596899
488,23.505773
488.5,24.414871
489,25.303822
489.5,26.204196
490,27.17611
490.5,28.193774
491,29.319054
491.5,30.454634
492,31.640683
492.5,32.828867
493,34.047902
493.5,35.214169
494,36.29779
494.5,37.412228
495,38.519926
495.5,39.660699
496,40.804525
496.5,41.968924
497,43.123257
497.5,44.329444
498,45.557696
498.5,46.713827
499,47.887622
499.5,49.074516
500,50.255018
500.5,51.476234
501,52.65531
501.5,53.817131
502,54.978124
502.5,56.191682
503,57.340174
503.5,58.498453
504,59.635582
504.5,60.753094
505,61.946188
505.5,63.11182
506,64.26043
506.5,65.358762
507,66.432747
507.5,67.47088
508,68.527411
508.5,69.514106
509,70.522411
509.5,71.558092
510,72.597992
510.5,73.68329
511,74.735704
511.5,75.670897
512,76.48025
512.5,77.224449
513,77.864245
513.5,78.545954
514,79.203013
514.5,79.859193
515,80.642499
515.5,81.504669
516,82.287067
516.5,82.930313
517,83.443073
517.5,83.835218
518,84.277044
518.5,84.719247
519,85.043807
519.5,85.481555
520,85.970421
520.5,86.444937
521,86.75678
521.5,86.90975
522,86.938447
522.5,86.938722
523,86.968468
523.5,86.826218
524,86.722548
524.5,86.681679
525,86.729529
525.5,86.688942
526,86.61906
526.5,86.463071
527,86.285667
527.5,86.189652
528,85.904021
528.5,85.536298
529,85.036195
529.5,84.552529
530,83.926617
530.5,83.292015
531,82.615017
531.5,81.914574
532,81.289007
532.5,80.662619
533,80.055064
533.5,79.335912
534,78.68797
534.5,77.929027
535,77.18323
535.5,76.331115
536,75.435321
536.5,74.5677
537,73.670097
537.5,72.786298
538,71.842649
538.5,71.032868
539,70.21946
539.5,69.503682
540,68.752794
540.5,68.025509
541,67.319176
541.5,66.592822
542,65.763308
542.5,64.785227
543,63.801211
543.5,62.763059
544,61.779132
544.5,60.766658
545,59.794661
545.5,58.883819
546,58.129145
546.5,57.415165
547,56.69076
547.5,55.972555
548,55.247291
548.5,54.494659
549,53.762469
549.5,53.104562
550,52.395684
550.5,51.760977
551,51.117902
551.5,50.422151
552,49.606148
552.5,48.766136
553,47.825558
553.5,46.890017
554,46.009651
554.5,45.184783
555,44.472543
555.5,43.847108
556,43.254647
556.5,42.595491
557,41.96349
557.5,41.26662
558,40.538752
558.5,39.798803
559,39.122026
559.5,38.545528
560,38.092459
560.5,37.738918
561,37.362552
561.5,36.982975
562,36.524081
562.5,35.996382
563,35.414325
563.5,34.795256
564,34.18163
564.5,33.617931
565,33.143412
565.5,32.734613
566,32.401416
566.5,32.029591
567,31.620162
567.5,31.238702
568,30.799203
568.5,30.344163
569,29.855294
569.5,29.403052
570,28.969929
570.5,28.600824
571,28.176046
571.5,27.685476
572,27.224062
572.5,26.739015
573,26.26319
573.5,25.778291
574,25.317625
574.5,24.886283
575,24.513197
575.5,24.126166
576,23.712561
576.5,23.316463
577,22.929127
577.5,22.542075
578,22.192507
578.5,21.860938
579,21.529633
579.5,21.215167
580,20.882031
580.5,20.525177
581,20.135354
581.5,19.732142
582,19.294088
582.5,18.904104
583,18.537662
583.5,18.185274
584,17.906407
584.5,17.657609
585,17.41387
585.5,17.153621
586,16.901052
586.5,16.596758
587,16.282363
587.5,15.964241
588,15.61487
588.5,15.279692
589,14.992566
589.5,14.714407
590,14.440941
590.5,14.197444
591,13.961761
591.5,13.748541
592,13.53193
592.5,13.29734
593,13.039978
593.5,12.834038
594,12.612766
594.5,12.386498
595,12.160876
595.5,11.908647
596,11.667807
596.5,11.439464
597,11.228271
597.5,11.00277
598,10.794351
598.5,10.552468
599,10.325959
599.5,10.076255
600,9.804731
600.5,9.532
