Wavelength (nm),Intensity (a.u.)
475,18.721
475.5,19.899246
476,21.16901
476.5,22.560207
477,24.037184
477.5,25.637642
478,27.360305
478.5,29.185178
479,31.202755
479.5,33.255938
480,35.416319
480.5,37.665572
481,40.046943
481.5,42.418599
482,44.886217
482.5,47.435575
483,50.028795
483.5,52.756149
484,55.577485
484.5,58.495832
485,61.534962
485.5,64.772944
486,68.071245
486.5,71.581411
487,75.251344
487.5,78.99986
488,82.805049
488.5,86.647607
489,90.52902
489.5,94.287665
490,98.100297
490.5,101.736699
491,105.557562
491.5,109.438421
492,113.516426
492.5,117.811445
493,122.302349
493.5,127.046455
494,131.872173
494.5,136.705272
495,141.264071
495.5,145.865986
496,150.279914
496.5,154.649205
497,159.143678
497.5,163.552408
498,168.149851
498.5,172.890341
499,177.751269
499.5,182.537924
500,187.319395
500.5,191.950319
501,196.351783
501.5,200.939222
502,205.148247
502.5,209.311526
503,213.425685
503.5,217.540178
504,221.741423
504.5,225.857685
505,229.893812
505.5,233.851795
506,238.099555
506.5,242.144111
507,246.298727
507.5,250.267068
508,254.212417
508.5,258.2415
509,262.31851
509.5,266.022138
510,269.540836
510.5,272.962914
511,276.108282
511.5,279.010059
512,281.723601
512.5,284.298445
513,286.798569
513.5,289.535567
514,291.9616
514.5,294.370627
515,296.552532
515.5,298.586823
516,300.359945
516.5,302.128223
517,303.894806
517.5,305.493914
518,307.156825
518.5,308.687109
519,310.182878
519.5,311.571301
520,312.706911
520.5,313.494986
521,314.137286
521.5,314.658631
522,315.014212
522.5,315.108789
523,315.058025
523.5,314.87778
524,314.690589
524.5,314.298651
525,313.868523
525.5,313.438898
526,313.011219
526.5,312.517562
527,311.809268
527.5,310.969502
528,309.853592
528.5,308.574206
529,306.901517
529.5,305.117494
530,303.20585
530.5,301.245066
531,299.249569
531.5,297.202192
532,295.3246
532.5,293.41415
533,291.416761
533.5,289.184939
534,286.818541
534.5,284.273073
535,281.798035
535.5,279.408634
536,277.055324
536.5,274.911835
537,272.787953
537.5,270.668501
538,268.332679
538.5,265.690682
539,262.725092
539.5,259.563829
540,256.309818
540.5,253.057417
541,250.060927
541.5,247.141122
542,244.444073
542.5,241.792435
543,238.970675
543.5,235.991303
544,232.888994
544.5,229.633899
545,226.334735
545.5,223.016514
546,219.590016
546.5,216.335115
547,213.146284
547.5,209.885407
548,206.720985
548.5,203.861706
549,201.232502
549.5,198.765776
550,196.230327
550.5,193.635305
551,191.004377
551.5,188.260504
552,185.273858
552.5,182.113084
553,179.072292
553.5,176.287392
554,173.733644
554.5,171.178495
555,168.596911
555.5,166.075454
556,163.628812
556.5,161.042465
557,158.362008
557.5,155.873914
558,153.582484
558.5,151.477615
559,149.462805
559.5,147.445405
560,145.37076
560.5,143.294241
561,141.074646
561.5,138.71518
562,136.579721
562.5,134.532146
563,132.564164
563.5,130.70606
564,128.845724
564.5,126.944552
565,125.082181
565.5,123.151537
566,121.081388
566.5,119.092732
567,117.193962
567.5,115.415778
568,113.671861
568.5,112.030683
569,110.404089
569.5,108.743082
570,107.056675
570.5,105.290242
571,103.379794
571.5,101.52626
572,99.80532
572.5,98.135263
573,96.491674
573.5,94.956133
574,93.512766
574.5,92.225737
575,91.03482
575.5,89.7103
576,88.418659
576.5,87.176237
577,85.929856
577.5,84.535772
578,83.080572
578.5,81.522152
579,80.072839
579.5,78.633069
580,77.125916
580.5,75.678743
581,74.348758
581.5,73.153969
582,71.954351
582.5,70.757881
583,69.544502
583.5,68.432985
584,67.373466
584.5,66.286301
585,65.188087
585.5,64.13717
586,63.051776
586.5,61.948089
587,60.78028
587.5,59.60782
588,58.451945
588.5,57.376844
589,56.256313
589.5,55.101965
590,54.016913
590.5,52.921589
591,51.867563
591.5,50.740898
592,49.669692
592.5,48.639328
593,47.743196
593.5,46.831551
594,45.941178
594.5,45.101235
595,44.321498
595.5,43.519663
596,42.631749
596.5,41.680943
597,40.654459
597.5,39.77386
598,38.974624
598.5,38.412141
599,38.168317
599.5,38.299172
600,38.676633
600.5,39.23
