480,558.46
480.5,593.5
481,627.59
481.5,660.28
482,691.89
482.5,721.51
483,749.18
483.5,774.81
484,798.46
484.5,820.01
485,840.56
485.5,858.45
486,873.38
486.5,885.71
487,895.3
487.5,901.63
488,904.72
488.5,904.17
489,900.24
489.5,894.85
490,886.84
490.5,877.2
491,865.96
491.5,854.53
492,842.74
492.5,830.68
493,818.4
493.5,805.16
494,791.16
494.5,776.59
495,761.71
495.5,746.06
496,731.32
496.5,717.49
497,705.04
497.5,694.71
498,686.2
498.5,678.71
499,672.6
499.5,668.05
500,664.43
500.5,662.72
501,661.4
501.5,661.23
502,661.86
502.5,663.55
503,665.45
503.5,667.54
504,670.18
504.5,673.2
505,677.8
505.5,682.16
506,687.37
506.5,691.9
507,695.79
507.5,699.15
508,701.29
508.5,702.76
509,703.15
509.5,703.83
510,704.08
510.5,705.21
511,706.28
511.5,706.94
512,707.34
512.5,707.09
513,706.56
513.5,705.37
514,703.39
514.5,700.24
515,696.71
515.5,692.71
516,687.85
516.5,682.35
517,676.34
517.5,670.23
518,664.45
518.5,658.79
519,652.78
519.5,646.73
520,640.89
520.5,634.48
521,627.64
521.5,620.26
522,612.29
522.5,603.88
523,595.02
523.5,585.54
524,576.08
524.5,567.06
525,557.46
525.5,547.96
526,538.69
526.5,529.95
527,521.56
527.5,513.07
528,504.44
528.5,495.86
529,487.54
529.5,478.71
530,469.58
530.5,460.17
531,450.78
531.5,441.53
532,432.21
532.5,422.99
533,414.12
533.5,405.67
534,397.47
534.5,389.28
535,381.5
535.5,373.76
536,366.07
536.5,358.52
537,351.13
537.5,343.75
538,336.45
538.5,329.38
539,322.25
539.5,315.39
540,308.78
540.5,302.25
541,295.92
541.5,289.74
542,283.61
542.5,277.59
543,271.59
543.5,265.7
544,259.98
544.5,254.39
545,248.99
545.5,243.63
