Wavelength (nm),Intensity (a.u.)
490,79.64824
490.5,82.720494
491,85.785787
491.5,88.877628
492,91.971912
492.5,95.144487
493,98.375184
493.5,101.729386
494,105.28027
494.5,108.827253
495,112.35076
495.5,115.925561
496,119.420691
496.5,122.788349
497,126.146442
497.5,129.492203
498,132.864102
498.5,136.35673
499,139.856619
499.5,143.303034
500,146.793454
500.5,150.163173
501,153.509822
501.5,156.797619
502,160.011491
502.5,163.161608
503,166.367921
503.5,169.557078
504,172.715911
504.5,175.918367
505,178.986523
505.5,182.188239
506,185.31779
506.5,188.398906
507,191.413528
507.5,194.532941
508,197.530525
508.5,200.376384
509,202.987297
509.5,205.345189
510,207.810195
510.5,210.184326
511,212.396945
511.5,214.458164
512,216.705693
512.5,218.998485
513,221.317496
513.5,223.456984
514,225.430337
514.5,227.380268
515,229.205728
515.5,230.76763
516,232.101878
516.5,233.401106
517,234.74717
517.5,236.168169
518,237.482745
518.5,238.795999
519,240.052414
519.5,241.227748
520,242.219142
520.5,243.205985
521,244.018826
521.5,244.730117
522,245.375342
522.5,245.711541
523,245.871511
523.5,245.792148
524,245.389599
524.5,244.675002
525,243.993443
525.5,243.28252
526,242.59654
526.5,242.042867
527,241.465969
527.5,240.831006
528,240.130822
528.5,239.169335
529,237.901457
529.5,236.447445
530,234.937901
530.5,233.369016
531,231.769108
531.5,230.195436
532,228.531988
532.5,226.797086
533,224.927307
533.5,222.950095
534,220.687685
534.5,218.423868
535,216.246439
535.5,213.960886
536,211.744041
536.5,209.53256
537,207.330973
537.5,205.107618
538,202.896991
538.5,200.537241
539,198.094178
539.5,195.685811
540,193.194423
540.5,190.726877
541,188.257103
541.5,185.795066
542,183.278123
542.5,180.668117
543,178.069348
543.5,175.370612
544,172.655411
544.5,169.911317
545,167.216203
545.5,164.666369
546,162.328643
546.5,160.106255
547,157.869498
547.5,155.776289
548,153.631536
548.5,151.438887
549,149.113773
549.5,146.581735
550,144.031266
550.5,141.626624
551,139.333119
551.5,137.065415
552,134.94403
552.5,132.891086
553,131.098207
553.5,129.311593
554,127.459013
554.5,125.624811
555,123.873287
555.5,122.133161
556,120.303272
556.5,118.405829
557,116.405555
557.5,114.51827
558,112.603292
558.5,110.702596
559,108.850452
559.5,107.117907
560,105.505965
560.5,104.014122
561,102.642794
561.5,101.351953
562,100.174875
562.5,99.009417
563,97.801005
563.5,96.543538
564,95.218943
564.5,93.822579
565,92.366313
565.5,90.92025
566,89.549969
566.5,88.259854
567,87.092874
567.5,85.937564
568,84.772337
568.5,83.601009
569,82.389316
569.5,81.136604
570,79.877022
570.5,78.607864
571,77.371933
571.5,76.250935
572,75.119483
572.5,73.936475
573,72.692213
573.5,71.478996
574,70.260969
574.5,69.11296
575,67.97776
575.5,66.864886
576,65.89401
576.5,65.017122
577,64.158615
577.5,63.262667
578,62.302262
578.5,61.279756
579,60.26528
579.5,59.22162
580,58.116257
580.5,57.072272
581,56.132163
581.5,55.268461
582,54.451141
582.5,53.626522
583,52.803772
583.5,51.959054
584,51.055248
584.5,50.088431
585,49.095238
585.5,48.173032
586,47.283031
586.5,46.480032
587,45.693024
587.5,44.952531
588,44.212001
588.5,43.454018
589,42.680114
589.5,41.874971
590,41.101853
590.5,40.311239
591,39.52555
591.5,38.757637
592,38.025677
592.5,37.318164
593,36.65037
593.5,35.978849
594,35.292327
594.5,34.648659
595,34.004998
595.5,33.347365
596,32.719366
596.5,32.12389
597,31.583591
597.5,31.133002
598,30.621689
598.5,30.051585
599,29.400135
599.5,28.656604
600,27.733616
600.5,26.73
