Wavelength (nm),Intensity (a.u.)
490,66.106831
490.5,68.85734
491,71.54511
491.5,74.246852
492,76.977663
492.5,79.77597
493,82.527123
493.5,85.314247
494,88.158334
494.5,91.046777
495,94.072291
495.5,97.082238
496,100.077516
496.5,103.073037
497,106.10171
497.5,109.052627
498,111.97344
498.5,114.795043
499,117.573255
499.5,120.497651
500,123.465
500.5,126.377953
501,129.290587
501.5,132.215263
502,135.169163
502.5,138.096943
503,140.864318
503.5,143.514674
504,146.194237
504.5,148.888288
505,151.537899
505.5,154.163171
506,156.805441
506.5,159.531869
507,162.261732
507.5,164.906978
508,167.400671
508.5,169.874267
509,172.267201
509.5,174.568343
510,176.792187
510.5,178.931661
511,181.078214
511.5,183.084546
512,185.07949
512.5,186.918201
513,188.669083
513.5,190.238723
514,191.66342
514.5,193.074593
515,194.429044
515.5,195.794384
516,197.079517
516.5,198.419401
517,199.677857
517.5,200.938525
518,202.127017
518.5,203.213605
519,204.344416
519.5,205.343541
520,206.177931
520.5,206.835847
521,207.299736
521.5,207.551368
522,207.647186
522.5,207.595537
523,207.48379
523.5,207.406594
524,207.338262
524.5,207.209732
525,207.064928
525.5,206.734568
526,206.281208
526.5,205.64464
527,204.815913
527.5,204.013674
528,203.156729
528.5,202.294554
529,201.382509
529.5,200.480208
530,199.456537
530.5,198.43637
531,197.22561
531.5,195.823141
532,194.427502
532.5,192.938617
533,191.440346
533.5,189.7935
534,188.059592
534.5,186.224161
535,184.436615
535.5,182.576651
536,180.507337
536.5,178.35385
537,176.082711
537.5,173.945297
538,171.760192
538.5,169.531209
539,167.243514
539.5,165.00839
540,162.925691
540.5,160.829821
541,158.729433
541.5,156.569952
542,154.51514
542.5,152.535371
543,150.629532
543.5,148.594719
544,146.432062
544.5,144.300736
545,142.100323
545.5,139.917827
546,137.660668
546.5,135.384149
547,133.191224
547.5,131.176053
548,129.223249
548.5,127.26982
549,125.339533
549.5,123.38062
550,121.487821
550.5,119.633963
551,117.787124
551.5,115.903986
552,114.097719
552.5,112.292046
553,110.489594
553.5,108.663618
554,106.812406
554.5,105.01203
555,103.235652
555.5,101.55666
556,99.934741
556.5,98.39374
557,96.867412
557.5,95.414621
558,94.038991
558.5,92.721283
559,91.446565
559.5,90.166728
560,88.900041
560.5,87.63911
561,86.420205
561.5,85.13924
562,83.842468
562.5,82.540493
563,81.272532
563.5,80.114453
564,78.990933
564.5,77.883459
565,76.804091
565.5,75.672998
566,74.56883
566.5,73.501678
567,72.479915
567.5,71.495116
568,70.586589
568.5,69.743942
569,68.983933
569.5,68.24852
570,67.342997
570.5,66.321
571,65.234408
571.5,64.108346
572,62.972283
572.5,61.83916
573,60.733276
573.5,59.753273
574,58.950891
574.5,58.137908
575,57.276591
575.5,56.35918
576,55.432212
576.5,54.534937
577,53.654009
577.5,52.745523
578,51.856559
578.5,51.081479
579,50.362279
579.5,49.643582
580,48.848524
580.5,47.987555
581,47.115749
581.5,46.247201
582,45.353927
582.5,44.467483
583,43.666598
583.5,42.937922
584,42.305023
584.5,41.678377
585,41.009429
585.5,40.318967
586,39.614238
586.5,38.857108
587,38.100651
587.5,37.328836
588,36.556505
588.5,35.824031
589,35.150009
589.5,34.465665
590,33.800479
590.5,33.181756
591,32.535494
591.5,31.968122
592,31.403349
592.5,30.854981
593,30.346306
593.5,29.859503
594,29.350327
594.5,28.823136
595,28.317031
595.5,27.76369
596,27.219079
596.5,26.638382
597,26.035354
597.5,25.46838
598,24.960379
598.5,24.514586
599,24.187977
599.5,23.991419
600,23.872576
600.5,23.830999
