Wavelength (nm),Intensity (a.u.)
490,48.000152
490.5,50.14798
491,52.326553
491.5,54.535545
492,56.808658
492.5,59.128305
493,61.382355
493.5,63.58151
494,65.731508
494.5,67.785254
495,69.826081
495.5,71.923642
496,74.056704
496.5,76.293948
497,78.66199
497.5,81.090355
498,83.565077
498.5,85.98536
499,88.291731
499.5,90.487191
500,92.666819
500.5,94.740292
501,96.726579
501.5,98.667272
502,100.62347
502.5,102.677735
503,104.71157
503.5,106.758911
504,108.774808
504.5,110.935047
505,113.173722
505.5,115.305598
506,117.356157
506.5,119.309335
507,121.26046
507.5,123.160799
508,125.022607
508.5,126.761696
509,128.487045
509.5,130.244415
510,131.857096
510.5,133.382948
511,134.848481
511.5,136.268798
512,137.674553
512.5,139.087962
513,140.554765
513.5,142.00669
514,143.43103
514.5,144.682357
515,145.824909
515.5,146.922865
516,147.943601
516.5,148.898441
517,149.809883
517.5,150.848142
518,151.938331
518.5,153.018762
519,153.926383
519.5,154.660288
520,155.292059
520.5,155.85814
521,156.289873
521.5,156.550537
522,156.823363
522.5,157.035746
523,157.284764
523.5,157.430435
524,157.547629
524.5,157.548444
525,157.43954
525.5,157.198758
526,156.799249
526.5,156.353234
527,155.750268
527.5,155.150499
528,154.443813
528.5,153.699565
529,152.933387
529.5,152.087895
530,151.179581
530.5,150.197764
531,149.22083
531.5,148.189036
532,147.154995
532.5,146.021995
533,144.758093
533.5,143.540464
534,142.216863
534.5,140.787041
535,139.260635
535.5,137.694351
536,136.107258
536.5,134.570145
537,132.971846
537.5,131.204441
538,129.530804
538.5,127.859849
539,126.188012
539.5,124.505543
540,122.807502
540.5,121.160994
541,119.535752
541.5,117.814135
542,115.90804
542.5,114.012627
543,112.125961
543.5,110.318524
544,108.582542
544.5,106.918729
545,105.397604
545.5,103.88475
546,102.39439
546.5,100.825638
547,99.225282
547.5,97.576044
548,95.970218
548.5,94.401863
549,92.89475
549.5,91.569731
550,90.205487
550.5,88.895707
551,87.632983
551.5,86.419403
552,85.13368
552.5,83.862358
553,82.54352
553.5,81.206813
554,79.915879
554.5,78.519956
555,77.125974
555.5,75.747237
556,74.461859
556.5,73.173615
557,71.936848
557.5,70.743419
558,69.620904
558.5,68.556877
559,67.519137
559.5,66.570596
560,65.676921
560.5,64.892085
561,64.120336
561.5,63.331326
562,62.543728
562.5,61.786212
563,61.002387
563.5,60.121924
564,59.308316
564.5,58.508608
565,57.731897
565.5,56.951293
566,56.179602
566.5,55.377505
567,54.565037
567.5,53.752193
568,52.833261
568.5,51.983356
569,51.167285
569.5,50.372171
570,49.59489
570.5,48.89777
571,48.246554
571.5,47.581035
572,46.975313
572.5,46.265346
573,45.622811
573.5,45.002666
574,44.384926
574.5,43.727366
575,43.086023
575.5,42.476869
576,41.853326
576.5,41.254078
577,40.567413
577.5,39.90513
578,39.241267
578.5,38.596199
579,37.96599
579.5,37.299236
580,36.632746
580.5,36.00023
581,35.376249
581.5,34.695193
582,34.004766
582.5,33.337692
583,32.736765
583.5,32.224645
584,31.739695
584.5,31.271301
585,30.868266
585.5,30.518272
586,30.145544
586.5,29.728972
587,29.262598
587.5,28.747242
588,28.211223
588.5,27.652728
589,27.046878
589.5,26.429337
590,25.861573
590.5,25.314953
591,24.771826
591.5,24.249193
592,23.735483
592.5,23.242104
593,22.803904
593.5,22.379103
594,21.92157
594.5,21.491308
595,21.098464
595.5,20.701563
596,20.322631
596.5,19.934939
597,19.531649
597.5,19.159378
598,18.790524
598.5,18.422905
599,18.074899
599.5,17.749701
600,17.414291
600.5,17.099
