Wavelength (nm),Intensity (a.u.)
490,25.90514
490.5,26.939227
491,27.938914
491.5,28.941769
492,29.972607
492.5,31.041756
493,32.146027
493.5,33.289804
494,34.542689
494.5,35.81885
495,37.121613
495.5,38.484254
496,39.809664
496.5,41.089921
497,42.336572
497.5,43.52061
498,44.617791
498.5,45.657247
499,46.670003
499.5,47.706064
500,48.849058
500.5,49.950279
501,51.00188
501.5,52.048659
502,53.102012
502.5,54.157653
503,55.154107
503.5,56.112028
504,57.092611
504.5,58.195239
505,59.315127
505.5,60.410758
506,61.482298
506.5,62.551034
507,63.612652
507.5,64.666929
508,65.702349
508.5,66.721975
509,67.733731
509.5,68.679377
510,69.512533
510.5,70.335848
511,71.135718
511.5,71.870088
512,72.624405
512.5,73.425501
513,74.285006
513.5,75.143759
514,75.994335
514.5,76.749572
515,77.477852
515.5,78.199652
516,78.866345
516.5,79.48089
517,80.026783
517.5,80.562006
518,81.035917
518.5,81.529074
519,81.946739
519.5,82.346695
520,82.773243
520.5,83.164907
521,83.592435
521.5,83.916284
522,84.199565
522.5,84.350176
523,84.505378
523.5,84.598693
524,84.638773
524.5,84.715111
525,84.755243
525.5,84.848681
526,84.850623
526.5,84.802045
527,84.625115
527.5,84.414334
528,84.081342
528.5,83.633106
529,83.149558
529.5,82.521964
530,81.839377
530.5,81.110548
531,80.359024
531.5,79.623654
532,78.934371
532.5,78.302659
533,77.725709
533.5,77.164474
534,76.511634
534.5,75.71752
535,74.829648
535.5,73.850205
536,72.807538
536.5,71.679879
537,70.509413
537.5,69.396461
538,68.329219
538.5,67.283077
539,66.18948
539.5,65.092167
540,64.045764
540.5,63.053567
541,62.131373
541.5,61.230278
542,60.370384
542.5,59.506156
543,58.646437
543.5,57.727678
544,56.687608
544.5,55.610209
545,54.480959
545.5,53.419529
546,52.400589
546.5,51.373727
547,50.36684
547.5,49.408736
548,48.53345
548.5,47.627614
549,46.707314
549.5,45.773076
550,44.903903
550.5,44.094685
551,43.298595
551.5,42.542741
552,41.785109
552.5,41.11255
553,40.508464
553.5,39.924059
554,39.377366
554.5,38.853882
555,38.335382
555.5,37.789647
556,37.224221
556.5,36.580073
557,35.896684
557.5,35.228332
558,34.560125
558.5,33.972243
559,33.451137
559.5,32.990937
560,32.559912
560.5,32.174282
561,31.804815
561.5,31.413384
562,31.026623
562.5,30.592554
563,30.154938
563.5,29.730327
564,29.343271
564.5,28.948912
565,28.561885
565.5,28.17774
566,27.829514
566.5,27.500186
567,27.17774
567.5,26.857325
568,26.566038
568.5,26.271416
569,25.966347
569.5,25.658067
570,25.299321
570.5,24.94749
571,24.564878
571.5,24.174812
572,23.787225
572.5,23.428587
573,23.027609
573.5,22.647947
574,22.293892
574.5,21.938657
575,21.649349
575.5,21.372496
576,21.115054
576.5,20.882482
577,20.688786
577.5,20.452295
578,20.220494
578.5,19.981008
579,19.694975
579.5,19.385707
580,19.060965
580.5,18.717441
581,18.388149
581.5,18.076857
582,17.772051
582.5,17.495963
583,17.229174
583.5,16.964376
584,16.650001
584.5,16.313747
585,15.948431
585.5,15.573921
586,15.191226
586.5,14.849198
587,14.575205
587.5,14.350578
588,14.193544
588.5,14.031342
589,13.869646
589.5,13.682791
590,13.463224
590.5,13.211463
591,12.932475
591.5,12.681628
592,12.432644
592.5,12.212605
593,11.985182
593.5,11.743299
594,11.508245
594.5,11.263281
595,11.017998
595.5,10.74211
596,10.470922
596.5,10.197695
597,9.947979
597.5,9.723061
598,9.514101
598.5,9.35339
599,9.23249
599.5,9.176916
600,9.143383
600.5,9.129
