Wavelength (nm),Intensity (a.u.)
490,85.569799
490.5,88.926196
491,92.277527
491.5,95.585132
492,99.033224
492.5,102.475721
493,106.006185
493.5,109.508012
494,113.016274
494.5,116.628861
495,120.284005
495.5,124.01957
496,127.746542
496.5,131.600281
497,135.498311
497.5,139.539751
498,143.500571
498.5,147.451221
499,151.429818
499.5,155.278397
500,159.032022
500.5,162.707083
501,166.299493
501.5,169.891987
502,173.494573
502.5,176.913099
503,180.312225
503.5,183.718854
504,186.998106
504.5,190.13826
505,193.24509
505.5,196.319681
506,199.512611
506.5,202.824344
507,206.130139
507.5,209.52899
508,212.921973
508.5,216.254723
509,219.398684
509.5,222.370147
510,225.126363
510.5,227.681175
511,230.020937
511.5,232.155709
512,234.168344
512.5,236.084029
513,238.064551
513.5,240.083332
514,242.20152
514.5,244.500612
515,246.793496
515.5,248.937756
516,250.927739
516.5,252.692642
517,254.2458
517.5,255.684961
518,257.027172
518.5,258.18022
519,259.414184
519.5,260.617241
520,261.701472
520.5,262.686189
521,263.404364
521.5,263.945791
522,264.27916
522.5,264.559493
523,264.584673
523.5,264.591383
524,264.46384
524.5,264.174585
525,263.751202
525.5,263.128659
526,262.396954
526.5,261.482407
527,260.55155
527.5,259.425104
528,258.325148
528.5,257.071796
529,255.748255
529.5,254.297306
530,252.74149
530.5,251.109145
531,249.363267
531.5,247.589555
532,245.658868
532.5,243.761392
533,241.712396
533.5,239.699811
534,237.576574
534.5,235.423099
535,233.16142
535.5,230.711538
536,228.230227
536.5,225.712274
537,223.20996
537.5,220.579328
538,218.041377
538.5,215.453123
539,212.95438
539.5,210.507172
540,207.918899
540.5,205.224691
541,202.540061
541.5,199.837065
542,197.010345
542.5,194.236251
543,191.356016
543.5,188.532885
544,185.868594
544.5,183.246445
545,180.550608
545.5,177.932434
546,175.378586
546.5,172.833589
547,170.402107
547.5,167.863952
548,165.310148
548.5,162.772548
549,160.337093
549.5,157.833401
550,155.343659
550.5,152.831008
551,150.324365
551.5,147.962952
552,145.640783
552.5,143.418398
553,141.268837
553.5,139.304278
554,137.414071
554.5,135.591513
555,133.716637
555.5,131.73832
556,129.685684
556.5,127.553587
557,125.40941
557.5,123.21479
558,121.105367
558.5,119.134626
559,117.33791
559.5,115.684222
560,114.103202
560.5,112.526845
561,110.972576
561.5,109.388216
562,107.769068
562.5,106.193143
563,104.626331
563.5,103.114365
564,101.66839
564.5,100.284642
565,98.986447
565.5,97.778233
566,96.61591
566.5,95.409215
567,94.26002
567.5,93.019086
568,91.671666
568.5,90.236047
569,88.72265
569.5,87.210913
570,85.709213
570.5,84.211156
571,82.711474
571.5,81.37228
572,80.124382
572.5,78.920027
573,77.748088
573.5,76.606159
574,75.556746
574.5,74.540147
575,73.468368
575.5,72.363397
576,71.242329
576.5,70.128578
577,68.959236
577.5,67.784828
578,66.613148
578.5,65.510289
579,64.470146
579.5,63.401096
580,62.411717
580.5,61.418713
581,60.43074
581.5,59.379093
582,58.327766
582.5,57.257397
583,56.203375
583.5,55.152424
584,54.060469
584.5,53.052298
585,52.098086
585.5,51.240452
586,50.389422
586.5,49.599699
587,48.825357
587.5,48.04005
588,47.246573
588.5,46.355214
589,45.393687
589.5,44.420099
590,43.497613
590.5,42.594346
591,41.750716
591.5,40.969344
592,40.206497
592.5,39.548277
593,38.939797
593.5,38.28809
594,37.647838
594.5,37.00218
595,36.347036
595.5,35.654581
596,34.961359
596.5,34.257293
597,33.587125
597.5,32.956715
598,32.228732
598.5,31.451368
599,30.606956
599.5,29.725111
600,28.720438
600.5,27.681
