Wavelength (nm),Absorbance (AU)
581,0.000430584
582,0.000380039
583,0.000292301
584,0.000425816
585,0.000377655
586,0.000348568
587,0.0003438
588,0.000344753
589,0.000353813
590,0.000358582
591,0.000348091
592,0.000406265
593,0.000308037
594,0.00035429
595,0.000348568
596,0.000357151
597,0.000306606
598,0.000357151
599,0.000368595
600,0.000370979
601,0.000339031
602,0.000398159
603,0.000315189
604,0.000356197
605,0.00037384
606,0.000345707
607,0.00034523
608,0.000302792
609,0.000362873
610,0.000421524
611,0.000317097
612,0.000326633
613,0.00035429
614,0.000401497
615,0.000334263
616,0.000300407
617,0.000438213
618,0.00035429
619,0.00036478
620,0.000321865
621,0.000319958
622,0.000257492
623,0.000371456
624,0.000491619
625,0.000385761
626,0.000349522
627,0.000358582
628,0.000386238
629,0.000387669
630,0.000350475
631,0.000328541
632,0.000390053
633,0.000281334
634,0.000315189
635,0.000440121
636,0.000323772
637,0.000303268
638,0.000321865
639,0.000346661
640,0.000409603
641,0.000326633
642,0.000349045
643,0.00026226
644,0.000161171
645,0.00028038
646,0.000387192
647,0.000405312
648,0.000415325
649,0.0003829
650,0.000357628
651,0.000296593
652,0.000271797
653,0.000386715
654,0.000380993
655,0.000432014
656,0.000379086
657,0.000353813
658,0.000355721
659,0.000347614
660,0.000261307
661,0.000360012
662,0.000290871
663,0.000380993
664,0.00039959
665,0.000341415
666,0.000293255
667,0.000304699
668,0.000247955
669,0.000288963
670,0.000257969
671,0.000310421
672,0.000259876
673,0.000369549
674,0.000352859
675,0.000292301
676,0.000339031
677,0.00034523
678,0.000379562
679,0.000391483
680,0.000270367
681,0.000304699
682,0.000342369
683,0.000294685
684,0.000353336
685,0.000327587
686,0.000236511
687,0.000402451
688,0.000312328
689,0.000281334
690,0.000319958
691,0.000321865
692,0.000348091
693,0.000338078
694,0.000341415
695,0.000332355
696,0.000304699
697,0.000342369
698,0.000331879
699,0.00030756
700,0.000338554
701,0.000338554
702,0.00032711
703,0.000308514
704,0.000352383
705,0.000370026
706,0.000311375
707,0.000388622
708,0.000293732
709,0.000395298
710,0.000370502
711,0.000301838
712,0.000340462
713,0.000371456
714,0.000344276
715,0.000399113
716,0.000334263
717,0.000325203
718,0.000365734
719,0.000342846
720,0.000306129
721,0.000275135
722,0.000288963
723,0.000393391
724,0.000315666
725,0.00028801
726,0.000283718
727,0.000333309
728,0.000295639
729,0.000329494
730,0.000370502
731,0.000363827
732,0.000400066
733,0.000278473
734,0.000358105
735,0.000205517
