Wavelength (nm),Absorbance (AU)
190,0.893409252
191,0.505825996
192,0.36591959
193,-0.452549934
194,-0.126015663
195,-0.578388214
196,-0.328971863
197,0.573297024
198,0.175246239
199,-0.397307396
200,-0.536850929
201,0.647910595
202,0.383816242
203,0.35383749
204,0.019729614
205,0.163591385
206,-0.388451099
207,0.07856226
208,-0.139763832
209,0.00171566
210,-0.176091671
211,0.701920986
212,0.104877949
213,0.181584358
214,0.054040432
215,-0.001998425
216,0.002151966
217,0.094285488
218,0.344245911
219,0.175376892
220,-0.044440746
221,0.445216179
222,-0.207706451
223,-0.211799145
224,-0.558730602
225,0.398719788
226,0.137098312
227,-0.098538399
228,0.218439579
229,0.638656616
230,-0.450474739
231,-0.588926792
232,-0.08454895
233,0.178187847
234,0.01897192
235,0.168559074
236,0.617394447
237,0.914303303
238,0.345511913
239,0.675403595
240,0.163924694
241,0.582024097
242,0.779061794
243,0.089560509
244,0.359905243
245,0.297549248
246,-0.416957378
247,0.444969177
248,0.222225666
249,0.158623219
250,0.311583996
251,-0.128621101
252,0.420776844
253,-0.621417046
254,-0.143761158
255,-0.185918808
256,0.254857063
257,0.994355202
258,0.062001228
259,0.081611633
260,0.070192814
261,0.221503258
262,-0.196483612
263,-0.020314693
264,0.002956867
265,0.250748158
266,0.492986679
267,0.195065498
268,0.103603363
269,0.152721882
270,0.194182873
271,0.213415623
272,0.062278271
273,0.055948257
274,0.089042664
275,0.01564312
276,0.241919994
277,0.024935246
278,0.116199493
279,0.218523502
280,0.106633186
281,0.196695328
282,0.095309734
283,0.148282051
284,0.157124519
285,0.242110729
286,0.218221188
287,0.210518837
288,0.2009902
289,0.198634148
290,0.196437836
291,0.204742908
292,0.213180542
293,0.215742111
294,0.200582027
295,0.187813759
296,0.177880287
297,0.172608376
298,0.170257568
299,0.169065952
300,0.169363499
301,0.170530796
302,0.171498299
303,0.172972679
304,0.174301624
305,0.174796104
306,0.174939632
307,0.175040722
308,0.174384594
309,0.1737113
310,0.17193985
311,0.170258045
312,0.167851448
313,0.165073395
314,0.161897659
315,0.157786369
316,0.153511047
317,0.148700237
318,0.143259525
319,0.137334824
320,0.131335735
321,0.124949932
322,0.117681503
323,0.111261368
324,0.104167938
325,0.097652435
326,0.091732979
327,0.086034298
328,0.080844402
329,0.076359749
330,0.071960449
331,0.068210125
332,0.064825058
333,0.061791897
334,0.059025764
335,0.056732655
336,0.05476284
337,0.052841187
338,0.051094532
339,0.049859047
340,0.048665524
341,0.047366142
342,0.046717644
343,0.046069622
344,0.045338154
345,0.044958591
346,0.044567108
347,0.044238567
348,0.043994427
349,0.044009209
350,0.04374361
351,0.043838024
352,0.04396677
353,0.043569565
354,0.043507099
355,0.043450832
356,0.043485641
357,0.045324326
358,0.047483444
359,0.04791069
360,0.046836853
361,0.046392441
362,0.046883583
363,0.047969818
364,0.048482418
365,0.049131393
366,0.049791813
367,0.050294876
368,0.051115513
369,0.051613331
370,0.052291393
371,0.053076744
372,0.054175377
373,0.055646896
374,0.05670023
375,0.058374405
376,0.060094357
377,0.062081814
378,0.064015865
379,0.066140652
380,0.067999363
381,0.069828987
382,0.071896076
383,0.073355198
384,0.074994087
385,0.076566696
386,0.077836037
387,0.078990459
388,0.079863071
389,0.080542088
390,0.081406116
391,0.081595421
392,0.08237648
393,0.083200932
394,0.084452152
395,0.085624695
396,0.087163925
397,0.089312077
398,0.091430187
399,0.093824387
400,0.097065926
401,0.099881649
402,0.103102684
403,0.106063843
404,0.109140873
405,0.111270428
406,0.112953186
407,0.114474773
408,0.114262581
409,0.113627911
410,0.112400532
411,0.110189438
412,0.107340813
413,0.103382587
414,0.099480629
415,0.094431877
416,0.088673115
417,0.083045483
418,0.077833176
419,0.071796894
420,0.065732479
