Wavelength (nm),Absorbance (AU)
585,0.375917435
586,0.383272171
587,0.392602921
588,0.398618221
589,0.407258511
590,0.41547966
591,0.423865795
592,0.43453598
593,0.441930771
594,0.452221394
595,0.463873386
596,0.474232674
597,0.487763882
598,0.501333714
599,0.51582098
600,0.530412674
601,0.546910286
602,0.563638687
603,0.582434177
604,0.599626064
605,0.623164654
606,0.647247791
607,0.673091412
608,0.69916153
609,0.72728157
610,0.757006168
611,0.78630209
612,0.817361355
613,0.851150036
614,0.88466692
615,0.918011665
616,0.950754166
617,0.985134125
618,1.016244411
619,1.04978323
620,1.081031322
621,1.110901356
622,1.13902998
623,1.163163185
624,1.18639946
625,1.20354557
626,1.222349644
627,1.233510971
628,1.242611885
629,1.248184204
630,1.247993946
631,1.243476868
632,1.232105732
633,1.217605114
634,1.198853493
635,1.175409317
636,1.147321701
637,1.112337589
638,1.075113773
639,1.036914349
640,0.998185635
641,0.958497047
642,0.916029453
643,0.87258482
644,0.826244831
645,0.780115128
646,0.733504772
647,0.686739922
648,0.642457008
649,0.598692417
650,0.556006432
651,0.515153885
652,0.476421356
653,0.439153671
654,0.403523922
655,0.37304163
656,0.338243961
657,0.29870224
658,0.285830498
659,0.260037422
660,0.236749172
661,0.214914799
662,0.19503355
663,0.176635265
664,0.159920216
665,0.144434929
666,0.130018711
667,0.1170187
668,0.105298519
669,0.09440136
670,0.084755898
671,0.075968742
672,0.068126202
673,0.059788704
674,0.053350449
675,0.047335148
676,0.041740894
677,0.036682129
678,0.032411098
679,0.028083801
680,0.024283409
681,0.020727158
682,0.017686844
683,0.014698029
684,0.012674332
685,0.010259151
686,0.007372379
687,0.005675316
688,0.003745079
689,0.002379894
690,0.000980377
691,-0.000154018
692,-0.001613617
693,-0.002556801
694,-0.003931999
695,-0.004313469
696,-0.005661964
697,-0.005105972
698,-0.007208347
699,-0.007484913
700,-0.008015156
701,-0.008547783
702,-0.00855875
703,-0.009189129
704,-0.009986401
705,-0.010368824
706,-0.010242939
707,-0.010043144
708,-0.011507988
709,-0.011875629
710,-0.011592388
711,-0.011840343
712,-0.012340546
713,-0.012104034
714,-0.012427807
715,-0.012879848
716,-0.013390541
717,-0.013493061
718,-0.013103485
719,-0.013537407
720,-0.013945103
721,-0.013820648
722,-0.014147282
723,-0.01411581
724,-0.013949871
725,-0.013820648
726,-0.013892651
727,-0.014507771
728,-0.01427412
729,-0.014390469
730,-0.014540195
731,-0.0145998
732,-0.015417576
733,-0.015437126
734,-0.014861584
735,-0.015574455
736,-0.015512466
737,-0.015396118
738,-0.015935421
739,-0.015264034
740,-0.015685558
741,-0.016815186
742,-0.01633358
743,-0.016655922
744,-0.01647377
745,-0.016153336
746,-0.016022682
747,-0.016006947
748,-0.016671181
749,-0.016806126
750,-0.016512871
751,-0.01714325
752,-0.017281532
753,-0.016622543
754,-0.016453743
755,-0.017467022
756,-0.017033577
757,-0.01656723
758,-0.017338276
759,-0.017738819
760,-0.01715374
761,-0.018038273
762,-0.019218922
763,-0.017848015
764,-0.016746044
765,-0.017605305
766,-0.019202709
767,-0.019548893
768,-0.017323971
769,-0.017101765
770,-0.018190384
771,-0.018628597
772,-0.019501686
773,-0.019135475
774,-0.018361092
775,-0.018564701
776,-0.018732071
777,-0.018891811
778,-0.018217564
779,-0.017426968
780,-0.018603802
781,-0.018792152
782,-0.019013405
783,-0.018410206
784,-0.018829823
785,-0.019183636
786,-0.018966675
787,-0.018249035
788,-0.018116951
789,-0.018910408
790,-0.019634247
791,-0.018661499
792,-0.018698215
793,-0.019260406
794,-0.017924786
795,-0.018391132
796,-0.020139217
797,-0.019808769
798,-0.018827915
799,-0.01881218
800,-0.01953125
801,-0.019534588
802,-0.019212246
803,-0.019169807
804,-0.019943714
805,-0.019449234
806,-0.018420219
807,-0.019776821
808,-0.020252228
809,-0.019970894
810,-0.020279408
811,-0.020503521
812,-0.020127296
813,-0.019648552
814,-0.020397186
815,-0.020390987
816,-0.020402431
817,-0.020619392
818,-0.020785332
819,-0.02083683
820,-0.020617485
821,-0.020742416
822,-0.020981789
823,-0.021830559
824,-0.021309376
825,-0.020802975
826,-0.021770477
827,-0.02123642
828,-0.021438599
829,-0.022057533
830,-0.022073269
831,-0.022266865
832,-0.022170544
833,-0.021394253
834,-0.021507263
835,-0.022243977
836,-0.022265434
837,-0.022794724
838,-0.022512913
839,-0.022024632
840,-0.02253294
841,-0.022271156
842,-0.022596359
843,-0.022554874
844,-0.022398472
845,-0.022620201
846,-0.022638321
847,-0.022568226
848,-0.022883415
849,-0.022551537
850,-0.022981167
851,-0.022738457
852,-0.021835804
853,-0.021888733
854,-0.02231741
855,-0.023450851
856,-0.023420811
857,-0.023380756
858,-0.023220062
859,-0.023047924
860,-0.023443222
861,-0.023141861
862,-0.02320385
863,-0.022838593
864,-0.02304554
865,-0.023547649
866,-0.023160934
867,-0.023332596
868,-0.023213863
869,-0.023464203
870,-0.023306847
871,-0.023292542
872,-0.023355484
873,-0.023251534
874,-0.02345705
875,-0.023121357
876,-0.023655415
877,-0.02326107
878,-0.023220062
879,-0.023015022
880,-0.023162842
881,-0.023848057
882,-0.023725033
883,-0.023694038
884,-0.023469925
885,-0.023452282
886,-0.023578644
887,-0.023953915
888,-0.023878098
889,-0.024161339
890,-0.023787498
891,-0.023887634
892,-0.023860931
893,-0.024017334
894,-0.024027348
895,-0.024051189
896,-0.024003983
897,-0.024014473
898,-0.024110794
899,-0.024448872
900,-0.024245262
901,-0.024370193
902,-0.02452755
903,-0.024290562
904,-0.024365902
905,-0.024626255
906,-0.024477959
907,-0.024662971
908,-0.025012493
909,-0.024898052
910,-0.024648666
911,-0.024852753
912,-0.024932384
913,-0.024940491
914,-0.025080681
915,-0.024927616
916,-0.024612427
917,-0.024937153
918,-0.025168419
919,-0.025608063
920,-0.025444984
921,-0.025765419
922,-0.025638103
923,-0.025856018
924,-0.025728226
925,-0.025790215
926,-0.025902748
927,-0.025936604
928,-0.02606678
929,-0.026071072
930,-0.026247978
931,-0.026414871
932,-0.026299477
933,-0.026373386
934,-0.026577473
935,-0.026613235
936,-0.02671957
937,-0.026810169
938,-0.026868343
939,-0.027028561
940,-0.026760101
941,-0.027145386
942,-0.027243137
943,-0.02713871
944,-0.027634144
945,-0.027560234
946,-0.027761459
947,-0.027761459
948,-0.027894974
949,-0.028214931
950,-0.02808857
951,-0.02804184
952,-0.028113842
953,-0.028537273
954,-0.028672218
955,-0.028833866
956,-0.028788567
957,-0.02875948
958,-0.028300285
959,-0.028038979
960,-0.028465271
961,-0.028251648
962,-0.028143406
963,-0.027990818
964,-0.027628899
965,-0.027671337
966,-0.027403831
967,-0.0276618
968,-0.027580738
969,-0.027770042
970,-0.027882099
971,-0.02781105
972,-0.02774334
973,-0.027930737
974,-0.027457237
975,-0.027590752
976,-0.027493954
977,-0.027671814
978,-0.027426243
979,-0.027881622
980,-0.027876377
981,-0.027568817
982,-0.027121544
983,-0.02773428
984,-0.027509212
985,-0.027126789
986,-0.027297974
987,-0.027627945
988,-0.027779579
989,-0.027741909
990,-0.027943134
991,-0.028048992
992,-0.027086735
993,-0.028065681
994,-0.027675152
995,-0.027561188
996,-0.027617931
997,-0.027837276
998,-0.027118683
999,-0.027724266
