Wavelength (nm),Absorbance (AU)
190,0.222059727
191,0.118004322
192,0.327477932
193,-0.262788296
194,0.326155186
195,-0.216927528
196,-0.828656673
197,0.448171139
198,0.014054775
199,0.252815723
200,-0.307051182
201,0.08203125
202,0.004430294
203,0.438448429
204,0.140913963
205,-0.016751766
206,0.276480675
207,0.411165714
208,0.013119221
209,-0.00156498
210,0
211,-0.146443367
212,0.00992918
213,0.183607578
214,0.116436958
215,-0.343166828
216,-0.214425087
217,0.608885288
218,0.399711609
219,0.128581524
220,0.335868835
221,0.137450218
222,-0.076483727
223,-0.200751781
224,-0.543969154
225,0.634669304
226,0.50649786
227,0.033280373
228,0.265963078
229,-0.363662243
230,-0.81808424
231,-0.609048843
232,0.021577835
233,-0.096641541
234,-0.146731853
235,0.56683445
236,0.580269814
237,0.331378937
238,-0.027223587
239,0.19819355
240,0.101625443
241,0.005261421
242,-0.104070663
243,0.840536118
244,0.419698238
245,0.18283844
246,-0.085432529
247,0.144388199
248,-0.109934807
249,0.040924549
250,-0.043541431
251,-0.129303455
252,0.303384304
253,-0.025580883
254,-0.344210625
255,0.027891636
256,0.135066032
257,0.183873177
258,0.026582241
259,-0.000739574
260,0.332893848
261,0.73717308
262,0.0689888
263,-0.07035017
264,0.158986568
265,0.187002659
266,0.033668041
267,-0.150588512
268,0.117889404
269,-0.288599014
270,-0.370956898
271,0.21000576
272,0.17329216
273,0.040323734
274,0.182509422
275,-0.107570171
276,0.075825214
277,-0.077559471
278,-0.000417709
279,0.137260914
280,0.104647636
281,0.138392925
282,0.02004385
283,0.10688448
284,0.109041691
285,0.159700394
286,0.168836594
287,0.157603741
288,0.155395985
289,0.148272038
290,0.145375729
291,0.1539464
292,0.160030365
293,0.156514168
294,0.140279293
295,0.125604153
296,0.11440897
297,0.107485294
298,0.103165627
299,0.100512981
300,0.099038601
301,0.098331928
302,0.097602844
303,0.097101212
304,0.096996307
305,0.096150398
306,0.09552002
307,0.095173359
308,0.094487667
309,0.093679428
310,0.093057632
311,0.091679573
312,0.090324402
313,0.089316845
314,0.087748051
315,0.086263657
316,0.084314823
317,0.082228184
318,0.080307484
319,0.078104973
320,0.075719357
321,0.073210716
322,0.070541859
323,0.068081856
324,0.065330505
325,0.062934875
326,0.060758591
327,0.058476925
328,0.05649519
329,0.05490303
330,0.053145885
331,0.051403046
332,0.050239563
333,0.048847675
334,0.047576904
335,0.046483517
336,0.045463085
337,0.044595242
338,0.043728828
339,0.043033123
340,0.042451382
341,0.041512966
342,0.041214466
343,0.040659428
344,0.040108204
345,0.039849758
346,0.039534092
347,0.039147377
348,0.038758755
349,0.038573742
350,0.038165092
351,0.037972927
352,0.037687778
353,0.037047386
354,0.036530972
355,0.036362171
356,0.035809994
357,0.036634445
358,0.038396358
359,0.038435936
360,0.037014484
361,0.035998821
362,0.035527229
363,0.035656452
364,0.03577137
365,0.03592205
366,0.035680771
367,0.035616875
368,0.03565073
369,0.035246372
370,0.035012722
371,0.0345788
372,0.034614086
373,0.035001278
374,0.034887314
375,0.034988403
376,0.035406113
377,0.035508156
378,0.035992146
379,0.036138535
380,0.036666393
381,0.036535263
382,0.037225723
383,0.037247658
384,0.037686825
385,0.037577152
386,0.037798405
387,0.037342072
388,0.037467957
389,0.037191391
390,0.037461758
391,0.0371418
392,0.037022591
393,0.036783695
394,0.036990643
395,0.037341595
396,0.037287235
397,0.037828445
398,0.038053513
399,0.038146496
400,0.039411545
401,0.039988518
402,0.040649414
403,0.041594982
404,0.042216301
405,0.042421341
406,0.042619705
407,0.04306221
408,0.042566299
409,0.042095184
410,0.041594982
411,0.040834427
412,0.039913177
413,0.038338661
414,0.036898613
415,0.03536272
416,0.033243656
417,0.031242371
418,0.029304504
419,0.027543068
420,0.025518417
421,0.023823738
422,0.021409035
423,0.020439148
424,0.018492699
425,0.01720953
426,0.015443802
427,0.013914585
428,0.012334824
429,0.012405872
430,0.010515213
431,0.00985384
432,0.009672642
433,0.008805752
434,0.006337643
435,0.006913662
436,0.006371975
437,0.00543499
438,0.005660057
439,0.004674911
440,0.004852295
441,0.004434109
442,0.003218174
443,0.004243851
444,0.00335741
445,0.00342083
446,0.003119946
447,0.00300312
448,0.002963543
449,0.002643108
450,0.002418041
451,0.00245142
452,0.002029896
453,0.002110004
454,0.001732826
455,0.001581192
456,0.001558781
457,0.001490593
458,0.001148224
459,0.001193047
460,0.001467705
461,0.001200199
462,0.000921249
463,0.000576019
464,4.3869E-05
465,0.000124931
466,-6.77109E-05
467,0.000584602
468,-0.000390053
469,-0.000312805
470,-0.00021553
471,-0.00098753
472,-0.001362801
473,-0.001512051
474,-0.001302242
475,-0.001470566
476,-0.001954079
477,-0.001455784
478,-0.002126217
479,-0.002007961
480,-0.002354622
481,-0.002028465
482,-0.002436161
483,-0.001899242
484,-0.002635956
485,-0.001366138
486,-0.007455349
487,0.003071785
488,-0.0012393
489,-0.002400398
490,-0.002471924
491,-0.002331257
492,-0.002426147
493,-0.002571106
494,-0.002343655
495,-0.001707554
496,-0.002720356
497,-0.002162933
498,-0.002058029
499,-0.002789974
500,-0.002104282
501,-0.001849174
502,-0.001986504
503,-0.001830578
504,-0.001749039
505,-0.001674652
506,-0.002140045
507,-0.001223564
508,-0.001634598
509,-0.00154829
510,-0.00129509
511,-0.001374722
512,-0.000798225
513,-0.000848293
514,-0.000726223
515,-0.000593662
516,-0.000319481
517,-0.000359535
518,9.01222E-05
519,3.33786E-05
520,0.000426769
521,0.000709057
522,0.001124859
523,0.00099659
524,0.000944138
525,0.001577854
526,0.001806736
527,0.002238274
528,0.002583981
529,0.002681255
530,0.003334999
531,0.003628731
532,0.004054546
533,0.004293919
534,0.004786968
535,0.005500317
536,0.005951881
537,0.006798744
538,0.006970882
539,0.007659912
540,0.008501053
541,0.009222984
542,0.009745121
543,0.010267258
544,0.011178493
545,0.01184082
546,0.013189316
547,0.014135361
548,0.014510632
549,0.015994549
550,0.016805649
551,0.017933369
552,0.019239426
553,0.020371437
554,0.021756649
555,0.023225307
556,0.0242939
557,0.026041031
558,0.027256489
559,0.029345989
560,0.030746937
561,0.032563686
